oid,time,magnitude,error,band
QSO_69.946188+16.571047,55250.727,16.716011,0.011339134,W1
QSO_69.946188+16.571047,55250.727,16.575715,0.01884023,W2
QSO_69.946188+16.571047,55441.613,16.703592999999998,0.012044394,W1
QSO_69.946188+16.571047,55441.613,16.623663999999998,0.02188842,W2
QSO_69.946188+16.571047,56714.04,16.645249,0.011099216,W1
QSO_69.946188+16.571047,56714.04,16.600437,0.022391763,W2
QSO_69.946188+16.571047,56905.043,16.648822,0.011007629,W1
QSO_69.946188+16.571047,56905.043,16.610699999999998,0.021385858,W2
QSO_69.946188+16.571047,57075.613,16.678877999999997,0.010603761,W1
QSO_69.946188+16.571047,57073.082,16.617186,0.01991284,W2
QSO_69.946188+16.571047,57268.23,16.662559,0.011236281,W1
QSO_69.946188+16.571047,57266.79,16.5435965,0.025842642,W2
QSO_69.946188+16.571047,57433.58,16.680428,0.009398327,W1
QSO_69.946188+16.571047,57433.58,16.621454,0.025055707,W2
QSO_69.946188+16.571047,57633.92,16.694194,0.011145598,W1
QSO_69.946188+16.571047,57633.984,16.639896,0.023241052,W2
QSO_69.946188+16.571047,57799.277,16.672598,0.011560457,W1
QSO_69.946188+16.571047,57799.21,16.608537,0.02151385,W2
QSO_69.946188+16.571047,57998.094,16.694336,0.013051133,W1
QSO_69.946188+16.571047,57998.094,16.584985,0.023890095,W2
QSO_69.946188+16.571047,58156.348,16.725141999999998,0.011977842,W1
QSO_69.946188+16.571047,58156.348,16.64763,0.022053847,W2
QSO_69.946188+16.571047,58363.83,16.636777000000002,0.009034134,W1
QSO_69.946188+16.571047,58363.83,16.614327,0.021452347,W2
QSO_69.946188+16.571047,58520.574,16.608601999999998,0.00976772,W1
QSO_69.946188+16.571047,58520.574,16.561547,0.01971014,W2
QSO_69.946188+16.571047,58729.293,16.642936,0.01164179,W1
QSO_69.946188+16.571047,58729.293,16.539246,0.023334397,W2
QSO_69.946188+16.571047,58887.688,16.617383,0.009865738,W1
QSO_69.946188+16.571047,58887.688,16.556547,0.02078992,W2
QSO_69.946188+16.571047,59097.25,16.594386999999998,0.011532792,W1
QSO_69.946188+16.571047,59093.586,16.58187,0.024825295,W2
calib_s__69.935899+16.663702,55250.727,16.585620499999997,0.010826157,W1
calib_s__69.935899+16.663702,55250.727,17.299933,0.039724078,W2
calib_s__69.935899+16.663702,55441.613,16.610063,0.010965507,W1
calib_s__69.935899+16.663702,55441.613,17.347011,0.042327195,W2
calib_s__69.935899+16.663702,56714.04,16.599149,0.010294315,W1
calib_s__69.935899+16.663702,56714.04,17.343149,0.040996123,W2
calib_s__69.935899+16.663702,56905.043,16.576534000000002,0.010069088,W1
calib_s__69.935899+16.663702,56905.043,17.328713999999998,0.04061201,W2
calib_s__69.935899+16.663702,57075.613,16.586436,0.009748714,W1
calib_s__69.935899+16.663702,57073.082,17.232727,0.035859697,W2
calib_s__69.935899+16.663702,57268.23,16.572694,0.010126922,W1
calib_s__69.935899+16.663702,57266.79,17.303256,0.0458652,W2
calib_s__69.935899+16.663702,57433.58,16.600203,0.008656339,W1
calib_s__69.935899+16.663702,57433.58,17.235295,0.04284486,W2
calib_s__69.935899+16.663702,57633.92,16.586998,0.0101853525,W1
calib_s__69.935899+16.663702,57633.984,17.281166,0.040788352,W2
calib_s__69.935899+16.663702,57799.277,16.584994000000002,0.01082238,W1
calib_s__69.935899+16.663702,57799.21,17.269327999999998,0.03738567,W2
calib_s__69.935899+16.663702,57998.094,16.577455,0.010431675,W1
calib_s__69.935899+16.663702,57998.094,17.325688,0.045338638,W2
calib_s__69.935899+16.663702,58156.348,16.581695,0.009696664,W1
calib_s__69.935899+16.663702,58156.348,17.26793,0.03782954,W2
calib_s__69.935899+16.663702,58363.83,16.586301,0.008765855,W1
calib_s__69.935899+16.663702,58363.83,17.29441,0.041375197,W2
calib_s__69.935899+16.663702,58520.574,16.610977,0.010096248,W1
calib_s__69.935899+16.663702,58520.574,17.259835,0.037326694,W2
calib_s__69.935899+16.663702,58729.293,16.562601,0.01017627,W1
calib_s__69.935899+16.663702,58729.293,17.380572,0.047873743,W2
calib_s__69.935899+16.663702,58887.688,16.584654999999998,0.00951085,W1
calib_s__69.935899+16.663702,58887.688,17.242179,0.036973376,W2
calib_s__69.935899+16.663702,59097.25,16.580936,0.011307869,W1
calib_s__69.935899+16.663702,59093.586,17.3585675,0.050297834,W2
calib_s__69.971758+16.537837,55251.82,16.65064,0.011143573,W1
calib_s__69.971758+16.537837,55253.176,17.379819,0.041191384,W2
calib_s__69.971758+16.537837,55444.324,16.713244,0.012445693,W1
calib_s__69.971758+16.537837,55444.324,17.359855,0.043254174,W2
calib_s__69.971758+16.537837,56715.355,16.720928,0.011859066,W1
calib_s__69.971758+16.537837,56715.355,17.372187,0.045775972,W2
calib_s__69.971758+16.537837,56906.426,16.661818,0.010476882,W1
calib_s__69.971758+16.537837,56906.426,17.371959999999998,0.04265012,W2
calib_s__69.971758+16.537837,57074.4,16.717069000000002,0.010961515,W1
calib_s__69.971758+16.537837,57074.4,17.3984845,0.041874286,W2
calib_s__69.971758+16.537837,57269.67,16.710072,0.011291131,W1
calib_s__69.971758+16.537837,57269.67,17.371737,0.048169278,W2
calib_s__69.971758+16.537837,57434.89,16.715578999999998,0.01021671,W1
calib_s__69.971758+16.537837,57434.89,17.343991,0.04726347,W2
calib_s__69.971758+16.537837,57635.297,16.711327,0.011528468,W1
calib_s__69.971758+16.537837,57635.297,17.475519,0.05003355,W2
calib_s__69.971758+16.537837,57800.586,16.666581,0.01070292,W1
calib_s__69.971758+16.537837,57800.586,17.389011,0.044355903,W2
calib_s__69.971758+16.537837,57999.535,16.72602,0.01191764,W1
calib_s__69.971758+16.537837,57999.535,17.393701,0.045876328,W2
calib_s__69.971758+16.537837,58157.656,16.683851,0.011560602,W1
calib_s__69.971758+16.537837,58157.656,17.583925,0.055724468,W2
calib_s__69.971758+16.537837,58365.137,16.700924999999998,0.009153088,W1
calib_s__69.971758+16.537837,58365.137,17.421077999999998,0.045639418,W2
calib_s__69.971758+16.537837,58522.016,16.696188,0.010598489,W1
calib_s__69.971758+16.537837,58522.016,17.360257999999998,0.045489646,W2
calib_s__69.971758+16.537837,58730.73,16.707737,0.01192097,W1
calib_s__69.971758+16.537837,58730.73,17.348482999999998,0.04671374,W2
calib_s__69.971758+16.537837,58888.996,16.676282999999998,0.010190761,W1
calib_s__69.971758+16.537837,58888.996,17.356409,0.040817037,W2
calib_s__69.971758+16.537837,59098.035,16.699552,0.011122699,W1
calib_s__69.971758+16.537837,59094.96,17.330735999999998,0.04510519,W2
calib_s__70.01125+16.626595,55251.82,16.296971,0.008001344,W1
calib_s__70.01125+16.626595,55253.176,16.947948,0.029050209,W2
calib_s__70.01125+16.626595,55444.324,16.3301865,0.008187782,W1
calib_s__70.01125+16.626595,55444.324,16.981639,0.028402155,W2
calib_s__70.01125+16.626595,56715.355,16.360547,0.008524907,W1
calib_s__70.01125+16.626595,56715.355,16.98437,0.030687695,W2
calib_s__70.01125+16.626595,56906.426,16.343316,0.008329301,W1
calib_s__70.01125+16.626595,56906.426,16.947912,0.029208658,W2
calib_s__70.01125+16.626595,57074.4,16.332742,0.0084459,W1
calib_s__70.01125+16.626595,57074.4,16.929195,0.030325916,W2
calib_s__70.01125+16.626595,57269.67,16.335102,0.008192022,W1
calib_s__70.01125+16.626595,57269.67,17.120431,0.03736954,W2
calib_s__70.01125+16.626595,57434.89,16.365143,0.0077059525,W1
calib_s__70.01125+16.626595,57434.89,17.046255,0.036944408,W2
calib_s__70.01125+16.626595,57635.297,16.328829,0.0079644965,W1
calib_s__70.01125+16.626595,57635.297,17.045195,0.031918548,W2
calib_s__70.01125+16.626595,57800.586,16.381245999999997,0.008620008,W1
calib_s__70.01125+16.626595,57800.586,17.0750115,0.03440382,W2
calib_s__70.01125+16.626595,57999.535,16.346984,0.008206086,W1
calib_s__70.01125+16.626595,57999.535,17.053791,0.03171442,W2
calib_s__70.01125+16.626595,58157.656,16.360793,0.007939535,W1
calib_s__70.01125+16.626595,58157.656,16.970347,0.029901106,W2
calib_s__70.01125+16.626595,58365.137,16.35252,0.007570851,W1
calib_s__70.01125+16.626595,58365.137,16.990153,0.034870595,W2
calib_s__70.01125+16.626595,58522.016,16.3421875,0.007595786,W1
calib_s__70.01125+16.626595,58522.016,17.041677,0.031326912,W2
calib_s__70.01125+16.626595,58730.73,16.358564,0.008225361,W1
calib_s__70.01125+16.626595,58730.73,17.026186,0.03276742,W2
calib_s__70.01125+16.626595,58888.996,16.351269000000002,0.008108991,W1
calib_s__70.01125+16.626595,58888.996,17.024204,0.031903017,W2
calib_s__70.01125+16.626595,59098.035,16.372996999999998,0.00910611,W1
calib_s__70.01125+16.626595,59094.96,17.000357,0.036574908,W2
calib_s__69.938404+16.548089,55250.727,16.431874,0.008762487,W1
calib_s__69.938404+16.548089,55250.727,17.161373,0.031687137,W2
calib_s__69.938404+16.548089,55441.613,16.475334,0.009461766,W1
calib_s__69.938404+16.548089,55441.613,17.1311095,0.033094157,W2
calib_s__69.938404+16.548089,56714.04,16.425862000000002,0.009449622,W1
calib_s__69.938404+16.548089,56714.04,17.070363999999998,0.034816805,W2
calib_s__69.938404+16.548089,56905.043,16.413207999999997,0.0090068355,W1
calib_s__69.938404+16.548089,56905.043,17.139808,0.034329873,W2
calib_s__69.938404+16.548089,57075.613,16.437269,0.008529159,W1
calib_s__69.938404+16.548089,57073.082,17.056896,0.028809518,W2
calib_s__69.938404+16.548089,57268.23,16.423281,0.008927221,W1
calib_s__69.938404+16.548089,57266.79,17.157545,0.04175965,W2
calib_s__69.938404+16.548089,57433.58,16.431313,0.007837148,W1
calib_s__69.938404+16.548089,57433.58,17.140852,0.041217163,W2
calib_s__69.938404+16.548089,57633.92,16.457092,0.009211635,W1
calib_s__69.938404+16.548089,57633.984,17.110878,0.037324104,W2
calib_s__69.938404+16.548089,57799.277,16.417335,0.009615391,W1
calib_s__69.938404+16.548089,57799.21,17.104664,0.03348374,W2
calib_s__69.938404+16.548089,57998.094,16.473817,0.010242003,W1
calib_s__69.938404+16.548089,57998.094,17.111342999999998,0.040324856,W2
calib_s__69.938404+16.548089,58156.348,16.435566,0.008899478,W1
calib_s__69.938404+16.548089,58156.348,17.094134,0.033195168,W2
calib_s__69.938404+16.548089,58363.83,16.439757999999998,0.0076361885,W1
calib_s__69.938404+16.548089,58363.83,17.117432,0.033820797,W2
calib_s__69.938404+16.548089,58520.574,16.431509,0.0086222775,W1
calib_s__69.938404+16.548089,58520.574,17.101768,0.033557393,W2
calib_s__69.938404+16.548089,58729.293,16.428404999999998,0.009752761,W1
calib_s__69.938404+16.548089,58729.293,17.111559,0.038390327,W2
calib_s__69.938404+16.548089,58887.688,16.441834,0.008746228,W1
calib_s__69.938404+16.548089,58887.688,17.11172,0.03404112,W2
calib_s__69.938404+16.548089,59097.25,16.443043,0.010006458,W1
calib_s__69.938404+16.548089,59093.586,17.296713,0.050995745,W2
calib_s__69.938404+16.548089,59093.586,18.349805,0.12950364,W2
calib_s__69.957083+16.56591,55251.82,15.723268,0.0048257266,W1
calib_s__69.957083+16.56591,55253.176,16.440159,0.017603893,W2
calib_s__69.957083+16.56591,55444.324,15.741560999999999,0.0053496156,W1
calib_s__69.957083+16.56591,55444.324,16.443945,0.018320829,W2
calib_s__69.957083+16.56591,56715.355,15.714864,0.004940962,W1
calib_s__69.957083+16.56591,56715.355,16.395531,0.018421479,W2
calib_s__69.957083+16.56591,56906.426,15.728717,0.0049176207,W1
calib_s__69.957083+16.56591,56906.426,16.434175,0.018088585,W2
calib_s__69.957083+16.56591,57074.4,15.747171999999999,0.004736308,W1
calib_s__69.957083+16.56591,57074.4,16.39189,0.01682734,W2
calib_s__69.957083+16.56591,57269.67,15.739484,0.005214238,W1
calib_s__69.957083+16.56591,57269.67,16.394811,0.020935023,W2
calib_s__69.957083+16.56591,57434.89,15.740214,0.0044161254,W1
calib_s__69.957083+16.56591,57434.89,16.4424355,0.02093724,W2
calib_s__69.957083+16.56591,57635.297,15.745896,0.004941832,W1
calib_s__69.957083+16.56591,57635.297,16.416126,0.01843133,W2
calib_s__69.957083+16.56591,57800.586,15.742923,0.0049088947,W1
calib_s__69.957083+16.56591,57800.586,16.408639,0.018062534,W2
calib_s__69.957083+16.56591,57999.535,15.7431065,0.0051156273,W1
calib_s__69.957083+16.56591,57999.535,16.433491,0.018962089,W2
calib_s__69.957083+16.56591,58157.656,15.772552,0.005200609,W1
calib_s__69.957083+16.56591,58157.656,16.386147,0.018688122,W2
calib_s__69.957083+16.56591,58365.137,15.752538,0.0043744748,W1
calib_s__69.957083+16.56591,58365.137,16.451294,0.019515852,W2
calib_s__69.957083+16.56591,58522.016,15.757013,0.004878795,W1
calib_s__69.957083+16.56591,58522.016,16.464584,0.019139439,W2
calib_s__69.957083+16.56591,58730.73,15.753396,0.0051570954,W1
calib_s__69.957083+16.56591,58730.73,16.41058,0.019819885,W2
calib_s__69.957083+16.56591,58888.996,15.737024,0.0049285865,W1
calib_s__69.957083+16.56591,58888.996,16.444553,0.018957425,W2
calib_s__69.957083+16.56591,59098.035,15.772917,0.0053669596,W1
calib_s__69.957083+16.56591,59094.96,16.505577,0.021964828,W2
calib_s__70.029679+16.568216,55251.82,16.871741999999998,0.012525839,W1
calib_s__70.029679+16.568216,55253.176,17.617131,0.05000358,W2
calib_s__70.029679+16.568216,55253.176,18.926224,0.16542074,W2
calib_s__70.029679+16.568216,55444.324,16.843152,0.012961406,W1
calib_s__70.029679+16.568216,55444.324,17.447336,0.044298325,W2
calib_s__70.029679+16.568216,56715.355,16.854781,0.012747459,W1
calib_s__70.029679+16.568216,56715.355,17.559829999999998,0.049721554,W2
calib_s__70.029679+16.568216,56906.426,16.824469,0.013226709,W1
calib_s__70.029679+16.568216,56906.426,17.527228,0.052119154,W2
calib_s__70.029679+16.568216,57074.4,16.864896,0.012314547,W1
calib_s__70.029679+16.568216,57074.4,17.50605,0.046317283,W2
calib_s__70.029679+16.568216,57269.67,16.862186,0.014590114,W1
calib_s__70.029679+16.568216,57269.67,17.469798,0.056550793,W2
calib_s__70.029679+16.568216,57434.89,16.832850999999998,0.011100253,W1
calib_s__70.029679+16.568216,57434.89,17.582478,0.056912057,W2
calib_s__70.029679+16.568216,57635.297,16.823231,0.012195843,W1
calib_s__70.029679+16.568216,57635.297,17.465702,0.047386203,W2
calib_s__70.029679+16.568216,57800.586,16.835405,0.012199097,W1
calib_s__70.029679+16.568216,57800.586,17.498511,0.047012962,W2
calib_s__70.029679+16.568216,57999.535,16.859974,0.013078241,W1
calib_s__70.029679+16.568216,57999.535,17.616567,0.054649524,W2
calib_s__70.029679+16.568216,58157.656,16.872427000000002,0.012931829,W1
calib_s__70.029679+16.568216,58157.656,17.479503,0.04936414,W2
calib_s__70.029679+16.568216,58365.137,16.846563,0.01090946,W1
calib_s__70.029679+16.568216,58365.137,17.572246,0.055148695,W2
calib_s__70.029679+16.568216,58522.016,16.85906,0.01245767,W1
calib_s__70.029679+16.568216,58522.016,17.590981,0.05138604,W2
calib_s__70.029679+16.568216,58730.73,16.854993999999998,0.0132861,W1
calib_s__70.029679+16.568216,58730.73,17.578440999999998,0.054963946,W2
calib_s__70.029679+16.568216,58888.996,16.836672,0.012801248,W1
calib_s__70.029679+16.568216,58888.996,17.599827,0.055835325,W2
calib_s__70.029679+16.568216,59098.035,16.907065,0.014768175,W1
calib_s__70.029679+16.568216,59098.035,19.242323999999996,0.121793605,W1
calib_s__70.029679+16.568216,59094.96,17.61555,0.06181932,W2
calib_s__69.88603+16.501604,55250.727,16.875344,0.014432416,W1
calib_s__69.88603+16.501604,55250.727,17.365714,0.04298411,W2
calib_s__69.88603+16.501604,55441.613,16.89053,0.013475249,W1
calib_s__69.88603+16.501604,55441.613,17.500258,0.047930572,W2
calib_s__69.88603+16.501604,56714.04,16.875068,0.01358408,W1
calib_s__69.88603+16.501604,56714.04,17.305619,0.04175794,W2
calib_s__69.88603+16.501604,56905.043,16.829239,0.013297558,W1
calib_s__69.88603+16.501604,56905.043,17.33932,0.045336068,W2
calib_s__69.88603+16.501604,57075.613,16.873472,0.0123989405,W1
calib_s__69.88603+16.501604,57073.082,17.444667,0.042869836,W2
calib_s__69.88603+16.501604,57268.23,16.879423,0.012850178,W1
calib_s__69.88603+16.501604,57266.79,17.415676,0.05160764,W2
calib_s__69.88603+16.501604,57433.58,16.866919,0.011642835,W1
calib_s__69.88603+16.501604,57433.58,17.315699,0.050987896,W2
calib_s__69.88603+16.501604,57633.92,16.845214499999997,0.013672202,W1
calib_s__69.88603+16.501604,57633.984,17.25873,0.045556504,W2
calib_s__69.88603+16.501604,57799.277,16.826175,0.013042235,W1
calib_s__69.88603+16.501604,57799.21,17.2590325,0.037775543,W2
calib_s__69.88603+16.501604,57998.094,16.87367,0.01309094,W1
calib_s__69.88603+16.501604,57998.094,17.395378,0.0466903,W2
calib_s__69.88603+16.501604,58156.348,16.884939,0.01302536,W1
calib_s__69.88603+16.501604,58156.348,17.346624,0.042824116,W2
calib_s__69.88603+16.501604,58363.83,16.859819,0.01099722,W1
calib_s__69.88603+16.501604,58363.83,17.304697,0.040925164,W2
calib_s__69.88603+16.501604,58520.574,16.86108,0.012162157,W1
calib_s__69.88603+16.501604,58520.574,17.384594,0.042811017,W2
calib_s__69.88603+16.501604,58729.293,16.85866,0.013589499,W1
calib_s__69.88603+16.501604,58729.293,17.343937,0.045008317,W2
calib_s__69.88603+16.501604,58887.688,16.858874,0.012215365,W1
calib_s__69.88603+16.501604,58887.688,17.308035999999998,0.038513146,W2
calib_s__69.88603+16.501604,59097.25,16.895527,0.014630001,W1
calib_s__69.88603+16.501604,59093.586,17.37156,0.052953225,W2
calib_s__69.940061+16.506431,55250.727,16.376472,0.009149184,W1
calib_s__69.940061+16.506431,55250.727,18.311985999999997,0.05074963,W1
calib_s__69.940061+16.506431,55250.727,17.085532,0.032440297,W2
calib_s__69.940061+16.506431,55441.613,16.380229999999997,0.008534589,W1
calib_s__69.940061+16.506431,55441.613,17.066803,0.031887818,W2
calib_s__69.940061+16.506431,56714.04,16.381142,0.009785317,W1
calib_s__69.940061+16.506431,56714.04,18.5095,0.06229382,W1
calib_s__69.940061+16.506431,56714.04,17.069283,0.035590556,W2
calib_s__69.940061+16.506431,56905.043,16.401296000000002,0.00881365,W1
calib_s__69.940061+16.506431,56905.043,18.380952999999998,0.05351204,W1
calib_s__69.940061+16.506431,56905.043,17.225787999999998,0.03933819,W2
calib_s__69.940061+16.506431,56905.043,18.614621,0.14575332,W2
