oid,time,magnitude,error,band
QSO_332.752502-63.348846,57138.29372165592,18.089,,W1
QSO_332.752502-63.348846,58397.91690350004,18.74,0.287,W1
QSO_332.752502-63.348846,58598.43618699999,18.491,,W1
QSO_332.752502-63.348846,58762.13792050004,19.156,,W1
QSO_332.752502-63.348846,59329.96269949997,17.344,0.101,W1
QSO_332.752502-63.348846,59860.61054000002,18.959000000000003,0.311,W1
QSO_332.752502-63.348846,60225.1037375,18.995,0.278,W1
QSO_332.752502-63.348846,60425.43310600003,18.431,0.367,W1
QSO_332.752502-63.348846,57138.29372165592,18.812,,W2
QSO_332.752502-63.348846,58397.91690350004,18.46,,W2
QSO_332.752502-63.348846,58598.43618699999,18.653,,W2
QSO_332.752502-63.348846,58762.13792050004,18.153,0.423,W2
QSO_332.752502-63.348846,59329.96269949997,18.325,,W2
QSO_332.752502-63.348846,59860.61054000002,18.652,,W2
QSO_332.752502-63.348846,60225.1037375,18.883,,W2
QSO_332.752502-63.348846,60425.43310600003,18.536,,W2
QSO_332.7763115434123-63.4093005606435,55311.85677650002,18.711,0.212,W1
QSO_332.7763115434123-63.4093005606435,55311.92295099998,18.394,0.163,W1
QSO_332.7763115434123-63.4093005606435,55312.12121899999,18.277,0.146,W1
QSO_332.7763115434123-63.4093005606435,55312.18739350003,18.473,0.176,W1
QSO_332.7763115434123-63.4093005606435,55312.253421999965,18.84,0.25,W1
QSO_332.7763115434123-63.4093005606435,55312.51797400002,18.155,0.13,W1
QSO_332.7763115434123-63.4093005606435,55493.514027999976,18.238,0.129,W1
QSO_332.7763115434123-63.4093005606435,55493.64623100003,18.641,0.196,W1
QSO_332.7763115434123-63.4093005606435,55493.7783245,18.987,0.267,W1
QSO_332.7763115434123-63.4093005606435,55493.77847050003,18.448,0.161,W1
QSO_332.7763115434123-63.4093005606435,55493.976702000014,18.777,0.225,W1
QSO_332.7763115434123-63.4093005606435,55494.04276699998,18.586,0.19,W1
QSO_332.7763115434123-63.4093005606435,55494.10879549999,18.966,0.245,W1
QSO_332.7763115434123-63.4093005606435,55494.17497000003,18.825000000000003,0.23,W1
QSO_332.7763115434123-63.4093005606435,55494.24103499999,18.766,0.245,W1
QSO_332.7763115434123-63.4093005606435,55494.3070635,18.433,0.155,W1
QSO_332.7763115434123-63.4093005606435,55494.37323799997,18.769,0.228,W1
