oid,time,magnitude,error,band
QSO_187.907375+0.875083,56833.6786245,18.369,0.239,W1
QSO_187.907375+0.875083,57191.89616335567,18.876,0.253,W1
QSO_187.907375+0.875083,58115.11176449998,18.562,0.202,W1
QSO_187.907375+0.875083,58115.37339649997,18.346,0.373,W1
QSO_187.907375+0.875083,58274.85813899997,18.868,,W1
QSO_187.907375+0.875083,58479.303362499966,19.209000000000003,0.408,W1
QSO_187.907375+0.875083,58638.79412750001,19.255000000000003,0.375,W1
QSO_187.907375+0.875083,58846.3088185,18.877,0.311,W1
QSO_187.907375+0.875083,59734.564579,19.225,0.34,W1
QSO_187.907375+0.875083,59941.91925400003,18.938,0.365,W1
QSO_187.907375+0.875083,56833.6786245,18.642,,W2
QSO_187.907375+0.875083,57191.89616335567,18.255,0.385,W2
QSO_187.907375+0.875083,58115.11176449998,18.489,,W2
QSO_187.907375+0.875083,58115.37339649997,18.188,,W2
QSO_187.907375+0.875083,58274.85813899997,17.919999999999998,0.32,W2
QSO_187.907375+0.875083,58479.303362499966,17.663,0.413,W2
QSO_187.907375+0.875083,58638.79412750001,18.418,,W2
QSO_187.907375+0.875083,58846.3088185,18.787,,W2
QSO_187.907375+0.875083,59734.564579,18.408,,W2
QSO_187.907375+0.875083,59941.91925400003,18.342,,W2
QSO_188.6221976+0.9729905,55371.3769615,19.165,0.311,W1
QSO_188.6221976+0.9729905,55371.509201,18.682,0.217,W1
QSO_188.6221976+0.9729905,55371.64140399997,18.526,0.191,W1
QSO_188.6221976+0.9729905,55371.77349750003,18.74,0.214,W1
QSO_188.6221976+0.9729905,55371.77360700003,19.504,0.436,W1
QSO_188.6221976+0.9729905,55371.83967199999,19.069000000000003,0.291,W1
QSO_188.6221976+0.9729905,55371.9057005,18.856,0.335,W1
QSO_188.6221976+0.9729905,55371.97187499996,19.343,0.46,W1
QSO_188.6221976+0.9729905,55372.03790349997,18.977,,W1
QSO_188.6221976+0.9729905,55372.10407800002,18.619,0.195,W1
QSO_188.6221976+0.9729905,55372.23628099999,19.036,0.294,W1
QSO_188.6221976+0.9729905,55372.36852049999,19.309,0.373,W1
QSO_188.6221976+0.9729905,55372.500723499965,19.663,0.54,W1
QSO_188.6221976+0.9729905,55559.97337400002,19.031,0.301,W1
QSO_188.6221976+0.9729905,55560.10546749999,19.073,0.318,W1
QSO_188.6221976+0.9729905,55560.23767049996,18.825000000000003,0.246,W1
QSO_188.6221976+0.9729905,55560.303735500005,18.769,0.237,W1
QSO_188.6221976+0.9729905,55560.369909999965,19.075000000000003,0.375,W1
QSO_188.6221976+0.9729905,55560.43593849998,19.292,0.392,W1
QSO_188.6221976+0.9729905,55560.50196699999,19.37,0.405,W1
QSO_188.6221976+0.9729905,55560.56814150004,18.74,0.229,W1
QSO_188.6221976+0.9729905,55560.700235,18.725,0.246,W1
QSO_188.6221976+0.9729905,55560.832437999976,19.018,0.305,W1
QSO_188.6221976+0.9729905,56658.043216000005,18.726,0.239,W1
QSO_188.6221976+0.9729905,56658.17490799999,18.522,0.19,W1
QSO_188.6221976+0.9729905,56658.43818250004,18.921,0.39,W1
QSO_188.6221976+0.9729905,56658.56991099996,18.763,0.295,W1
QSO_188.6221976+0.9729905,56658.76752200004,18.696,0.216,W1
QSO_188.6221976+0.9729905,56658.899104500015,18.445,0.21,W1
QSO_188.6221976+0.9729905,56658.89921400002,18.547,0.229,W1
QSO_188.6221976+0.9729905,56833.74454350001,18.09,0.178,W1
QSO_188.6221976+0.9729905,56833.87601649999,18.477,0.192,W1
QSO_188.6221976+0.9729905,56833.94167999996,18.779,0.29,W1
QSO_188.6221976+0.9729905,56833.94178949997,18.937,,W1
QSO_188.6221976+0.9729905,56834.00745300002,18.312,0.17,W1
QSO_188.6221976+0.9729905,56834.204698999965,18.65,,W1
QSO_188.6221976+0.9729905,56834.33628150003,19.003,0.279,W1
QSO_188.6221976+0.9729905,57022.05147450003,18.258,0.163,W1
QSO_188.6221976+0.9729905,57022.18280149998,18.155,0.207,W1
QSO_188.6221976+0.9729905,57022.3141285,18.728,0.303,W1
QSO_188.6221976+0.9729905,57022.37979199997,19.418,0.491,W1
QSO_188.6221976+0.9729905,57022.57678249997,18.744,0.227,W1
QSO_188.6221976+0.9729905,57022.64244600002,18.49,0.183,W1
QSO_188.6221976+0.9729905,57022.77373650002,18.855,,W1
QSO_188.6221976+0.9729905,57022.90506349996,18.601,0.204,W1
QSO_188.6221976+0.9729905,57192.42066837226,18.91,0.332,W1
QSO_188.6221976+0.9729905,57193.01072739098,18.746,0.229,W1
