oid,time,magnitude,error,band
QSO_254.147806+45.687091,55246.15048025002,18.988,0.0671799203661694,W1
QSO_254.147806+45.687091,55426.748830250006,18.875,0.040161801573237,W1
QSO_254.147806+45.687091,56708.92027399996,18.838,0.0399076286397527,W1
QSO_254.147806+45.687091,56889.37240499997,18.865,0.0574240970070123,W1
QSO_254.147806+45.687091,57072.75547090541,18.8315,0.0646896823303378,W1
QSO_254.147806+45.687091,57248.02701712291,18.882,0.0763108756747537,W1
QSO_254.147806+45.687091,57436.67390387844,18.79,0.0520904795344825,W1
QSO_254.147806+45.687091,57607.28327746891,18.93,0.0655592244005371,W1
QSO_254.147806+45.687091,57803.54225299996,18.861,0.0410919574135327,W1
QSO_254.147806+45.687091,57970.84080600006,18.864,0.0565581010413431,W1
QSO_254.147806+45.687091,58168.27883250005,18.8945,0.0511850006964569,W1
QSO_254.147806+45.687091,58331.10650050002,18.99,0.0733353225869136,W1
QSO_254.147806+45.687091,58532.31902850002,18.944000000000003,0.0546075141649128,W1
QSO_254.147806+45.687091,58695.41570150002,18.826,0.0651832751069174,W1
QSO_254.147806+45.687091,58899.28064080003,18.966500000000003,0.0587084704280396,W1
QSO_254.147806+45.687091,59061.95049369997,18.786,0.0314759875644351,W1
QSO_254.147806+45.687091,59264.322961000034,18.8145,0.0738397080860588,W1
QSO_254.147806+45.687091,59426.79422474999,18.736,0.0421804279708479,W1
QSO_254.147806+45.687091,59628.34258925,19.064,0.0677465777578198,W1
QSO_254.147806+45.687091,59790.54340624998,18.8605,0.0818113006942366,W1
QSO_254.147806+45.687091,59995.02620650004,18.986,0.0771864619352749,W1
QSO_254.147806+45.687091,60157.41175,18.835,0.0503779495780933,W1
QSO_254.147806+45.687091,60358.58119300003,18.872,0.1019124143133199,W1
QSO_254.147806+45.687091,60521.89169229997,18.932,0.2732646382172419,W1
QSO_254.147806+45.687091,55246.15048025002,18.6175,0.0388937636655415,W2
QSO_254.147806+45.687091,55426.748830250006,18.6215,0.0367617935014583,W2
QSO_254.147806+45.687091,56708.92027399996,18.343,0.0548838014600395,W2
QSO_254.147806+45.687091,56889.37240499997,18.378,0.0508531923952634,W2
QSO_254.147806+45.687091,57072.75547090541,18.551,0.0537353887117232,W2
QSO_254.147806+45.687091,57248.02701712291,18.255,0.0710513257955917,W2
QSO_254.147806+45.687091,57436.67390387844,18.429,0.0412295984655666,W2
QSO_254.147806+45.687091,57607.28327746891,18.388,0.06415608267343,W2
QSO_254.147806+45.687091,57803.54225299996,18.363,0.0467268366026247,W2
QSO_254.147806+45.687091,57970.84080600006,18.3,0.0557818620424247,W2
QSO_254.147806+45.687091,58168.27883250005,18.455,0.0558879928136692,W2
QSO_254.147806+45.687091,58331.10650050002,18.205,0.0684787229212646,W2
QSO_254.147806+45.687091,58532.31902850002,18.345,0.0591955301647444,W2
QSO_254.147806+45.687091,58695.41570150002,18.388,0.0683064795457137,W2
QSO_254.147806+45.687091,58899.28064080003,18.374,0.0472541479660781,W2
QSO_254.147806+45.687091,59061.95049369997,18.268500000000003,0.0780460804406835,W2
QSO_254.147806+45.687091,59264.322961000034,18.28,0.0826922416913309,W2
QSO_254.147806+45.687091,59426.79422474999,18.2615,0.066208591768038,W2
QSO_254.147806+45.687091,59628.34258925,18.356,0.0561792212684464,W2
QSO_254.147806+45.687091,59790.54340624998,18.265,0.0932531899422338,W2
