oid,time,magnitude,error,band
QSO_178.37331+28.50753,55349.11,19.38077,0.102235995,W1
QSO_178.37331+28.50753,55349.11,19.217623,0.17421421,W2
QSO_178.37331+28.50753,55538.89,19.652295000000002,0.14408854,W1
QSO_178.37331+28.50753,55538.89,19.389388,0.22329395,W2
QSO_178.37331+28.50753,56812.65,19.27599,0.08230134,W1
QSO_178.37331+28.50753,56812.65,19.1308005,0.15994595,W2
QSO_178.37331+28.50753,57002.418,19.630187,0.13088949,W1
QSO_178.37331+28.50753,57002.418,19.046378999999998,0.17950328,W2
QSO_178.37331+28.50753,57173.008,19.338402000000002,0.10035727,W1
QSO_178.37331+28.50753,57173.008,19.36228,0.24390031,W2
QSO_178.37331+28.50753,57365.75,19.298535,0.09835676,W1
QSO_178.37331+28.50753,57365.75,19.09372,0.18083204,W2
QSO_178.37331+28.50753,57531.887,19.600057999999997,0.13077167,W1
QSO_178.37331+28.50753,57531.887,19.087132,0.18306719,W2
QSO_178.37331+28.50753,57729.945,19.210161999999997,0.09545681,W1
QSO_178.37331+28.50753,57892.332,19.511491999999997,0.114863284,W1
QSO_178.37331+28.50753,57892.332,19.235992,0.19986022,W2
QSO_178.37331+28.50753,58095.5,19.336289999999998,0.10277622,W1
QSO_178.37331+28.50753,58095.566,19.030593,0.19449742,W2
QSO_178.37331+28.50753,58256.45,19.382859000000003,0.10002115,W1
QSO_178.37331+28.50753,58256.45,19.328015999999998,0.23697492,W2
QSO_178.37331+28.50753,58256.45,19.556886,0.28874066,W2
QSO_178.37331+28.50753,58461.13,19.368206999999998,0.0996683,W1
QSO_178.37331+28.50753,58461.19,19.046067999999998,0.18421045,W2
QSO_178.37331+28.50753,58618.387,19.708647,0.15320893,W1
QSO_178.37331+28.50753,58618.387,19.162665,0.22833346,W2
QSO_178.37331+28.50753,58825.445,19.565019999999997,0.1318181,W1
QSO_178.37331+28.50753,58825.445,18.865598,0.1667607,W2
QSO_178.37331+28.50753,58984.027,19.634062,0.12198978,W1
QSO_178.37331+28.50753,58983.96,19.519144999999998,0.2738727,W2
QSO_178.37331+28.50753,59191.082,19.192599,0.073510796,W1
