oid,time,magnitude,error,band
QSO_309.417833-45.632361,55305.945,19.984603999999997,0.19346909,W1
QSO_309.417833-45.632361,55305.945,19.850395,0.34331617,W2
QSO_309.417833-45.632361,55486.742,20.001477,0.18528455,W1
QSO_309.417833-45.632361,55486.742,19.712754999999998,0.2880233,W2
QSO_309.417833-45.632361,56771.457,20.0696,0.20495863,W1
QSO_309.417833-45.632361,56950.055,20.218380000000003,0.23935364,W1
QSO_309.417833-45.632361,57132.48,20.000298,0.21226098,W1
QSO_309.417833-45.632361,57312.04,19.872011999999998,0.1728628,W1
QSO_309.417833-45.632361,57496.73,19.771357000000002,0.14692022,W1
QSO_309.417833-45.632361,57669.52,20.005986,0.1854005,W1
QSO_309.417833-45.632361,57862.375,19.894868000000002,0.13539617,W1
QSO_309.417833-45.632361,58031.574,19.763807999999997,0.15293385,W1
QSO_309.417833-45.632361,58227.984,19.988959,0.18212873,W1
QSO_309.417833-45.632361,58392.125,19.871543,0.394309,W2
QSO_309.417833-45.632361,58595.26,20.162945,0.2315704,W1
QSO_309.417833-45.632361,58959.34,20.358007999999998,0.27078256,W1
QSO_309.417833-45.632361,58959.34,19.490607999999998,0.2939405,W2
QSO_309.417833-45.632361,59123.367,19.880927,0.16510056,W1
calib_s__310.341033-45.832757,55307.27,19.547866,0.11561263,W1
calib_s__310.341033-45.832757,55307.332,19.724601,0.269476,W2
calib_s__310.341033-45.832757,55489.457,19.655848,0.13543479,W1
calib_s__310.341033-45.832757,55489.457,19.292082999999998,0.18262379,W2
calib_s__310.341033-45.832757,56771.29,19.615557000000003,0.12740134,W1
calib_s__310.341033-45.832757,56771.29,19.577690999999998,0.27543172,W2
calib_s__310.341033-45.832757,56951.566,19.360996999999998,0.106197804,W1
calib_s__310.341033-45.832757,56951.566,19.486006999999997,0.26760986,W2
calib_s__310.341033-45.832757,57133.926,19.401065000000003,0.1258647,W1
calib_s__310.341033-45.832757,57133.926,19.555363999999997,0.32824978,W2
calib_s__310.341033-45.832757,57312.793,19.430166999999997,0.11141755,W1
calib_s__310.341033-45.832757,57312.793,19.2022345,0.20025353,W2
calib_s__310.341033-45.832757,57498.17,19.372467999999998,0.10538682,W1
calib_s__310.341033-45.832757,57498.17,19.240858,0.21524206,W2
calib_s__310.341033-45.832757,57671.027,19.368096,0.084936015,W1
calib_s__310.341033-45.832757,57671.027,19.642619999999997,0.2658467,W2
calib_s__310.341033-45.832757,57863.883,19.492275999999997,0.091600634,W1
calib_s__310.341033-45.832757,57863.883,19.442449,0.20090052,W2
calib_s__310.341033-45.832757,58033.016,19.700158000000002,0.13823009,W1
calib_s__310.341033-45.832757,58033.016,19.842837999999997,0.35418773,W2
calib_s__310.341033-45.832757,58229.49,19.599432999999998,0.13642435,W1
calib_s__310.341033-45.832757,58393.63,19.487658000000003,0.1183409,W1
calib_s__310.341033-45.832757,58393.63,19.126161,0.19673076,W2
calib_s__310.341033-45.832757,58596.047,19.454611,0.106782906,W1
calib_s__310.341033-45.832757,58596.047,19.531667,0.26978776,W2
