oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_203.984318-3.477279,,,,,,,,,,,0.0017282331126693108,1.0,0.0022129903781172595,1.0,0.0766139999999993,0.11409000000000091,0.11942599999999892,0.910762898619449,1.0,0.17647058823529413,0.0,2.4024599259419137,0.08397200000000282,0.0014091938938480377,18.33601432352941,0.003406832174878009,0.03744100000000117,0.35294117647058826,0.06666666666666667,0.008815297368829283,0.0766139999999993,0.30903483147914684,0.6871633453131727,0.7870442013151542,0.062467723556424035,0.8274738778580126,0.9868144717990984,5.189695728484595e-06,0.2832466000401491,1.7646435563797715,0.6180339980948049,-2.218585407284212e-05,0.21456050000000104,0.39141330256112716,1.0,0.29411764705882354,0.0,1.9234065166534742,0.07073700000000116,0.001429209297578622,18.148115176470586,0.005589612353754128,0.06975100000000012,0.35294117647058826,-0.13333333333333333,0.013781713286721089,0.11409000000000091,0.23426339326499168,0.20133519453340087,1.141662091121082,0.10144092878775277,0.7653956732259813,0.836578294973255,5.912798120261207e-06,0.22624147932350472,2.0790006843596545,0.995294795590135,-3.9350853906109864e-06
calib_s__203.905655-3.52259,,,,,,,,,,,0.035969352137736166,1.0,0.0025532074499793516,1.0,0.05945200000000028,0.1245599999999989,0.9321844999999982,1.0,1.0,0.10526315789473684,0.0,,1.730050999999996,inf,17.8033652631579,0.030658283246740813,0.02278000000000091,0.8947368421052632,0.0,0.10204858035043125,0.05945200000000028,0.23872827089608234,2.5364173889854937,7.501029613575241,0.5458206149830812,0.569038972727706,1.0,0.000932978607950775,0.8968182692916843,0.15234468106579677,0.6180339980948049,8.649458533234656e-05,0.20157100000000128,0.9725775894650855,1.0,0.17647058823529413,0.0,2.6976146366888867,0.1903519999999972,0.002175069884191912,18.200580000000002,0.0058309382260102165,0.07479300000000322,0.29411764705882354,0.0,0.016312845218751548,0.1245599999999989,0.20237011583587766,1.162371777847724,2.3350615144618723,0.10612645765755704,0.7607778068402533,0.8411780469851929,5.159685195709008e-06,0.3623631991201727,1.4200500720001763,0.6180339980948049,-1.7848290899537903e-05
calib_s__203.939169-3.449718,,,,,,,,,,,9.727580058613355e-10,1.0,0.004087278939670702,1.0,0.05235799999999813,0.11565999999999832,0.06770349999999858,0.4080078011718768,1.0,0.29411764705882354,0.0,2.180308798143265,-0.011694000000005644,0.000503731282529972,17.74903432352941,0.0019332992630606434,0.020148499999997682,0.4117647058823529,0.06666666666666667,0.004142224260186437,0.05235799999999813,0.17875933569023436,-0.06013238151010159,0.165502617228102,0.034314194977717476,0.8369582056360275,0.925489100801825,1.256293492488502e-06,0.18532458002721325,2.3580760201280238,0.6180339980948049,1.5972193119563917e-06,0.2788655000000002,0.8890517491948792,1.0,0.23529411764705882,0.0,2.8485309561066754,0.08755100000000482,0.002720944301067941,18.06907382352941,0.007160326372559103,0.05936099999999911,0.4117647058823529,0.0,0.01785298886128346,0.11565999999999832,0.21132712656039165,0.6148672293935988,2.215530752833127,0.129380465826335,0.7929215613219223,0.9770872667058209,2.7377528136665568e-05,0.34957510427141575,1.4703111150438468,0.9723259679683312,9.097554872859719e-06
calib_s__203.942392-3.564317,,,,,,,,,,,0.07120863193475852,1.0,0.006904012740297764,1.0,0.17327399999999926,0.13428525000000135,0.7996369999999988,0.9999999999999993,1.0,0.19047619047619047,0.0,,1.5884980000000013,inf,18.229019285714287,0.030366179603917083,0.06328699999999543,0.7619047619047619,0.06666666666666667,0.09319269968474514,0.17327399999999926,0.27862837333713375,1.5903202746251537,1.833654215637115,0.5535456736332683,0.7059490044635234,1.0,0.0009101469535242056,0.8612854667445964,0.20889895131485536,0.9933010417323166,-0.00014920789772820945,0.5477900000000009,0.9999999998048679,1.0,0.05555555555555555,0.0,,0.7816799999999944,inf,18.314985749999998,0.01279686068448005,0.05947274999999941,0.7222222222222222,-0.03333333333333333,0.051339153736160506,0.13428525000000135,0.2615283427598537,3.1360315070051032,15.254034139065627,0.23437432108098732,0.6561353136765447,0.9994057739816927,0.00012992447684374357,-0.5,-0.5,0.9920136722210151,-0.00010949920476778699
calib_s__203.95371-3.542129,,,,,,,,,,,0.11220558579571226,1.0,0.0098575887170855,1.0,0.7111555000000003,0.1451449999999994,0.6565759999999994,0.9361387368893428,1.0,0.3225806451612903,0.0,,0.18040700000000243,inf,18.528224209677415,0.022768956230736163,0.3069080000000035,0.22580645161290322,0.1,0.04071770946368894,0.7111555000000003,0.12206778778387736,0.18794494662986322,-1.0487383599322189,0.4218683260634112,0.8745958484973659,1.0,0.0005062476571860336,0.7962575140924868,0.31871846939295745,0.6180339980948049,-7.661921648537445e-06,0.3302145000000003,0.4345731427925557,1.0,0.23529411764705882,0.0,1.900409270856172,-0.044431000000002996,0.0023196584388019826,18.425795235294114,0.008100282913424113,0.08211100000000116,0.4117647058823529,-0.13333333333333333,0.01910274810075559,0.1451449999999994,0.23129637359918415,-0.12457490725221239,1.5763436388095156,0.14925415431070435,0.7797932510045774,0.9833011025572924,2.367558700114442e-05,0.24246512610341447,1.9821188763443098,0.9308440879515916,-1.0326419246703332e-05
calib_s__203.959224-3.515999,,,,,,,,,,,5.928422801310935e-10,1.0,0.012754310834437147,1.0,0.05733599999999939,0.21215849999999747,0.06516949999999966,0.49881327990556806,1.0,0.35294117647058826,0.0,1.874007979149613,0.01839700000000022,0.0005425944163740616,17.657651411764704,0.0019859824741425944,0.027006000000000085,0.23529411764705882,0.13333333333333333,0.004213514260015992,0.05733599999999939,0.28289688452638223,0.08141135238405439,-0.5321642008574949,0.03506778623828394,0.8968680967219163,0.9845067155283822,1.8787528605464013e-06,0.18459301890473565,2.363609106931219,0.9970477124330968,-9.380947845589971e-06,0.4863084999999998,0.9995203402154904,1.0,0.1111111111111111,0.0,,0.5479140000000058,inf,18.299509222222223,0.011325506867519153,0.10468999999999973,0.4444444444444444,0.1,0.041659377679944244,0.21215849999999747,0.2594560107141007,2.0614902553912713,8.343752815937687,0.20725121736850785,0.7734506166037323,0.9999754195137712,9.164754753064905e-05,0.5447992063470782,0.8496141540001557,0.9572109482568535,2.3886763287600905e-05
calib_s__203.963038-3.532925,,,,,,,,,,,0.0009302058997329884,1.0,0.0048035170849987435,1.0,0.04328999999999894,0.2064230000000009,0.09263199999999827,0.6866469393513838,1.0,0.35294117647058826,0.0,2.48312454357996,-0.04676200000000108,0.001077692719361525,18.10520888235294,0.0024892962099145005,0.022603999999997626,0.47058823529411764,0.26666666666666666,0.006406923385041102,0.04328999999999894,0.24315442108880583,-0.6861863721535896,1.71660427192904,0.04506922785055152,0.7304778031879433,0.9685367415950111,1.7928300223454252e-06,0.23089283602994803,2.05053169143729,0.6180339980948049,-3.386648567399775e-06,0.20381749999999954,0.8794184602467763,1.0,0.29411764705882354,0.0,2.734308948931836,0.08809099999999859,0.002217838683391897,18.33733788235294,0.007037937622562944,0.10243099999999927,0.23529411764705882,0.0,0.013534378986965077,0.2064230000000009,0.2276519472649041,0.4041144142294116,-0.8065126008666708,0.12905704017986047,0.844122411070513,0.9170002136489146,1.3954747843478415e-05,0.3911556166666765,1.3130911981839968,0.6180339980948049,-2.326018151404599e-05
calib_s__203.981439-3.476485,,,,,,,,,,,0.00938939568267484,1.0,0.006194126856337724,1.0,0.10625800000000396,0.18779974999999638,0.7378980000000013,1.0,1.0,0.05555555555555555,0.0,,1.275227000000008,inf,18.142274,0.01771453755100274,0.058320999999997625,0.9444444444444444,0.03333333333333333,0.07612822764313795,0.10625800000000396,0.23659418549492944,3.6546882251498354,18.962624066236124,0.32138199403358064,0.6422884785587575,1.0,0.00030722167638145057,0.6935234975215698,0.5119611078841992,0.9882105384350406,1.7071980406226384e-07,0.4420129999999993,0.9981310030354488,1.0,0.05555555555555555,0.0,,0.5004750000000016,inf,18.533206694444445,0.010556684062152273,0.10153249999999936,0.4444444444444444,-0.1,0.037415591688712675,0.18779974999999638,0.2590042369856811,1.9100575131782915,7.758326850116787,0.1956492077318155,0.7858749097788468,0.9602481683203888,5.860448917236622e-05,0.45048836862065955,1.115526949935641,0.6180339980948049,-1.0029694714189699e-05
calib_s__203.990584-3.437707,,,,,,,,,,,0.12521784385520449,1.0,0.008242015214765017,1.0,0.8347490000000022,0.11552037499999912,0.7768792500000004,0.9999999981460177,1.0,0.32,0.0,,1.1127010000000013,inf,18.071400399999998,0.030946734520985147,0.16479000000000354,0.52,0.2,0.0780705259035185,0.8347490000000022,0.13293266622434421,0.8540393277552976,-0.675066482157725,0.5592508306012247,0.8232353725479846,1.0,0.0009499389493334326,0.914401813911661,0.1251821559915629,0.6180339980948049,-8.342302533737123e-05,0.7185635000000001,0.9999999999864504,1.0,0.05555555555555555,0.0,,0.9112060000000071,inf,18.088977777777778,0.015816493711549084,0.06018600000000163,0.8333333333333334,-0.1,0.0651418316334088,0.11552037499999912,0.21606724475529007,3.1383043256628937,15.548385571487785,0.28610420327057334,0.6478574217044523,0.999999991040386,0.0002247140928684474,0.5507533315669966,0.8344083172394434,0.991196107252187,-0.00010987519651729086
calib_s__203.99525-3.456085,,,,,,,,,,,0.06743751667301412,1.0,2.331737896731934e-08,1.0,0.17108899999999494,0.09011699999999934,0.791520499999999,0.9999999999999947,1.0,0.19047619047619047,0.0,,1.4515370000000019,inf,17.91696771428571,0.02911796839729328,0.06137999999999977,0.7619047619047619,0.06666666666666667,0.08782609374563294,0.17108899999999494,0.18829957051255017,1.6686743357158862,2.376545852986341,0.5217056996798953,0.6849596692112087,1.0,0.0008406356087643592,0.8578197705219228,0.21453935140868904,0.6180339980948049,0.00011504588977464698,0.12373049999999886,0.26253536739525773,1.0,0.29411764705882354,0.0,2.378307377778217,0.05647599999999642,0.0010452866548899939,18.08682673529412,0.003964064629818526,0.061579500000000564,0.29411764705882354,0.06666666666666667,0.008411862864081805,0.09011699999999934,0.2322695426976742,0.07549889745678147,-0.4901700150487409,0.07169735012703551,0.8525045480637523,0.32277493014288555,-6.556978835370362e-06,-0.5,-0.5,0.6180339980948049,7.183450564835105e-07
