oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_173.220885147692-6.950703092744851,,,0.000130100452224724,191.0,1.0,,,0.011427482590079308,194.0,1.0,1.0,1.0,1.0,1.0,0.35474999999999923,0.3879999999999981,0.5162499999999994,0.9401461419508808,1.0,0.0,0.0,2.723618512860238,0.1775000000000091,10291.43972414443,18.473365979381445,0.014533120882947339,0.17849999999999966,0.5567010309278351,-0.23333333333333334,0.06584685392345398,0.35474999999999923,0.10112723754541886,-0.08425396632893661,1.8316175405582258,0.2684756608932774,,,,,,1.4667231262598302e-11,-9.664984912797715e-06,0.5952500000000001,0.8865671599619446,1.0,0.0,0.0,1.6569399498382622,-0.125,7671.231426621166,18.304715736040613,0.01651851506194292,0.21099999999999852,0.41624365482233505,-0.16666666666666666,0.057300185366917375,0.3879999999999981,0.11049149604046751,-0.29455113720606024,0.2608483914216788,0.30236672259037045,,,,,,0.9999999848794109,-3.7659367682907456e-05
QSO_173.23663918894005-7.000873302025419,-6.527364253997803,-0.02784721553325653,0.004266226664185524,193.0,1.0,,,0.00018658715998753905,196.0,1.0,0.01884073669860352,6.359581857613532e-06,1.0,1.0,0.2809999999999988,0.48024999999999807,0.477999999999998,0.998487279507907,1.0,0.2694300518134715,0.0,3.155224374159805,0.15149999999999864,5849.316877824243,18.29758549222798,0.012446820135854535,0.1460000000000008,0.41968911917098445,0.03333333333333333,0.037565616797900325,0.2809999999999988,0.09295526319962859,0.4867459317482495,0.4356688903071757,0.22774675554218304,0.7985999549406566,0.9999999550571838,4.245924320170588e-05,0.02084479465837758,-0.5,0.35344732209916074,-1.5619445969164417e-05,0.5822500000000019,0.9743598457205562,1.0,0.0,0.0,0.8936351351465844,-0.25150000000000716,4020.5491888557594,18.27866836734694,0.017759862750232655,0.23650000000000126,0.4030612244897959,0.03333333333333333,0.05776440005472716,0.48024999999999807,0.10039887348076813,-0.4224347751402195,0.17062947785492044,0.3246266414611008,,,,,,0.9999999848794109,-3.746341000209229e-05
QSO_173.319861-6.945805,-79.24346160888672,-0.052890848368406296,0.0006674474570900202,86.0,1.0,,,0.0008344654343090951,86.0,1.0,1.0,1.0,1.0,1.0,0.3747499999999988,0.5189999999999984,0.6464999999999996,0.8892195809499448,1.0,0.0,0.0,1.7273994561545443,-0.16600000000000392,5719.490395365229,18.7008125,0.0173134950514965,0.20199999999999818,0.4895833333333333,-0.16666666666666666,0.055717689897989316,0.3747499999999988,0.1299926074252069,-0.1773177434816217,1.3329095119485594,0.3237764246777139,,,,,,4.2300630066830894e-13,-2.682890670409985e-05,0.5779999999999994,0.9444774135927659,1.0,0.0,0.0,1.198953874824705,-0.2820000000000036,5601.092558874639,18.271090909090912,0.017958157484040053,0.24200000000000088,0.37373737373737376,0.03333333333333333,0.04878981587717864,0.5189999999999984,0.09620299058689347,-0.3358356548289942,-0.43711228928593915,0.32811512795066716,,,,,,0.9999999848794109,-2.8975924307300194e-06
QSO_173.32014817241947-6.896629460427638,,,0.00015229279233608395,185.0,1.0,,,0.007125492207705975,188.0,1.0,1.0,1.0,1.0,1.0,0.3467500000000001,0.4435000000000002,0.5202500000000025,0.8775766055814509,1.0,0.0,0.005376344086021506,0.7898652804460623,0.03900000000000148,4134.790279234278,18.514159574468085,0.01405342775099015,0.17550000000000132,0.3776595744680851,-0.1,0.037912385073012665,0.3467500000000001,0.10229877047248964,0.10889829764693101,-0.2995148991058172,0.26018740395008977,,,,,,4.2300630066830894e-13,-4.748367530829536e-06,0.570999999999998,0.9998325438108875,1.0,0.0,0.0,0.7944140900750537,-0.4504999999999981,3834.2435951676193,18.32023560209424,0.01760372051744841,0.2259999999999991,0.4973821989528796,0.16666666666666666,0.08622193154567259,0.4435000000000002,0.15732817724536038,-1.0142660833105464,2.7454272272450932,0.32250430735307517,,,,,,0.9999999848794109,-5.796864696588024e-05
QSO_173.32704751133593-6.911448617398121,-360.9431457519531,-0.016578346490859985,4.593063204083592e-05,190.0,1.0,,,0.000208845769520849,193.0,1.0,0.008317295393055858,0.009933658078191283,1.0,1.0,0.21699999999999875,0.3934999999999995,0.3520000000000003,0.9999980897105517,1.0,0.27461139896373055,0.0,0.7112684641076094,0.1910000000000025,3132.419967519063,17.98456476683938,0.009892065336501565,0.11000000000000298,0.45595854922279794,0.1,0.028668448007125397,0.21699999999999875,0.12374153632415057,0.5580794382652909,0.10506601458228859,0.17790448972211917,0.8086121735469836,0.9999719458057031,3.0327231810422918e-05,0.29114011742643914,0.8026074396079313,4.2300630066830894e-13,-5.9431794479154425e-06,0.5765000000000011,0.9924421393502592,1.0,0.0,0.0,1.8347562247672886,-0.1560000000000059,5789.9541090585635,18.257362244897962,0.015696620245033637,0.20849999999999724,0.33163265306122447,0.03333333333333333,0.04652246621158545,0.3934999999999995,0.13312212450374483,-0.3456678596257204,0.02631476372446917,0.2865788818341781,,,,,,0.9999999848794109,-2.7137274210401047e-05
QSO_173.3474152944336-6.9046783554910816,,,0.0006870945799164474,169.0,1.0,,,0.003139530774205923,172.0,1.0,1.0,1.0,1.0,1.0,0.3527499999999968,0.4450000000000003,0.5449999999999999,0.36188532833779635,1.0,0.0,0.0,1.9629440286646471,0.12049999999999272,7987.249063630952,18.64019540229885,0.014539139381349953,0.177500000000002,0.4885057471264368,0.1,0.04918296707719567,0.3527499999999968,0.07585557572672752,0.1177075712876603,0.5053499664268273,0.27101239904962154,,,,,,4.2300630066830894e-13,-1.2224867421614553e-05,0.6050000000000004,0.9830792055883162,1.0,0.0,0.0,1.2754368888847618,-0.16149999999999665,5680.365072294044,18.29540677966102,0.018220606129375733,0.22199999999999775,0.3502824858757062,-0.03333333333333333,0.0503168706293706,0.4450000000000003,0.16248116906676585,-0.3218194432019423,-0.3204991302670508,0.3333534009089139,,,,,,0.9999999848794109,-7.185001525688573e-05
QSO_173.3691850723716-6.936881483622731,-24.01088523864746,-0.014485722407698631,0.0006032981327734888,192.0,1.0,,,0.001955912448465824,195.0,1.0,0.011194892215163007,0.0013390076133196081,1.0,1.0,0.2242500000000014,0.4269999999999996,0.34575000000000067,0.955371657271126,1.0,0.2760416666666667,0.0,2.5223859310026113,0.08899999999999864,4781.420477088078,17.895010416666665,0.009708011555374622,0.11350000000000193,0.4635416666666667,0.1,0.027648094825417358,0.2242500000000014,0.07535058394524131,0.25786238392410005,0.135791190771668,0.17372496790854922,0.8127466708395199,0.9999999996115776,3.531037103814322e-05,0.8176173885411883,2.1854656325514177,4.2300630066830894e-13,-2.7129301865341092e-06,0.5359999999999996,0.6115770432866018,1.0,0.0,0.0,0.5672806854614876,-0.08749999999999858,3214.936054118292,18.25108205128205,0.015062015756230939,0.21599999999999753,0.36923076923076925,-0.1,0.040092014459415015,0.4269999999999996,0.1416913845548722,-0.09564501153264085,-0.45007649296502805,0.2748980854246739,,,,,,1.5112728163104154e-10,-4.267714526078662e-05
QSO_173.38818726515362-6.956111661888625,-13.964727401733398,-0.015068559907376766,0.0010790443047881126,188.0,1.0,,,0.01437376532703638,191.0,1.0,0.0032017597048116238,72.8194053965205,1.0,1.0,0.17099999999999937,0.45300000000000296,0.3367500000000003,0.999013126515033,1.0,0.2765957446808511,0.0,1.913866883379995,-0.0009999999999976694,4244.079890139121,17.914031914893616,0.008844618865656568,0.08749999999999858,0.5638297872340425,-0.1,0.032928361960619885,0.17099999999999937,0.116313177312253,-0.08603463611055094,1.2905162408576363,0.15844278463444192,0.7681256211831676,0.9980052286302095,1.925323758008768e-05,0.45702168366628365,2.096258101963355,0.9148411057452334,-4.230028269930543e-06,0.60825,0.7221281823605252,1.0,0.0,0.0,1.0376032532704578,0.018499999999995964,5954.337664205343,18.244821989528795,0.017903399539189582,0.2270000000000003,0.35602094240837695,-0.03333333333333333,0.0399978083392691,0.45300000000000296,0.11107841009161322,-0.06162044211327384,-0.5241459654368015,0.3266443375999258,,,,,,0.9999999848794109,-4.926282003854315e-05
QSO_173.4017393938757-6.986445207777519,-20.962562561035156,-0.009865986183285713,0.00047064790851436555,158.0,1.0,,,0.006273915991187096,161.0,1.0,0.006319005858592298,0.3856644877861519,1.0,1.0,0.17875000000000085,0.4400000000000013,0.2835000000000001,0.9999999999747833,1.0,0.2037037037037037,0.0,,0.06200000000000472,inf,17.648561728395062,0.00988147166678431,0.08300000000000196,0.8024691358024691,0.1,0.07252946509519499,0.17875000000000085,0.16213481828069115,2.3440953155134303,17.375377082769432,0.17439376267862972,0.7797280057734866,0.9999999999373281,5.610460768101679e-05,2.7768466730865935,3.0,2.8392126398036814e-05,-3.205739929993771e-05,0.5854999999999997,0.44761994047559484,1.0,0.0,0.006134969325153374,,-0.0009999999999976694,inf,18.058545454545452,0.017150143949384036,0.22100000000000009,0.34545454545454546,0.16666666666666666,0.04144532979194327,0.4400000000000013,0.17080590237277996,0.05830853865399334,-0.4791317831298345,0.3097066540619493,,,,,,0.9999999848794109,-6.162633284043143e-05
QSO_173.4041600871238-6.998154402056888,,,0.006514957174658775,178.0,1.0,,,0.003042534226551652,181.0,1.0,1.0,1.0,1.0,1.0,0.4057499999999976,0.4609999999999985,0.5614999999999988,0.9999694765079101,1.0,0.0,0.0,2.0161934348877626,0.1039999999999992,4952.0538584349015,18.579404494382022,0.018205477219035395,0.19200000000000017,0.7415730337078652,0.03333333333333333,0.13315561300051162,0.4057499999999976,0.09277862783408962,-2.0168972860012304,15.334592340843965,0.3382469252657157,,,,,,4.2300630066830894e-13,-1.0146209561394756e-06,0.5587499999999999,0.8877066890866738,1.0,0.0,0.0,2.958201837197144,-0.036499999999996646,5821.919899212986,18.329585635359116,0.01664614454142155,0.23400000000000176,0.3867403314917127,-0.1,0.05280960174577196,0.4609999999999985,0.15916408738863763,-0.10014229154323252,-0.23622139289982513,0.30511693187055206,,,,,,0.9999999848794109,-6.375930215510009e-05
