oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_254.65111355517115+27.183735949199995,,,0.015518379397690296,201.0,1.0,,,0.019260456785559654,201.0,1.0,1.0,1.0,1.0,1.0,0.3844999999999992,0.41850000000000165,0.6164999999999985,0.8597221906878935,1.0,0.0,0.0,0.9144377326968278,0.2359999999999971,4913.24181494244,18.864072463768117,0.016364472513182706,0.19200000000000017,0.4927536231884058,-0.16666666666666666,0.05573248407643316,0.3844999999999992,0.16897100772207732,0.133097069659745,0.6115741867524491,0.30870059532002014,,,,,,0.9868444067363192,-6.444814947173527e-05,0.5845000000000002,0.6726502209755771,1.0,0.0,0.0,0.9572981231406364,-0.07800000000000296,3835.6162867580197,18.454859903381642,0.01622500919988699,0.21099999999999852,0.3671497584541063,0.03333333333333333,0.044409500054224005,0.41850000000000165,0.1603045891138988,-0.17091901406003893,-0.31796600005772646,0.2994302717149927,,,,,,0.992298589795875,-6.75072267806678e-05
QSO_254.68091690244776+27.14263595318787,,,,,,,,0.00517260329797864,349.0,1.0,1.0,1.0,1.0,1.0,,0.40000000000000213,,,349.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,,0.5544999999999991,0.7757795817307704,1.0,0.0,0.0,,0.08900000000000574,inf,18.141452722063036,0.016065636232288603,0.2049999999999983,0.4699140401146132,0.1,0.05667346601245927,0.40000000000000213,0.07249604212317196,0.059086244263614626,-0.16301762977732714,0.2914539801579266,,,,,,4.2300630066830894e-13,-2.3551380745498198e-05
QSO_254.68966948594246+27.14299952535863,-3.7127864360809326,-0.02178235352039337,0.005866847932338715,352.0,1.0,,,0.013242170214653015,352.0,1.0,0.014529702024700034,7.104244280968021e-06,1.0,1.0,0.25524999999999665,0.45449999999999946,0.4239999999999995,0.9999831999015074,1.0,0.25,0.0,1.769365141577785,0.19899999999999807,6584.474625601297,18.216303977272727,0.01121777414073441,0.12650000000000006,0.5142045454545454,0.03333333333333333,0.04447924393527294,0.25524999999999665,0.0655153875167757,0.6146814236030753,1.0248988675020585,0.20434638369600738,0.8015052132548485,0.9999999999990546,3.616746167653193e-05,0.15219143654084966,-0.15969092510245653,4.2300630066830894e-13,-3.3341523922167073e-06,0.5550000000000015,0.9456398010776379,1.0,0.0,0.0,1.600435800358001,-0.08100000000000307,9077.625211994018,18.40627556818182,0.016121355344726192,0.21449999999999747,0.3494318181818182,-0.1,0.04110927197243102,0.45449999999999946,0.11471372206864815,-0.1168522437946495,-0.4902591417898874,0.2967341090076111,,,,,,0.7639320354016776,-4.362484408713835e-05
QSO_254.69397868967582+27.16460979033793,-7.281600475311279,-0.014819656498730183,0.0020352196879684925,351.0,1.0,,,0.013802139088511467,351.0,1.0,0.015374620425275697,9.879389790602688e-06,1.0,1.0,0.23799999999999955,0.3739999999999988,0.3637499999999996,0.9999972797543618,1.0,0.26495726495726496,0.0,2.7943473718162086,0.1389999999999958,7899.543066775466,17.992202279202278,0.010675622835873087,0.11899999999999977,0.6267806267806267,-0.1,0.0468080369566428,0.23799999999999955,0.07693508327878022,0.48091305486209074,1.5915449999600737,0.19207796551949965,0.7783810828350879,1.0,5.305456260797951e-05,0.20211384020684414,0.09513445151578255,4.2300630066830894e-13,1.1711158837094114e-05,0.5547499999999985,0.9494936420074428,1.0,0.0,0.0028653295128939827,1.5827033790167895,-0.005000000000002558,5607.305714451041,18.355518518518515,0.015933542247221783,0.19500000000000028,0.49002849002849,0.16666666666666666,0.059573772278846866,0.3739999999999988,0.10961195116629203,-0.059749766944225687,0.45851561525866114,0.29246842978447657,,,,,,0.9999999848794109,-6.161705932984422e-05
QSO_254.7007378633448+27.184313635777908,-2.207566976547241,-0.018692906945943832,0.008467650972306728,343.0,1.0,,,0.02801712229847908,343.0,1.0,0.00954202979123341,0.029533601858704142,1.0,1.0,0.22550000000000026,0.4969999999999999,0.37324999999999875,0.9999999670954178,1.0,0.26822157434402333,0.0,2.2241027723707627,0.19500000000000028,5400.727914333495,18.150486880466474,0.010436401467173383,0.11100000000000065,0.597667638483965,0.03333333333333333,0.050295042188275664,0.22550000000000026,0.05798502963754659,0.7301350553353367,1.6812244744984488,0.18942576790921156,0.7971911939616955,0.9999999878837706,3.36330499154114e-05,0.19321567814743024,-0.051979960214945255,4.2300630066830894e-13,1.5595515341927187e-08,0.5897500000000004,0.997960125445518,1.0,0.0,0.0,0.8090226697273927,-0.14800000000000324,3943.5331988303587,18.35925364431487,0.017187694674362212,0.24200000000000088,0.3294460641399417,0.03333333333333333,0.04815278306763162,0.4969999999999999,0.11980180589235491,-0.18106749491036148,-0.6039960963084652,0.3155532460876557,,,,,,0.9787137879805359,-6.250061658083339e-05
QSO_254.7018447302709+27.17249741255989,,,0.0127796595916152,332.0,1.0,,,0.011278948746621609,332.0,1.0,1.0,1.0,1.0,1.0,0.3452500000000036,0.40174999999999983,0.5515000000000008,0.9999997671256557,1.0,0.0,0.0,1.8997199654535961,0.26549999999999585,5634.702973642172,18.587792168674703,0.01458662156953551,0.17100000000000115,0.5240963855421686,-0.03333333333333333,0.055603494768633306,0.3452500000000036,0.059134278053998304,0.5463967937024106,0.7774149403960338,0.27113309017763365,,,,,,4.2300630066830894e-13,-2.1801297139840023e-05,0.5380000000000003,0.768792815250147,1.0,0.0,0.0,1.1896342464170409,-0.05299999999999727,5744.537457176808,18.434539156626506,0.015306958662821986,0.19400000000000084,0.4397590361445783,-0.03333333333333333,0.0503690838037343,0.40174999999999983,0.10604621270519744,-0.050512599813805514,-0.1240585142951498,0.2821767288386552,,,,,,0.9999999848794109,-3.9459230024452125e-05
QSO_254.72587646876096+27.139698666929544,,,0.06391569972038269,337.0,1.0,,,0.02527400478720665,337.0,1.0,1.0,1.0,1.0,1.0,0.36400000000000077,0.3930000000000007,0.5714999999999986,0.9999999999796092,1.0,0.0,0.0,1.1406716179979008,0.15699999999999648,7168.949011989548,18.482234421364986,0.01764109917564896,0.18299999999999983,0.8100890207715133,-0.1,0.15042476056490456,0.36400000000000077,0.05252491973249808,-1.5066711458478566,15.15962407866502,0.3260469304148927,,,,,,4.2300630066830894e-13,1.3776633427694953e-05,0.5634999999999994,0.6970651666363858,1.0,0.0,0.0,2.1983957872359894,-0.07900000000000773,7287.67142908491,18.41112166172107,0.015851067166956223,0.19599999999999795,0.37388724035608306,0.16666666666666666,0.04446978335233765,0.3930000000000007,0.10387510419066408,-0.1508996741665664,-0.4060693930821526,0.2918359260789433,,,,,,0.9999999848794109,-4.5235699290435565e-05
QSO_254.72674179916288+27.213077596857968,,,0.004289426375180483,341.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.27299999999999613,,0.4897500000000008,0.9999999994431261,1.0,0.0,0.0,1.1123968444043852,0.17399999999999238,4374.429341518369,18.468642228739004,0.013210790481215734,0.13599999999999923,0.5630498533724341,-0.1,0.04862315698178656,0.27299999999999613,0.06678165085968386,0.5060095680520269,0.9086244022098255,0.24398536295640416,,,,,,4.2300630066830894e-13,5.057474544443961e-06,,,341.0,0.0,0.0,,,,,,,0.0,-0.16666666666666666,,,,,,,,,,,,0.9999999848794109,
QSO_254.72731094709533+27.10636953550033,-2.6956095695495605,-0.011411015875637531,0.004233185667544603,348.0,1.0,,,,,,0.005763350370427731,0.08568719204866102,1.0,1.0,0.2099999999999973,,0.29325000000000045,0.9999529461827267,1.0,0.2557471264367816,0.0,2.3906668700396527,0.09499999999999886,4908.925023143786,17.80135632183908,0.008396242367518271,0.10300000000000153,0.4454022988505747,-0.16666666666666666,0.030011802394200107,0.2099999999999973,0.07788959421991438,0.4777559439458238,0.41974153003695536,0.14946450214871448,0.8255602557207093,0.999999999256555,2.4171466604034232e-05,0.10438460137076187,-0.15563416131545446,6.472647465667499e-06,5.764741366595561e-07,,,348.0,0.0,0.0,,,,,,,0.0,0.16666666666666666,,,,,,,,,,,,0.9999999848794109,
QSO_254.7367638821969+27.233334355201066,-2.859388828277588,-0.009959391318261623,0.0034830491058528423,348.0,1.0,,,,,,0.0011080723920961313,9.52476632802294,1.0,1.0,0.16850000000000165,,0.24249999999999972,0.9999959069237813,1.0,0.2959770114942529,0.0,2.1124450963477135,0.03899999999999437,3470.3194975430088,17.70822701149425,0.007360879826391582,0.08399999999999963,0.5287356321839081,-0.03333333333333333,0.028459994912811176,0.16850000000000165,0.06819661847862407,0.33486861309145194,0.7355181739036372,0.13034813097007053,0.7746742877858755,0.9999999153105744,1.3718655830717061e-05,0.09011755323264038,-0.040922311290220836,5.6846749131799775e-12,3.754173876766756e-06,,,348.0,0.0,0.0,,,,,,,0.0,0.1,,,,,,,,,,,,0.9999999848794109,
