oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_45.803995-0.4943397,,,,,,,,,,,0.015962280688028373,1.0,0.07319584411780472,1.0,0.2842500000000001,0.33100000000000307,0.24624999999999986,0.975916025708559,1.0,0.0,0.0,1.715106101046887,0.04999999999999716,0.002265421440866415,18.77241304347826,0.008441429020440584,0.1440000000000019,0.17391304347826086,0.06666666666666667,0.016397806527178822,0.2842500000000001,0.2340910034484028,0.2050942101155501,-0.9909233143345193,0.15846599224891472,,1.0,3.755093822334397e-05,0.0,0.0,0.6180339980948049,-4.7465503876914504e-05,0.4667500000000011,0.9615563172537961,1.0,0.0,0.0,2.32763568848041,-0.5655000000000001,0.006622449322252853,18.248891304347826,0.014568182432336183,0.14849999999999852,0.391304347826087,-0.06666666666666667,0.04719949653870363,0.33100000000000307,0.23454465687129628,-1.2809014032680786,3.4234787786791774,0.26585317770961253,,1.0,0.00016756069808582553,0.31715491860739825,-0.0325612822199543,0.6180339980948049,-4.313223452682474e-05
QSO_45.8103339-0.2755902,,,,,,,,,,,0.009187444961894924,1.0,0.04176459253544198,1.0,0.20624999999999716,0.2717500000000008,0.24450000000000038,0.24177875215224529,1.0,0.3333333333333333,0.0,1.6338510425384067,-0.018000000000000682,0.0026291988176589537,18.786958333333335,0.007322962145401241,0.11999999999999744,0.16666666666666666,-0.16666666666666666,0.014765743475137861,0.20624999999999716,0.27686679827777416,0.025179622511621102,-0.42266525994604986,0.1375761847022304,0.7349702846426832,0.9999999999994632,1.5901993190259177e-05,-0.5,-0.5,0.9937938992918521,-2.6414299903877975e-05,0.44687500000000036,0.9452870268528151,1.0,0.2916666666666667,0.0,1.9334759183341819,-0.3365000000000009,0.004540470771014322,18.426333333333336,0.013932919629301516,0.14700000000000024,0.375,-0.1,0.0353815994051241,0.2717500000000008,0.2528841514493685,-0.6780214844182315,0.17052410793408868,0.25673262139605285,0.7934197456489398,1.0,0.0001380780842826531,12.680730072681358,3.0,0.9925266510991738,-8.581054880519976e-05
QSO_45.8390214-0.2670452,,,,,,,,,,,0.02845026233698146,1.0,0.04004884190768919,1.0,0.18825000000000003,0.23324999999999818,0.38587499999999864,0.5398356947952165,1.0,0.0,0.0,1.9775881384411205,0.015000000000000568,0.00388404653643459,18.69,0.010441869233925866,0.09850000000000136,0.375,-0.03333333333333333,0.021858362094336094,0.18825000000000003,0.1727228233379962,0.041672149277987916,0.7092273577865336,0.19515853598207444,,1.0,5.283128136051093e-05,0.012636699463406958,-0.5,0.9977743959402126,-4.414028541527661e-05,0.3930000000000007,0.949316734673874,1.0,0.0,0.0,2.5945376179806185,-0.22050000000000125,0.004718599680959261,18.324749999999998,0.012142669128565018,0.12400000000000055,0.375,-0.1,0.028150407888106462,0.23324999999999818,0.14549817885922633,-0.7668434913580169,0.4187723596171491,0.22251137611367178,,1.0,0.00010457272550116107,0.006782192457551494,-0.5,0.6180339980948049,-1.563174269168445e-05
QSO_45.8452073-0.2238094,,,,,,,,,,,0.02263542723241352,1.0,0.03937924955675275,1.0,0.14150000000000063,0.2789999999999999,0.3147500000000001,0.9970379322134757,1.0,0.0,0.0,2.017885219439082,-0.1839999999999975,0.0024680098783282215,18.710357142857145,0.009172290504226549,0.0815000000000019,0.47619047619047616,0.0,0.02314049586776865,0.14150000000000063,0.21757851956446575,-0.7888113563570975,0.807234063261435,0.17161683115211598,,1.0,5.980071240143155e-05,0.4423422267176203,1.1410549182245364,0.9899890228643414,-4.6493578654221616e-05,0.35600000000000165,0.8621428379599758,1.0,0.0,0.0,1.546349381704357,0.006999999999997897,0.003587192386459021,18.412904761904763,0.01164669553142187,0.19149999999999778,0.38095238095238093,-0.2,0.019647327745727694,0.2789999999999999,0.3750149585493757,-0.1495318527993958,-0.5249761898828997,0.21444949561097268,,1.0,0.00010817978562339542,0.5220900265742339,0.9091761181141088,0.9950957884190407,-9.484172506795001e-05
QSO_45.880833-0.32025,,,,,,,,,,,0.03050053634471371,1.0,0.13945089353074186,1.0,0.2785000000000011,0.6539999999999999,0.3105000000000011,0.3355833794733537,1.0,0.0,0.0,1.0669106374651656,-0.15700000000000358,0.002124600263432414,18.95395454545455,0.010037842928575309,0.15200000000000102,0.18181818181818182,-0.06666666666666667,0.020500658761528477,0.2785000000000011,0.40651880849617616,-0.4052824504709259,0.01564854346248179,0.19025681860262877,,1.0,7.531110443959358e-05,0.4836482017578872,1.0161682792396955,0.9961862366499498,-0.00013656060855997803,0.5800000000000001,0.4563384139410952,1.0,0.0,0.0,1.72899983902506,-0.24800000000000466,0.0042535132626150265,18.251727272727276,0.020516660289958015,0.3249999999999993,0.2727272727272727,-0.06666666666666667,0.03842794759825331,0.6539999999999999,0.2538501092770651,-0.291402298474511,-0.6529739727236477,0.3744644881595074,,1.0,0.0004014498507879946,0.3041235143814869,-0.3804718634427242,0.9927755928537075,-0.00022012531146915737
QSO_45.9549587-0.1473781,,,,,,,,,,,0.04293037269335998,1.0,0.0669999677207678,1.0,0.21499999999999986,0.3509999999999991,0.3922499999999989,0.9921212657331783,1.0,0.0,0.0,2.1532794233651265,-0.20599999999999596,0.003910512284884682,18.8775,0.01141590932444765,0.09199999999999875,0.4,-0.16666666666666666,0.026163213016891777,0.21499999999999986,0.14489301768018437,-0.5860371543683233,-0.1589922943399853,0.21550382827226053,,1.0,8.925526395885277e-05,0.009926126945089575,-0.5,0.6180339980948049,-4.765909724412639e-05,0.5865000000000009,0.8569915700528511,1.0,0.0,0.0,2.0394004314887355,-0.3329999999999984,0.003624973376612277,18.507075,0.0142735038815579,0.1587499999999995,0.25,-0.03333333333333333,0.040575493048819924,0.3509999999999991,0.27545721436887427,-0.7760070794008807,1.5081278478956293,0.2641608068487832,,1.0,0.00017141382209997415,0.297028440467015,-0.25050155756329184,0.6180339980948049,3.0755017849391506e-05
QSO_46.0027248-0.3117748,,,,,,,,,,,0.022643915895490283,1.0,0.06382072338876581,1.0,0.13100000000000023,0.3030000000000008,0.2925000000000004,0.8982805949760152,1.0,0.0,0.0,2.1964546199281774,0.19250000000000256,0.0034512678533530575,18.880309523809526,0.008838880581075575,0.09399999999999764,0.47619047619047616,0.0,0.022229295983871848,0.13100000000000023,0.3337208928286283,0.6462127745023066,0.6211446751292704,0.16688080121469626,,1.0,2.8990352218895165e-05,0.768490014190321,2.0147806554710863,0.6180339980948049,-5.424093366002386e-05,0.45712499999999956,0.5401145060428325,1.0,0.0,0.0,2.126502523650807,-0.2704999999999984,0.0047267821625420845,18.336380952380953,0.014319519945146526,0.1645000000000003,0.2857142857142857,0.0,0.033278955954323106,0.3030000000000008,0.26844124419460164,-0.5520357127209597,0.1030060470821006,0.2625681727694239,,1.0,0.00015895048245929342,0.6091327368146899,0.6934688047260483,0.6180339980948049,-8.928730402921599e-05
QSO_46.0148509-0.420686,,,,,,,,,,,0.03130866700513776,1.0,0.043447403314548896,1.0,0.18650000000000233,0.3325000000000031,0.33974999999999866,0.37183204991970104,1.0,0.0,0.0,2.6857705953619346,-0.10150000000000148,0.0035861306949735716,18.807478260869566,0.009942626216633868,0.09550000000000125,0.391304347826087,0.0,0.021544510267513216,0.18650000000000233,0.20091337918481622,-0.32471030098420023,0.1002128583050026,0.1869957264252933,,1.0,6.52019945546852e-05,0.04147646710408987,-0.5,0.6180339980948049,-3.851845242574285e-05,0.40749999999999886,0.2791838508152157,1.0,0.0,0.0,1.9554453528334526,0.01899999999999835,0.0032952658810181143,18.308543478260866,0.012576567923614064,0.19750000000000156,0.21739130434782608,-0.06666666666666667,0.024395580352259135,0.3325000000000031,0.2333982595611075,0.058335107558456584,-0.40014926158200925,0.23025864063678908,,1.0,0.00012711491081673877,0.05071321349022779,-0.5,0.988468577708018,-7.019749498615526e-05
QSO_46.0222739-0.4485981,,,,,,,,,,,0.048956141523945985,1.0,0.07693167861428349,1.0,0.21600000000000108,0.3949999999999996,0.4322499999999998,0.6392968257604454,1.0,0.0,0.0,1.4936003231498303,-0.008999999999993236,0.0026356881714651253,18.87302380952381,0.012196404173580151,0.1109999999999971,0.42857142857142855,0.06666666666666667,0.025168717745136786,0.21600000000000108,0.2592780486026258,0.20326548725212903,0.6234203918120769,0.23018302635855378,,1.0,0.00012228999812920324,0.46023116219167176,1.0855948826925956,0.9933154010992161,-5.0750425845979865e-05,0.47449999999999903,0.2426540716208426,1.0,0.0,0.0,2.2714052370810203,0.2120000000000033,0.005924475741401736,18.29747619047619,0.015020888454667806,0.19799999999999685,0.3333333333333333,-0.13333333333333333,0.037872154115586705,0.3949999999999996,0.2192995522032286,0.2090670502875194,0.5960796111577857,0.2748443488590829,,1.0,0.0001995467862979358,0.6288165031168365,0.6489787172919754,0.6180339980948049,-7.756962323763385e-05
QSO_46.0451682-0.2775899,,,,,,,,,,,0.04015097776423711,1.0,0.04690963918204024,1.0,0.3677500000000009,0.3605000000000018,0.35487499999999983,0.9914105331658127,1.0,0.0,0.0,2.222819318179546,0.2394999999999996,0.0038148679613379225,18.906630434782606,0.012471999908361092,0.19399999999999906,0.30434782608695654,-0.06666666666666667,0.02640536084667327,0.3677500000000009,0.21586090810312736,0.20358145153503182,-1.193578232816261,0.2358034930500257,,1.0,0.00010827351980440378,0.09460593917975726,-0.5,0.6180339980948049,-3.906537847520055e-05,0.4121250000000014,0.9628535483957091,1.0,0.0,0.0,1.7208221708131848,-0.28300000000000125,0.004312313567708101,18.25678260869565,0.012815418527867424,0.1284999999999954,0.4782608695652174,0.0,0.037507842548896775,0.3605000000000018,0.25274859084362716,-0.5173107432316061,1.0566014220670343,0.233968310102726,,1.0,0.00011100915194959925,0.5135693517274001,0.9321952076869704,0.6180339980948049,-3.152011806592779e-05
