oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_122.42238+51.0971075,-4.60449743270874,-0.012636667117476463,0.0027444183360785246,273.0,1.0,,,0.004397721961140633,273.0,1.0,0.005108556339477521,0.12952164454946302,1.0,1.0,0.16499999999999915,0.37599999999999767,0.30650000000000155,0.9999997387178622,1.0,0.23076923076923078,0.0,1.845730856519892,0.07499999999999574,4095.891677914404,17.853699633699634,0.008515805964260926,0.0849999999999973,0.5897435897435898,-0.1,0.03351454351846677,0.16499999999999915,0.0680610186871826,0.059080819921476076,1.4207329743162496,0.15203864182478244,0.7630247104260606,0.999999536879781,2.1936650183435562e-05,0.13057856383712613,-0.008457108703617143,4.2300630066830894e-13,9.916882747144968e-07,0.4989999999999988,0.7185438834105415,1.0,0.0,0.0,2.9440463147386096,0.09799999999999898,8296.909558785883,18.13615750915751,0.01423658968315237,0.18599999999999994,0.3772893772893773,0.1,0.03926326238005954,0.37599999999999767,0.10639444306364075,0.15039801256990662,-0.3200624250010118,0.2581970328868982,,,,,,0.00010696331263445549,-3.054776037753104e-05
QSO_122.588225+51.0579707,-5.317522048950195,-0.014541959390044212,0.002734724897891283,301.0,1.0,,,0.017078133299946785,301.0,1.0,0.019079442512871757,0.00019856984317002447,1.0,1.0,0.2560000000000002,0.4450000000000003,0.3827499999999997,0.3614133351100101,1.0,0.3122923588039867,0.0,,0.019499999999993634,inf,17.977661129568105,0.010441485011485204,0.12899999999999778,0.4318936877076412,0.03333333333333333,0.03164451365330065,0.2560000000000002,0.09091493912553743,0.12601492350664578,0.04720661569928364,0.18771347922594553,0.8051134013149597,1.0,4.977463605102245e-05,0.16527299899125908,-0.027491888324102737,4.2300630066830894e-13,-1.1227940543803295e-05,0.5935000000000006,0.49115035349781205,1.0,0.0,0.0,,0.04800000000000182,inf,18.288893687707642,0.01686503776950943,0.2240000000000002,0.38870431893687707,-0.16666666666666666,0.050030072721308036,0.4450000000000003,0.14690218929912355,0.021606027649901178,-0.35013570750248535,0.308442882805732,,,,,,1.669853145926571e-09,-5.709523913759547e-05
QSO_122.6066886+51.2685268,-2.5546016693115234,-0.013866682536900043,0.005428119096904993,259.0,1.0,,,0.03368273377418518,259.0,1.0,0.009451399672836041,0.06207815984383308,1.0,1.0,0.2220000000000013,0.3985000000000021,0.33200000000000074,0.6088376806750252,1.0,0.30115830115830117,0.0,2.1347830796541327,0.05850000000000222,4968.036663436323,17.916169884169886,0.009362089542959322,0.10999999999999943,0.5328185328185329,-0.1,0.04048017867113352,0.2220000000000013,0.07763389662382271,0.30752380694291154,1.1499750600715224,0.1677327867224696,0.7975683153295482,0.9999999999973496,3.2104978415185435e-05,0.13831450817495577,-0.05072729564608237,4.2300630066830894e-13,-7.255368934826062e-06,0.5634999999999994,0.3789630478517061,1.0,0.0,0.0,1.9533143512417532,-0.013500000000000512,5671.232275726725,18.26123938223938,0.016334149015573587,0.2029999999999994,0.416988416988417,0.03333333333333333,0.04873507830467641,0.3985000000000021,0.10364204457227752,-0.12150569163328284,-0.07229033447424005,0.298281805278559,,,,,,4.2300630066830894e-13,-4.162491637517857e-05
QSO_122.6250011+50.9971317,-8.194710731506348,-0.016623253002762794,0.002028534421697259,274.0,1.0,,,,,,0.006842985233795215,0.03263912167939669,1.0,1.0,0.20749999999999957,,0.32699999999999996,0.7951772675955739,1.0,0.2956204379562044,0.0,2.5119551831248614,0.028999999999996362,5808.223193854695,18.053401459854012,0.009239013773728783,0.10550000000000281,0.48905109489051096,0.16666666666666666,0.030600094154135768,0.20749999999999957,0.08945398826475648,0.1773590325831692,0.4240270922001512,0.16679562475024654,0.7977560513169122,0.9999874030451268,2.059147908284783e-05,0.09013516663463189,-0.13739813807342327,2.0265739567754043e-07,4.374231024620436e-06,,,274.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_122.6448183+50.9759411,-3.5329749584198,-0.008022170513868332,0.0022706559393554926,293.0,1.0,,,0.013578800484538078,293.0,1.0,0.004216602048535378,0.020342461796938327,1.0,1.0,0.15899999999999892,0.4109999999999978,0.2394999999999996,0.6802871914593761,1.0,0.2764505119453925,0.0,1.9904415910567035,0.003999999999990678,2621.004462617983,17.56006484641638,0.006884681928771111,0.08099999999999596,0.552901023890785,0.03333333333333333,0.027790432801822498,0.15899999999999892,0.0862123682620454,0.03044874552676394,0.9166996625916175,0.12089546111617172,0.7965208273125475,0.9999999553180416,1.4944300945834774e-05,0.08862130895632088,-0.04265459666099895,4.2300630066830894e-13,6.323405457461798e-06,0.5660000000000007,0.9430040431959668,1.0,0.0,0.0,1.0064922960018803,-0.06499999999999773,5664.385596057837,18.187030716723548,0.01630936459259172,0.20400000000000063,0.3447098976109215,0.03333333333333333,0.04384615384615375,0.4109999999999978,0.06880631152376122,-0.16075946205881395,-0.4044132049242757,0.296618914815709,,,,,,1.3328896166270994e-06,-2.622509910812553e-05
QSO_122.7044134+51.1302463,-7.8374834060668945,-0.010987150482833385,0.0014018722577020526,290.0,1.0,,,0.028847794979810715,290.0,1.0,0.008746434576181189,0.04178525361094079,1.0,1.0,0.1819999999999986,0.4079999999999977,0.2995000000000001,0.9999902659591451,1.0,0.23103448275862068,0.0,1.275930160697611,0.029000000000003467,3187.6134401631216,17.792293103448277,0.008655036572114473,0.09050000000000225,0.6517241379310345,-0.1,0.04225827311834004,0.1819999999999986,0.04914481434352618,0.5169113201507082,2.615552651407277,0.15399294751212494,0.7643125039134641,0.9999999999999908,2.9908027473430034e-05,0.14769710539674483,-0.04593517993752309,2.515964917674217e-11,3.823447010278819e-06,0.5365000000000002,0.5962057921328953,1.0,0.0,0.0,2.002573537986757,0.03699999999999193,8383.561312485417,18.17355172413793,0.015890011544129654,0.2054999999999989,0.33793103448275863,-0.03333333333333333,0.0421023665382497,0.4079999999999977,0.09800576124664477,0.11344238898003565,-0.4308322970992804,0.28877794669438905,,,,,,0.9999999848794109,-3.998070474326291e-05
QSO_122.726317+51.094458,,,0.008120293729007244,46.0,1.0,,,0.05312270671129227,46.0,1.0,1.0,1.0,1.0,1.0,0.420499999999997,0.5204999999999984,0.6620000000000008,0.308069584873344,1.0,0.0,0.0,0.5034317448003535,0.007999999999995566,2621.004462618015,19.102661971830987,0.01694036382903745,0.19500000000000028,0.39436619718309857,0.23333333333333334,0.04546167110832424,0.420499999999997,0.2173336725521409,-0.006415243033515977,0.221231442027924,0.32360604390593484,,,,,,0.9999999848794109,-5.0287355227421624e-05,0.6605000000000008,0.8521389181297975,1.0,0.0,0.0,0.11076979841271932,-0.3610000000000042,1013.6984890357792,18.417619718309858,0.019944043119306674,0.26799999999999713,0.30985915492957744,0.03333333333333333,0.05046343975283218,0.5204999999999984,0.24850713035815736,-0.3954380865634916,-0.37275919409028946,0.36732180181696467,,,,,,0.9999999848794109,-0.00010185787742397775
QSO_122.7648919+50.9056224,,,0.006243377458304167,343.0,1.0,,,0.027598930522799492,343.0,1.0,1.0,1.0,1.0,1.0,0.25900000000000034,0.432500000000001,0.37824999999999953,0.9999687368384077,1.0,0.0,0.0,,0.08599999999999852,,18.03892419825073,0.011772612164965559,0.12899999999999778,0.7259475218658892,0.03333333333333333,0.08527045769764231,0.25900000000000034,0.07309029971404014,1.2180902153204123,7.223836675557286,0.21236525845921814,,,,,,0.9999999848794109,3.5922092458954947e-06,0.5630000000000006,0.8756730566736894,1.0,0.0,0.002932551319648094,,-0.03999999999999915,,18.35612244897959,0.016171464427088254,0.22100000000000009,0.3848396501457726,-0.1,0.04663579406156369,0.432500000000001,0.15014190024465754,-0.04032561279324968,-0.2685584977603641,0.29684538120294957,,,,,,0.9999999848794109,-5.484860738605058e-05
QSO_122.9186096+51.1776529,-4.696469306945801,-0.010294424369931221,0.002191949635744095,280.0,1.0,,,0.026541881263256073,280.0,1.0,0.007502229813222423,8.261600884626715e-05,1.0,1.0,0.17425000000000423,0.38750000000000284,0.3055000000000021,0.9765774568926626,1.0,0.3,0.0,1.7207333616744651,0.08449999999999847,3305.936162066032,17.728442857142856,0.008239750864123062,0.08649999999999913,0.5071428571428571,0.03333333333333333,0.025165039778818572,0.17425000000000423,0.06354833193260467,0.2290265598816519,0.5536028141986238,0.14607795235169918,0.7886718696359047,0.999999999997001,2.619170781812625e-05,0.1139668939916809,-0.10535317684309858,0.000384229971908121,4.316564552651149e-06,0.5662500000000001,0.2830013064837991,1.0,0.0,0.0,1.010744379942415,0.04299999999999926,6803.278278828197,18.229967857142857,0.015988144968661862,0.19299999999999962,0.43214285714285716,-0.1,0.04901745526402463,0.38750000000000284,0.07651778056431587,-0.07770331428910886,-0.11849920458698593,0.291463368874046,,,,,,4.2300630066830894e-13,-2.3845711807999986e-05
QSO_122.9982803+51.0511964,-2.775526523590088,-0.020066482946276665,0.0072297933511435986,262.0,1.0,,,0.028061892837285995,262.0,1.0,0.014224263043798008,0.019434712706661274,1.0,1.0,0.2724999999999973,0.4542500000000018,0.38200000000000145,0.665982211955595,1.0,0.29770992366412213,0.0,0.5888909995399823,0.05149999999999011,2246.575253672552,18.168564885496178,0.010523250825575585,0.1374999999999993,0.45038167938931295,0.03333333333333333,0.03302691693730398,0.2724999999999973,0.0703644706369013,0.1372919028884921,0.13281963340656366,0.19119236543082124,0.8067222069939743,0.9999999997006481,3.157305190206985e-05,0.1276670039239855,-0.009063240865573335,4.2300630066830894e-13,-2.0101894604853087e-05,0.5162499999999994,0.9904715882195835,1.0,0.0,0.0,2.1215401859923966,0.06199999999999761,6904.1093161644685,18.297320610687024,0.01598307983195849,0.22799999999999798,0.3244274809160305,0.1,0.04032809295967194,0.4542500000000018,0.09817159206412134,0.022453476274835845,-0.6491193782884888,0.29244753603155016,,,,,,0.9999999848794109,-3.300026623375813e-05
