oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_127.1088649+40.824685,,,0.011622580699622631,248.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.41899999999999693,,0.6499999999999986,0.999998032494497,1.0,0.0,0.0,1.4472027778087253,0.33149999999999835,5979.4539043800405,18.820582329317272,0.017358762011707902,0.20099999999999696,0.42570281124497994,0.03333333333333333,0.05104865325242199,0.41899999999999693,0.07248621539339516,0.512691104594615,0.18052802948820768,0.3267020095763737,,,,,,0.9999999848794109,-2.311992858948852e-05,,,249.0,0.0,0.0,,,,,,,0.0,0.1,,,,,,,,,,,,0.9999999848794109,
QSO_127.383208+41.294556,,,0.003420253051444888,27.0,1.0,,,0.050671499222517014,27.0,1.0,1.0,1.0,1.0,1.0,0.5289999999999999,0.41000000000000014,0.8985000000000003,0.9999633448897545,1.0,0.0,0.0,0.5764945819169798,-1.0975000000000037,3534.245731134481,19.061631578947367,0.027502892017402865,0.26599999999999824,0.6140350877192983,0.1,0.13547171785882486,0.5289999999999999,0.256379978064275,-2.0352938111321808,8.932417908939868,0.5242499949913059,,,,,,0.9999999848794109,-0.00010766215861389497,0.6795000000000009,0.8505517300690879,1.0,0.0,0.0,0.42588226614791325,-0.3370000000000033,1931.5063879455952,18.514894736842106,0.018246856351395915,0.20800000000000196,0.38596491228070173,0.16666666666666666,0.04729292493528917,0.41000000000000014,0.31779612046086625,-0.6001781178670196,0.23682540171872546,0.33783862462437414,,,,,,0.9999999848794109,-0.00011255101235445912
QSO_127.4155945+41.0420905,,,0.0010449711699038744,260.0,1.0,,,0.007661179639399052,260.0,1.0,1.0,1.0,1.0,1.0,0.40300000000000225,0.3810000000000002,0.5685000000000002,0.9980740366238611,1.0,0.0,0.0,2.121106156072788,0.23049999999999926,6630.13672425317,18.663145593869732,0.01625833391947789,0.20400000000000418,0.4482758620689655,0.1,0.05640530242043697,0.40300000000000225,0.17665457433501822,0.4261757389108783,0.13521411608867018,0.3034316530529666,,,,,,4.2300630066830894e-13,6.315064138345343e-05,0.5750000000000011,0.9808868227922893,1.0,0.0,0.0,1.6798226127903575,-0.15800000000000125,5488.584257956135,18.147674329501918,0.01651841071979846,0.19500000000000028,0.5210727969348659,0.03333333333333333,0.07824459005561384,0.3810000000000002,0.11626320546026354,-0.724561795733286,1.954729639565496,0.29977073818385586,,,,,,5.795920675957274e-12,3.6344354602644163e-06
QSO_127.4558349+41.4669363,,,0.00040869813528843224,258.0,1.0,,,0.00350341759622097,258.0,1.0,1.0,1.0,1.0,1.0,0.41600000000000037,0.38149999999999906,0.559000000000001,0.9949321892560646,1.0,0.0,0.0,3.067240685357944,0.2914999999999992,9444.443875695928,18.605434108527128,0.016003495811402153,0.20299999999999763,0.43410852713178294,-0.16666666666666666,0.05978860170517217,0.41600000000000037,0.13995111622130196,0.552169740584371,0.5015635082443892,0.29775198682513265,,,,,,2.16988182751188e-06,-4.551866064417224e-05,0.6150000000000002,0.7693614186191271,1.0,0.0,0.0,3.069084040806085,-0.0379999999999967,12931.506338212814,18.102418604651163,0.01726905482637165,0.18799999999999883,0.5775193798449613,-0.1,0.08255817163046178,0.38149999999999906,0.11399568428330564,-0.40799280666633325,1.627462969198855,0.31261165937365115,,,,,,4.2300630066830894e-13,-5.154596257812469e-05
QSO_127.4576818+40.7069734,,,0.006301098503172398,241.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.392000000000003,,0.6349999999999998,0.9999999751687021,1.0,0.0,0.0,1.1503143724412923,0.17500000000000426,4863.389377211369,18.644278008298755,0.017945015270674488,0.1750000000000007,0.6680497925311203,0.16666666666666666,0.10318142734307814,0.392000000000003,0.13420152620337927,-0.5550063733682132,4.794682045775063,0.3345718535696217,,,,,,4.2300630066830894e-13,-1.1031896753416214e-05,,,241.0,0.0,0.0,,,,,,,0.0,-0.1,,,,,,,,,,,,0.9999999848794109,
QSO_127.4652862+40.5738584,,,0.0013182315742596984,229.0,1.0,,,0.014207454398274422,229.0,1.0,1.0,1.0,1.0,1.0,0.3500000000000014,0.3819999999999979,0.5092499999999998,0.3322759397413573,1.0,0.0,0.0,1.0233991200121941,0.021999999999998465,3671.2327316112733,18.69452401746725,0.014464192758435319,0.1720000000000006,0.5065502183406113,-0.1,0.056742144424816586,0.3500000000000014,0.08417643172382373,0.28568333659524375,0.7670013138993115,0.2704011989158449,,,,,,3.945220442096517e-10,-1.5535690401226653e-05,0.5537500000000009,0.7986499933198825,1.0,0.0,0.0,2.305495905918044,-0.1559999999999988,6639.268702823413,18.337585152838432,0.01563873484784427,0.1910000000000025,0.4366812227074236,-0.23333333333333334,0.049037255222822096,0.3819999999999979,0.09830303979762646,-0.24362408308646719,0.09713655345675543,0.2867766319550061,,,,,,0.9999999848794109,-2.8340427182238994e-05
QSO_127.4904333+40.8323796,,,0.00032644002931192517,249.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.35600000000000165,,0.5449999999999999,0.9790302423683048,1.0,0.0,0.0,2.2901784684168365,0.21750000000000114,6529.680541097398,18.594674698795178,0.014738863461254272,0.1769999999999996,0.46987951807228917,-0.36666666666666664,0.04957209752946872,0.35600000000000165,0.1440584869671194,0.4415416562061118,0.4108947728588319,0.27406437149198154,,,,,,4.2300630066830894e-13,9.910678141796427e-06,,,249.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_127.5721846+41.5894647,,,0.006686442997306585,286.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.4090000000000025,,0.6125000000000007,0.9994278035887898,1.0,0.0,0.0,,0.2149999999999963,,18.74187062937063,0.017064541705098177,0.20000000000000107,0.479020979020979,0.03333333333333333,0.057613168724279795,0.4090000000000025,0.18551111866374154,0.3422054900587123,0.13645482723757274,0.3198214329864497,,,,,,4.2300630066830894e-13,-7.871910517252824e-05,,,286.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_127.5829297+40.445691,,,0.005576134659349918,272.0,1.0,,,0.03918939083814621,272.0,1.0,1.0,1.0,1.0,1.0,0.37800000000000367,0.43225000000000335,0.5162499999999994,0.9997717197471405,1.0,0.0,0.0,,0.18999999999999773,,18.588481617647062,0.014419125883099819,0.18900000000000183,0.4375,0.03333333333333333,0.05711206896551717,0.37800000000000367,0.09777202121697129,0.6058208528069673,0.5332710653200903,0.26802965642053994,,,,,,4.2300630066830894e-13,2.2951937295822594e-06,0.5727500000000028,0.9961133846748654,1.0,0.0,0.0,,-0.21000000000000796,,18.2391875,0.017050233507477995,0.21149999999999736,0.45588235294117646,-0.1,0.07390673348120169,0.43225000000000335,0.12533956905790947,-0.672778606901045,1.2365977666503292,0.3109824058616738,,,,,,0.9999999848794109,-1.7007749043766186e-05
QSO_127.6276497+41.2272156,,,0.0053943367674946785,286.0,1.0,,,0.011217312887310982,286.0,1.0,1.0,1.0,1.0,1.0,0.4137500000000003,0.41100000000000136,0.6745000000000001,0.947494216782364,1.0,0.0,0.0,,-0.07299999999999329,inf,18.645475524475522,0.017914056218385842,0.21349999999999802,0.541958041958042,0.16666666666666666,0.07624664879356553,0.4137500000000003,0.09480651781108518,-0.29974090430238837,1.2658969409944913,0.33401609676399174,,,,,,0.9999999848794109,1.0012495484240117e-05,0.6379999999999999,0.986147270500796,1.0,0.0,0.0,,-0.20300000000000296,,18.16667132867133,0.017903745676660615,0.2004999999999999,0.479020979020979,0.03333333333333333,0.06766503330947526,0.41100000000000136,0.09636032585543794,-0.3570319134427375,0.7398197640808477,0.3252514632600137,,,,,,0.9999999848794109,7.030314968049037e-06
QSO_127.6690711+41.7281134,,,0.0006847225595265627,258.0,1.0,,,0.0018533903639763594,258.0,1.0,1.0,1.0,1.0,1.0,0.33825000000000216,0.4002499999999998,0.5149999999999988,0.9871398982098532,1.0,0.0,0.0,2.0445685870857027,0.1319999999999979,9022.830693611759,18.614356589147288,0.014183735240020708,0.1714999999999982,0.5155038759689923,0.03333333333333333,0.056980898906590076,0.33825000000000216,0.09684709581197667,0.5601806743222408,1.1549072915928038,0.26402110552380004,,,,,,0.0007251875118646652,-3.087063887423439e-05,0.5419999999999998,0.36133715496323954,1.0,0.0,0.0,2.1864345172818163,-0.11350000000000193,8239.724469843974,18.34618992248062,0.016096339426496013,0.20099999999999874,0.4186046511627907,-0.03333333333333333,0.04980926430517719,0.4002499999999998,0.09997933599869932,-0.19576455941242765,-0.0746203843911073,0.29530650017520865,,,,,,9.135757923056975e-06,-1.8797161557941013e-05
QSO_127.6987513+41.7934874,,,0.01181077491492033,246.0,1.0,,,0.008037512190639973,246.0,1.0,1.0,1.0,1.0,1.0,0.375,0.4299999999999997,0.5964999999999989,0.9994359578203211,1.0,0.0,0.0,1.6511100347267436,0.2259999999999991,7945.205165427371,18.701991902834006,0.015887580960732044,0.18700000000000117,0.4574898785425101,0.03333333333333333,0.054749799304254734,0.375,0.07923103550478143,0.5620178113045982,0.6695444955155168,0.29712941048323044,,,,,,4.2300630066830894e-13,-2.4764949811161002e-05,0.5495000000000001,0.636968764713394,1.0,0.0,0.0,2.134415616950388,-0.12400000000000233,6127.853639082477,18.196255060728745,0.016765063554196793,0.21799999999999997,0.41295546558704455,-0.03333333333333333,0.05504587155963297,0.4299999999999997,0.08265432051530283,-0.21597559776452852,-0.1654080690997013,0.30506137254149246,,,,,,0.9629652053198148,-4.3886760996283885e-05
QSO_127.8055929+41.6772642,,,0.0026059038937091827,239.0,1.0,,,0.005547682289034128,239.0,1.0,1.0,1.0,1.0,1.0,0.3885000000000005,0.41699999999999804,0.7119999999999997,0.9921496630254943,1.0,0.0,0.0,,-0.18700000000000472,inf,18.735941422594145,0.017929415887549063,0.19200000000000017,0.5313807531380753,0.03333333333333333,0.06546540142872381,0.3885000000000005,0.12925279987174454,-0.3648982157537508,0.79768018081805,0.33592448581044804,,,,,,0.9999999848794109,3.935264944882383e-05,0.6132500000000007,0.8707270583256472,1.0,0.0,0.0,,-0.10600000000000875,inf,18.232426778242676,0.018027438453073478,0.21899999999999764,0.5774058577405857,-0.23333333333333334,0.09894632861376362,0.41699999999999804,0.08306057346783122,-0.7536860351975436,3.171679481940731,0.32868395159493863,,,,,,0.9999999848794109,2.4546073118089473e-05
QSO_127.8301635+41.3892037,,,0.00500314449891448,218.0,1.0,,,0.005736564286053181,218.0,1.0,1.0,1.0,1.0,1.0,0.39599999999999724,0.47724999999999795,0.6549999999999994,0.9991507831885386,1.0,0.0,0.0,,0.23000000000000398,inf,18.822380733944957,0.017059884432586395,0.19950000000000045,0.44495412844036697,-0.1,0.0521803950801344,0.39599999999999724,0.11144550423720861,0.3716211608858897,0.28532725403192183,0.32110764006724163,,,,,,1.20187161347592e-07,-4.471008564103056e-05,0.6210000000000004,0.9638016942794764,1.0,0.0,0.0,,-0.10199999999999676,inf,18.327160550458714,0.01746874043287868,0.2400000000000002,0.39908256880733944,-0.3,0.05805044308111787,0.47724999999999795,0.11854131508127495,-0.27593957585658546,-0.19702122271113254,0.32015241052765725,,,,,,0.9999999848794109,-7.332545052703679e-05
QSO_127.8486718+41.4263162,,,0.0026361774653196335,243.0,1.0,,,0.0016287676990032196,243.0,1.0,1.0,1.0,1.0,1.0,0.43400000000000105,0.4054999999999964,0.6704999999999988,0.8227332610673516,1.0,0.0,0.0,1.8339992551374653,0.12699999999999534,6748.858629190186,18.832267489711935,0.017290404588019948,0.22699999999999676,0.3868312757201646,-0.1,0.04926474491691868,0.43400000000000105,0.0942282897791886,0.32126055573048207,-0.04976424569842841,0.32561752420693413,,,,,,4.2300630066830894e-13,-9.923510957092197e-06,0.5525000000000002,0.3156140693995117,1.0,0.0,0.0,1.8519918728714497,-0.12349999999999994,6977.16867400747,18.194098765432102,0.01566050849881865,0.20400000000000063,0.3950617283950617,0.03333333333333333,0.047579803307510556,0.4054999999999964,0.07540403403335967,-0.2398467697350712,0.046073211189396,0.2849288383443953,,,,,,0.9999999848794109,-6.893244191584639e-06
QSO_127.8524813+41.4929596,-3.565662384033203,-0.03496508672833443,0.009806056506931782,253.0,1.0,,,0.0017872333992272615,253.0,1.0,0.021584595177314748,0.2939071673052573,1.0,1.0,0.3879999999999981,0.41300000000000026,0.5065000000000008,0.9999941740792435,1.0,0.28063241106719367,0.0,2.3525555045071362,0.39050000000000296,8374.42889275506,18.515608695652173,0.014705529247124247,0.18299999999999983,0.4268774703557312,0.03333333333333333,0.054190125595495756,0.3879999999999981,0.13110323083103226,0.6592259682837078,0.6758620499828996,0.27228182520222105,0.8232650070203095,0.9999999998611023,7.553797411102206e-05,0.14330757191214724,-0.24996779701716268,0.045431042672483476,-6.610083596357306e-05,0.6690000000000005,0.9159476397723897,1.0,0.0,0.0,1.622968453355732,-0.010499999999993292,7762.556255020474,18.173691699604742,0.01791453939269919,0.20600000000000307,0.48221343873517786,0.16666666666666666,0.058732782369145954,0.41300000000000026,0.12754621711266295,-0.01709853273906689,0.41385470073489694,0.32557331586333943,,,,,,4.2300630066830894e-13,-7.315188094941467e-05
QSO_127.8929792+41.0128045,,,0.003573743626475334,250.0,1.0,,,0.012012220919132233,250.0,1.0,1.0,1.0,1.0,1.0,0.3232500000000016,0.40974999999999895,0.5395000000000003,0.999984580335843,1.0,0.0,0.0,1.9588002582253736,0.26549999999999585,7077.624820753967,18.556043999999996,0.014055047374638377,0.16600000000000037,0.432,-0.03333333333333333,0.0482408806388948,0.3232500000000016,0.08245421351238628,0.635511760037339,0.5232647258479863,0.26080607750587415,,,,,,9.339539043364691e-11,-3.603422202299112e-05,0.5355000000000008,0.14378296798722992,1.0,0.0,0.0,1.322279895499903,0.042999999999992156,5762.556849867434,18.305708,0.01589388576598923,0.20749999999999957,0.444,0.03333333333333333,0.05421357525412618,0.40974999999999895,0.06086596013935562,-0.12393027319989149,0.06361331322867292,0.29094883181755515,,,,,,0.28021987954746125,-2.1543552985154124e-05
QSO_127.9188781+40.9894007,,,0.003863135352730751,160.0,1.0,,,0.0017784686060622334,160.0,1.0,1.0,1.0,1.0,1.0,0.3987499999999997,0.4559999999999995,0.6547499999999999,0.9929044455865981,1.0,0.0,0.0,1.716094462178915,0.10599999999999454,7515.98143809968,18.7940125,0.017310007195842723,0.19149999999999956,0.475,-0.1,0.04936695393126951,0.3987499999999997,0.11926169409361229,0.28449936565081774,0.4370122585557348,0.3253244916137581,,,,,,2.1090556104834477e-05,-2.700230937043003e-05,0.5597499999999993,0.5949171237237711,1.0,0.0,0.0,0.8620928435528061,0.04800000000000182,4410.958729771747,18.298362500000003,0.01678120816022083,0.22749999999999915,0.34375,0.1,0.043994203374073816,0.4559999999999995,0.1457674949892766,0.032383495525139604,-0.4761553628730093,0.30706863010367885,,,,,,0.9999999848794109,-3.382936908426821e-05
QSO_127.9318495+40.8709727,,,0.0006807590834796429,260.0,1.0,,,0.005976461339741945,260.0,1.0,1.0,1.0,1.0,1.0,0.35075000000000145,0.40224999999999866,0.5805000000000007,0.999784318508772,1.0,0.0,0.0,2.0237670433638595,-0.08199999999999363,11077.625869022535,18.57381153846154,0.016301880487130604,0.17650000000000077,0.6346153846153846,-0.03333333333333333,0.08307079193257401,0.35075000000000145,0.08489045742724176,-0.42760115380606617,2.6707548333320306,0.30278805589048746,,,,,,4.2300630066830894e-13,-7.006590342391202e-06,0.6189999999999998,0.9294292644512008,1.0,0.0,0.0,2.4699356111058806,-0.1529999999999987,7452.060442000629,18.326057692307693,0.01688098065261625,0.20149999999999935,0.46153846153846156,0.1,0.061661028047582805,0.40224999999999866,0.0945121832859766,-0.348941573410146,0.3772034020439876,0.30936182534257534,,,,,,0.9999999848794109,-9.001352543787987e-06
QSO_127.9576504+41.3582394,,,0.0022613201290369034,255.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.3440000000000012,,0.5840000000000014,0.9784863861314442,1.0,0.0,0.0,2.0211133940749124,0.11999999999999744,7369.861253295961,18.690701960784317,0.01515274942997589,0.17299999999999827,0.5647058823529412,0.1,0.05405984049670832,0.3440000000000012,0.1007220348608328,0.21398254860030358,1.1383669084685963,0.2832155234821238,,,,,,4.2300630066830894e-13,-3.756384347603657e-05,,,255.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_127.9684207+40.8256958,,,0.003029121784493327,243.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.41150000000000375,,0.5729999999999986,0.9872508052613757,1.0,0.0,0.0,1.9948598709383485,0.2289999999999992,7223.744006727607,18.68259259259259,0.015987379562111326,0.20199999999999818,0.4609053497942387,0.03333333333333333,0.056883980270212305,0.41150000000000375,0.07030801967275137,0.1874802643259963,0.36746544221459265,0.29868569898206726,,,,,,4.2300630066830894e-13,-1.5487175790087513e-05,,,243.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_128.0882735+41.2253545,,,0.0014285581419244409,266.0,1.0,,,0.008961357176303864,266.0,1.0,1.0,1.0,1.0,1.0,0.43024999999999736,0.422500000000003,1.0322499999999977,1.0,1.0,0.0,0.0,,-0.7665000000000006,inf,18.728785714285713,0.02390320642731784,0.21950000000000003,0.5902255639097744,0.03333333333333333,0.09564522572912508,0.43024999999999736,0.16853582249349286,-1.3354531090662827,3.3198766541375684,0.44767803106157283,,,,,,0.9999999848794109,7.521554332518956e-05,0.8620000000000019,1.0,1.0,0.0,0.0,,-0.7319999999999993,inf,18.071263157894737,0.02312335268816714,0.21149999999999913,0.6052631578947368,0.1,0.10246940800352763,0.422500000000003,0.17302807402124745,-1.2510562090576167,2.4295362964160288,0.4178681915206811,,,,,,0.9999999848794109,5.242059400629666e-05
QSO_128.2236799+41.2659605,,,0.0067347255535423756,239.0,1.0,,,0.011518376879394054,239.0,1.0,1.0,1.0,1.0,1.0,0.40400000000000347,0.4200000000000017,0.6282499999999995,0.9972482684286209,1.0,0.0,0.0,3.5109103715480456,0.19299999999999784,11010.928298665713,18.815058577405857,0.016912737868468076,0.2010000000000005,0.39330543933054396,-0.03333333333333333,0.04633964673334764,0.40400000000000347,0.07135152356761906,0.3662626469492422,-0.14989570229728688,0.31821415369953715,,,,,,4.2300630066830894e-13,5.4950502268401015e-06,0.6059999999999999,0.2782829909360681,1.0,0.0,0.0,0.9523548007243612,0.011499999999998067,6538.812526949425,18.173656903765693,0.017192126858552478,0.20900000000000318,0.41841004184100417,-0.16666666666666666,0.055806274078150954,0.4200000000000017,0.09926921946963196,-0.10779793964002078,-0.025129495746133657,0.31244381497334783,,,,,,8.999826827187149e-12,-8.577429891960963e-06
QSO_128.2802883+40.6775394,,,0.0025723318103700876,232.0,1.0,,,0.009122520685195923,232.0,1.0,1.0,1.0,1.0,1.0,0.40275000000000105,0.3972500000000032,0.6150000000000002,0.999259008333692,1.0,0.0,0.0,1.2332484919590558,0.03900000000000148,6639.269143983557,18.737349137931037,0.018021889353427148,0.20300000000000118,0.6379310344827587,0.1,0.10511568329197023,0.40275000000000105,0.10793121032290957,-0.6632554605746842,4.521345140639546,0.33768243294032674,,,,,,4.2300630066830894e-13,1.048480771237523e-05,0.5405000000000015,0.9172450880846749,1.0,0.0,0.0,1.9038334127602745,-0.07200000000000273,5892.531521287595,18.169913793103447,0.015928490965861207,0.1960000000000015,0.3793103448275862,-0.03333333333333333,0.0513666611670242,0.3972500000000032,0.07689579524108733,-0.2810284603457906,-0.22695408154499797,0.2894193077039252,,,,,,3.8157977777323515e-12,-3.200435961902917e-05
QSO_128.3772349+40.653428,,,0.0035856987815350294,231.0,1.0,,,0.007255477365106344,231.0,1.0,1.0,1.0,1.0,1.0,0.3829999999999991,0.4580000000000055,0.597999999999999,0.8755185089153269,1.0,0.0,0.0,3.6294088742701476,0.09199999999999875,6828.7654921338935,18.85798701298702,0.015767610309435867,0.19200000000000017,0.46320346320346323,-0.03333333333333333,0.045608824777259194,0.3829999999999991,0.13717056590262064,0.20613507314393079,0.2144727930857364,0.29734539044118186,,,,,,4.2300630066830894e-13,-4.443799016054219e-05,0.573249999999998,0.9999999999922868,1.0,0.0,0.0,1.152795249258982,-0.006000000000000227,6138.433145823563,18.17574458874459,0.020500029582645376,0.21199999999999974,0.8398268398268398,-0.16666666666666666,0.18444089632769914,0.4580000000000055,0.08466336165741048,-3.110794835530697,27.759530114187687,0.3726033017558707,,,,,,0.9999999848794109,-3.880436263712967e-05
QSO_128.4114631+40.7487338,,,0.0028141376096755266,239.0,1.0,,,0.0017696517752483487,239.0,1.0,1.0,1.0,1.0,1.0,0.47300000000000253,0.46950000000000003,0.6432499999999983,0.8115870581172706,1.0,0.0,0.0,0.9056899524601095,-0.07500000000000284,4767.758327910628,18.862384937238495,0.017064481677706682,0.2430000000000021,0.39330543933054396,0.16666666666666666,0.049220324599554326,0.47300000000000253,0.10268800191270966,-0.11978520163272745,-0.32621505953982366,0.3218768221593568,,,,,,0.9999999848794109,-3.588360713792772e-05,0.6585000000000001,0.6372265741573546,1.0,0.0,0.0,1.5708835223334239,-0.1455000000000055,6675.798822905042,18.22019246861925,0.017910864440550543,0.23199999999999932,0.39748953974895396,0.1,0.060231702629989635,0.46950000000000003,0.13751783725367542,-0.33424627233122417,0.2884187512944516,0.3263393973861793,,,,,,0.9999999848794109,-6.904338906902652e-05
