oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_280.1003099+54.2771415,,,0.007776447106152773,661.0,1.0,,,0.007686368655413389,661.0,1.0,1.0,1.0,1.0,1.0,0.3739999999999988,0.3697499999999998,0.620750000000001,1.0,1.0,0.0,0.0,1.3248966208502428,0.30100000000000193,6968.0357912713525,18.736351963746223,0.016102411009297653,0.1880000000000006,0.48036253776435045,0.03333333333333333,0.05772881627851009,0.3739999999999988,0.05500473895616926,0.5711767280881639,0.4545827494588348,0.3017004401351029,,,,,,4.2300630066830894e-13,-1.965431250292676e-05,0.5372500000000002,0.45362604095777026,1.0,0.0,0.0,1.3606494216444038,0.014499999999998181,6760.272694709909,18.15351963746224,0.015735364234907907,0.18249999999999922,0.620845921450151,-0.03333333333333333,0.08187424292478793,0.3697499999999998,0.1399141636143838,-0.11261134417977661,0.995386690835796,0.28565224364102165,,,,,,0.08921025669242305,-4.139010642395249e-05
QSO_280.2017886+54.1987503,,,0.013446041382849216,645.0,1.0,,,0.0765383169054985,645.0,1.0,1.0,1.0,1.0,1.0,0.43374999999999986,0.4072500000000012,0.6289999999999996,0.9999964684654827,1.0,0.0,0.0,1.987382407211585,0.21600000000000108,9581.055889326988,18.79074922600619,0.01785178652566322,0.2140000000000004,0.631578947368421,0.03333333333333333,0.1008573406464669,0.43374999999999986,0.0661553548551233,-0.15886668438553528,2.1997567309176205,0.3354484438399339,,,,,,4.2300630066830894e-13,-2.558018099218434e-05,0.5810000000000013,0.999999999999992,1.0,0.0,0.0,1.9457064445405434,-0.08950000000000102,9280.509459338615,18.239574303405572,0.019031812860339958,0.2024999999999988,0.8606811145510835,-0.16666666666666666,0.20986842105263145,0.4072500000000012,0.07934707970905473,-2.481461418920633,23.772997076491777,0.3471321647946804,,,,,,4.2300630066830894e-13,-2.7621258127592958e-05
QSO_280.4576549+53.5203029,,,0.4251474440097809,432.0,1.0,,,0.008794846944510937,432.0,1.0,1.0,1.0,1.0,1.0,0.4340000000000046,0.45700000000000074,0.6540000000000017,1.0,1.0,0.0,0.0,0.9225786020665229,0.09300000000000352,7410.957133890551,18.668612009237876,0.02148577488246328,0.21100000000000207,0.9168591224018475,0.1,0.23745711835334468,0.4340000000000046,0.09222418342902186,-3.263353704526043,35.89538637138884,0.4011095949985355,,,,,,4.2300630066830894e-13,-2.7432126610549963e-05,0.6747499999999995,0.9975011663667347,1.0,0.0,0.0,1.479291373969195,-0.16100000000000136,7561.642029404026,18.351270207852195,0.018721717571156943,0.2270000000000003,0.558891454965358,0.1,0.09459238686489127,0.45700000000000074,0.13841114127561183,-0.5963143348546758,1.5814361754655288,0.34356729790339535,,,,,,6.380610574546746e-10,-5.832001515646223e-05
QSO_280.8714811+53.6557468,,,0.006167691666632891,599.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.3500000000000014,,0.5615000000000006,0.9999999995576319,1.0,0.0,0.0,1.7300441657863872,0.14099999999999824,7251.141747736134,18.618497504159734,0.016123266912541238,0.17800000000000082,0.7870216306156406,-0.1,0.12700118190609222,0.3500000000000014,0.09446846783527879,-0.36489007185356837,6.493806168866089,0.3001910047700503,,,,,,4.2300630066830894e-13,-3.5201322089700164e-05,,,601.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_280.962468+53.1840223,,,0.007407044060528278,585.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.36799999999999855,,0.5367500000000014,0.9999999185580104,1.0,0.0,0.0,2.0165457332474235,0.1910000000000025,6648.401563713945,18.634064957264957,0.015091167226747542,0.18299999999999983,0.7230769230769231,0.03333333333333333,0.1047654864879385,0.36799999999999855,0.04717197161490704,-0.2965080522806711,4.045719493058027,0.2812097903841618,,,,,,4.2300630066830894e-13,1.6051768968510768e-06,,,585.0,0.0,0.0,,,,,,,0.0,0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_281.0572422+53.8280223,,,0.01438076887279749,513.0,1.0,,,0.009992494247853756,513.0,1.0,1.0,1.0,1.0,1.0,0.3760000000000012,0.44700000000000273,0.5410000000000004,0.9999995633506112,1.0,0.0,0.0,,0.2569999999999979,inf,18.644653021442494,0.015917934489228666,0.18799999999999883,0.7680311890838206,0.1,0.11710067114093965,0.3760000000000012,0.0971131929045906,-0.30373352059799524,5.822842904891296,0.2967843653697209,,,,,,4.2300630066830894e-13,-1.736123898912268e-05,0.5839999999999996,0.9457778595108576,1.0,0.0,0.0,,-0.012999999999998124,inf,18.337155945419102,0.01697978852620272,0.22100000000000009,0.42105263157894735,-0.1,0.05276944065484304,0.44700000000000273,0.07953077365068316,0.0159148534751702,-0.3177181370299218,0.31136103012521726,,,,,,4.2300630066830894e-13,-2.2082998455131128e-05
QSO_281.0739973+54.6925957,,,0.022637037560343742,623.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.3655000000000008,,0.6339999999999986,1.0,1.0,0.0,0.001610305958132045,1.0833789654056696,0.37300000000000466,7445.207782429661,18.53569983948636,0.018278862669526826,0.1739999999999995,0.8587479935794543,-0.16666666666666666,0.1609972419014656,0.3655000000000008,0.09569288787188326,-0.7510555968349116,10.970038329509514,0.3388115118495416,,,,,,4.846611999170547e-08,-4.8242993499412374e-05,,,623.0,0.0,0.0,,,,,,,0.0,0.1,,,,,,,,,,,,0.9999999848794109,
QSO_281.1100915+54.6165273,,,0.06706850230693817,110.0,1.0,,,0.019297363236546516,110.0,1.0,1.0,1.0,1.0,1.0,0.9194999999999993,0.6532499999999999,0.9249999999999989,0.9999955323768831,1.0,0.0,0.0,3.122837493758493,0.36699999999999733,14794.519963209546,18.225969230769234,0.033954803171219426,0.4789999999999992,0.4230769230769231,0.16666666666666666,0.1511940708207521,0.9194999999999993,0.1669733892828913,-0.30406745630424586,1.8146066486452366,0.6188591978354708,,,,,,0.016354769196315226,5.3232944059207464e-05,0.8495000000000008,0.9991866057538147,1.0,0.0,0.0,1.7733930887990623,0.3060000000000045,8986.301611803912,17.986138461538463,0.028602549226579035,0.3175000000000008,0.6461538461538462,0.16666666666666666,0.17413932259052067,0.6532499999999999,0.1937288031786507,-1.4776874141327803,9.691090652907704,0.5144494107422204,,,,,,0.0009507104155889353,-1.4197392881096613e-05
QSO_281.336151+53.763119,,,0.0054507022723555565,584.0,1.0,,,0.007286079693585634,584.0,1.0,1.0,1.0,1.0,1.0,0.43074999999999974,0.3930000000000007,0.6585000000000019,0.9999885816414138,1.0,0.0,0.001718213058419244,,0.1939999999999955,inf,18.90938869863014,0.01725681436171636,0.2070000000000043,0.5428082191780822,-0.16666666666666666,0.06608069469448292,0.43074999999999974,0.17072918059037243,0.28216176614560984,0.29193418641130453,0.3263158104657976,,,,,,6.198394409435094e-13,-5.7516645302312944e-05,0.5942500000000006,0.6812728135818555,1.0,0.0,0.0,,0.0024999999999977263,,18.42655308219178,0.016893240905982796,0.20199999999999996,0.5085616438356164,0.16666666666666666,0.0649942987457242,0.3930000000000007,0.1948594256771324,-0.2109721126144863,0.40466043687289277,0.31128420028434556,,,,,,0.9999999848794109,-6.921754051272896e-05
QSO_281.3402282+54.635436,,,0.04841059073805809,612.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.40449999999999875,,0.5999999999999996,1.0,1.0,0.0,0.0,4.327447926642594,0.1770000000000067,32155.249870654883,18.704864379084967,0.019205874665740367,0.20450000000000124,0.8366013071895425,-0.03333333333333333,0.17484276729559736,0.40449999999999875,0.08667127947920539,-1.802422417501695,17.949317599854805,0.3592432809043774,,,,,,3.321868128431959e-07,-3.6387632653788375e-05,,,612.0,0.0,0.0,,,,,,,0.0,-0.1,,,,,,,,,,,,0.9999999848794109,
