oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_324.6867876-1.4880251,,,0.0001279981224797666,192.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.4164999999999992,,0.6325000000000003,0.9998398481646874,1.0,0.0,0.0,1.7682417685259413,0.3230000000000004,5789.9541090585635,18.724594871794874,0.017625098003113314,0.2240000000000002,0.49230769230769234,-0.16666666666666666,0.058260218275197874,0.4164999999999992,0.10188325814466595,0.3329456341042021,0.283953834214155,0.3300228196839776,,,,,,4.2300630066830894e-13,2.2148150314056736e-05,,,195.0,0.0,0.0,,,,,,,0.0,-0.03333333333333333,,,,,,,,,,,,0.9999999848794109,
QSO_324.9124715-1.3572997,,,0.00019498332403600216,201.0,1.0,,,0.00011579046986298636,201.0,1.0,1.0,1.0,1.0,1.0,0.4269999999999996,0.40249999999999986,0.6579999999999995,0.5735770719235497,1.0,0.0,0.0,2.3429882069438777,-0.06800000000000495,9315.068124983833,18.748257425742576,0.017490304997624682,0.2159999999999993,0.4158415841584158,0.03333333333333333,0.04876423067694013,0.4269999999999996,0.11329617634888492,-0.16078311453899194,0.09614110985284308,0.32791274055021946,,,,,,1.8512781078931786e-08,-2.7150104457270842e-05,0.5589999999999993,0.9904173680839773,1.0,0.0,0.0,2.7933790954467677,0.10499999999999687,10319.634295325217,18.047569306930694,0.01624761793962056,0.2054999999999989,0.3316831683168317,-0.23333333333333334,0.03773375506353697,0.40249999999999986,0.08591848419329894,0.23453177617355356,-0.47298107631839903,0.29323001083783257,,,,,,4.2300630066830894e-13,-3.196595977163403e-05
QSO_325.0069898-1.7628264,,,0.00028186116833239794,169.0,1.0,,,0.00010858821769943461,169.0,1.0,1.0,1.0,1.0,1.0,0.6737500000000018,0.46225000000000094,0.8324999999999996,0.9419854403096064,1.0,0.0,0.0,1.576251791226323,-0.29349999999999454,6810.107525683228,18.552264044943822,0.023183448884714082,0.32750000000000057,0.3202247191011236,0.03333333333333333,0.06971613076819591,0.6737500000000018,0.08744489902663388,-0.28815817098515,-0.16622311863913453,0.43010546518167403,,,,,,6.290176302516073e-13,-4.984217400808242e-05,0.6130000000000013,0.6613210804656965,1.0,0.0,0.0,1.7853120608109203,-0.023499999999998522,6666.666846155358,18.32615168539326,0.01725658921351142,0.22949999999999982,0.33146067415730335,-0.03333333333333333,0.04190439791433495,0.46225000000000094,0.10111152198307916,-0.09813979290445045,-0.5640094911391551,0.31624687149933145,,,,,,0.9999999848794109,-4.3094973581783224e-05
QSO_325.0070494-1.8000301,,,0.0003053539840038866,169.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.5960000000000036,,0.7614999999999998,0.9801124112921344,1.0,0.0,0.0,0.7540016016099372,0.22399999999999665,4433.061604884338,18.39949142857143,0.021733739538986913,0.28000000000000114,0.36,-0.03333333333333333,0.05815093106827842,0.5960000000000036,0.09519440018462248,0.24914686650515425,-0.08785244437864526,0.3998897543583937,,,,,,0.9999999848794109,-5.415961828668041e-05,,,175.0,0.0,0.0,,,,,,,0.0,-0.1,,,,,,,,,,,,0.9999999848794109,
QSO_325.0310633-1.7063339,,,0.0005985156167298555,118.0,1.0,,,0.0002898965612985194,118.0,1.0,1.0,1.0,1.0,1.0,0.4712500000000013,0.40474999999999994,0.7995000000000001,0.995101854039519,1.0,0.0,0.0,,-0.34199999999999875,inf,18.858838235294115,0.021485845548929294,0.23249999999999993,0.5073529411764706,-0.1,0.08642758912514548,0.4712500000000013,0.12485109516520668,-0.6909704956026521,1.5985428775937254,0.40519808555577164,,,,,,0.9999999848794109,-3.068973019351211e-05,0.6735000000000007,0.5162375642299112,1.0,0.0,0.0,,-0.134999999999998,inf,18.23008823529412,0.018240024659881327,0.2110000000000003,0.45588235294117646,-0.16666666666666666,0.05824923211935066,0.40474999999999994,0.11014400831758456,-0.23356126514972417,0.34717896945097815,0.3325172589635772,,,,,,0.9999999848794109,-1.7994489264867255e-05
QSO_325.0590144-1.6912371,,,0.0020558557007461786,107.0,1.0,,,0.0002007178554777056,107.0,1.0,1.0,1.0,1.0,1.0,0.519999999999996,0.5245000000000033,1.8115000000000006,1.0,1.0,0.0,0.0,,-3.218999999999994,inf,18.783663865546217,0.04284711717248397,0.25200000000000244,0.8823529411764706,-0.1,0.27495491672854566,0.519999999999996,0.10026560338641453,-4.116639608894485,21.807116319621944,0.8048258465756118,,,,,,0.9999999848794109,-6.97315783216075e-05,0.7007500000000029,0.9697960397207084,1.0,0.0,0.008547008547008548,,-0.20650000000000546,inf,18.26934453781512,0.020762475669208937,0.26599999999999824,0.37815126050420167,-0.23333333333333334,0.067492056535554,0.5245000000000033,0.12951620339514563,-0.4714981466851331,0.10546497989745385,0.3793168214587816,,,,,,0.9999999848794109,-5.919053893475128e-05
QSO_325.0611371-1.7064038,,,0.0008675449062138796,33.0,1.0,,,0.00032139866380020976,33.0,1.0,1.0,1.0,1.0,1.0,0.6185000000000009,0.5180000000000007,0.8197500000000009,0.9211266020423426,1.0,0.0,0.0,0.19597704761482226,-0.18900000000000006,1771.6894276929893,18.587920000000004,0.023582203888849736,0.2789999999999999,0.4266666666666667,-0.1,0.09192740589153951,0.6185000000000009,0.1517152021371006,-0.6025270080308843,2.181224125948401,0.43834411930962786,,,,,,4.2300630066830894e-13,-2.489998651526039e-05,0.6365000000000016,0.9647294970684198,1.0,0.0,0.0,0.5011255682883429,-0.347999999999999,2273.9725128637147,18.327586666666665,0.019192467990851496,0.2699999999999996,0.30666666666666664,0.1,0.04483133841131655,0.5180000000000007,0.18154173651961084,-0.41428429881420104,-0.516982480324431,0.35175162044955666,,,,,,0.9999999848794109,-8.221325708330124e-05
QSO_325.0893585-1.8546188,,,0.00027566563221625984,105.0,1.0,,,0.00023450037406291813,105.0,1.0,1.0,1.0,1.0,1.0,0.6077500000000029,0.4947499999999998,1.0519999999999996,0.9996757645934224,1.0,0.0,0.0,,-0.5230000000000032,inf,18.336516393442626,0.025736108662153433,0.29350000000000165,0.4016393442622951,0.03333333333333333,0.08454349780671883,0.6077500000000029,0.19850077817414877,-0.7153583123582903,1.283857914628335,0.4719105783869972,,,,,,0.9999999848794109,-0.00011900846868892138,0.6355000000000004,0.9980171015602101,1.0,0.0,0.008333333333333333,,-0.28950000000000387,inf,18.367475409836068,0.019223994129339107,0.24399999999999977,0.36065573770491804,0.03333333333333333,0.061872455902306674,0.4947499999999998,0.11270017219502222,-0.5599365756153115,-0.08691277246473739,0.35309623944946894,,,,,,0.9999999848794109,-5.6885603585688864e-05
QSO_325.0920016-1.7137002,,,0.002908372087404132,157.0,1.0,,,0.0002534824889153242,157.0,1.0,1.0,1.0,1.0,1.0,0.5064999999999955,0.4514999999999958,0.8015000000000008,0.5490767591462143,1.0,0.0,0.0,0.9078170489379072,0.006000000000000227,7247.265882397097,18.440680981595094,0.022811496384171813,0.25900000000000034,0.5521472392638037,-0.1,0.09576716709121473,0.5064999999999955,0.11782603212542418,-0.3158192233144905,1.3244436279830105,0.4206595275333224,,,,,,0.9999999848794109,-7.200380878680574e-05,0.6144999999999996,0.989140421146417,1.0,0.0,0.0,1.894055506558758,-0.27600000000000335,6621.004304522815,18.3139509202454,0.01707560917177929,0.22299999999999898,0.32515337423312884,0.1,0.04874188090169754,0.4514999999999958,0.0775654954803928,-0.4604710758379187,-0.07437693984766991,0.31272186830525817,,,,,,0.9999999848794109,-1.6164830809976377e-05
QSO_325.1104163-1.7061628,,,0.0008964207372628152,168.0,1.0,,,0.0002047940215561539,168.0,1.0,1.0,1.0,1.0,1.0,0.5692500000000003,0.46374999999999744,0.8175000000000008,0.9478294211997481,1.0,0.0,0.0,,-0.2874999999999943,inf,18.675091954022992,0.02166879917768427,0.2850000000000019,0.39080459770114945,-0.1,0.08475665256732871,0.5692500000000003,0.1280239438529453,-0.5921269189021869,1.1249937129168894,0.40466681717651154,,,,,,1.69190709331481e-05,-5.97593729966214e-05,0.6769999999999996,0.9999971890097994,1.0,0.0,0.0,,-0.4414999999999978,inf,18.38923563218391,0.01827447237778501,0.21450000000000102,0.4425287356321839,-0.1,0.0652285845912034,0.46374999999999744,0.117250443014253,-0.7567485348043402,0.6546230431585252,0.33605357860892476,,,,,,0.9999999848794109,-1.226466107952597e-05
