oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_177.3669448+28.8308461,,,,,,,,,,,0.014398737780400874,1.0,0.00879123124292988,1.0,0.20162499999999994,0.14099999999999824,0.28125,0.335917075112047,1.0,0.22727272727272727,0.0,2.710715721562714,0.14300000000000068,0.002984979355600703,18.72906818181818,0.008506267364375094,0.11500000000000021,0.3181818181818182,-0.1,0.020603404505491592,0.20162499999999994,0.23210890870076006,0.5002161682815575,0.24252021298888016,0.15931446144015599,0.7859967288708395,0.9999957714034836,3.329662181866654e-05,0.012320743499141184,-0.5,0.6180339980948049,-3.0478278287440904e-05,0.2938749999999999,0.6011904185210408,1.0,0.22727272727272727,0.0,1.8032748809091201,0.0015000000000000568,0.0025496591010923447,18.220340909090908,0.008379949374684165,0.08724999999999916,0.45454545454545453,0.1,0.020175125579863288,0.14099999999999824,0.2193307734983021,-0.016835467947423983,1.6618389470118133,0.15268553440766866,0.7352245898083065,0.9999723136477032,3.735887938186551e-05,0.021193628731754077,-0.5,0.6180339980948049,-4.0630022882439544e-05
QSO_177.4055859+28.1805508,,,,,,,,,,,0.02634139946826773,1.0,0.06141228689255905,1.0,0.2740000000000009,0.3464999999999989,0.3203749999999985,0.8370915361199371,1.0,0.0,0.0,1.7672371930730975,-0.13949999999999818,0.0030002524937322917,18.839695652173912,0.009943478709589877,0.11500000000000199,0.21739130434782608,0.2,0.02178055364420686,0.2740000000000009,0.2910532995609388,-0.3902264988435327,-0.46573770500174394,0.18733211261254426,,1.0,3.473813085889086e-05,0.6578757967236935,0.44306410909483496,0.9937197905487601,-1.9847305664043953e-05,0.43374999999999986,0.5942024986174161,1.0,0.0,0.0,2.043400646177544,-0.40800000000000125,0.005733887260505509,18.17754347826087,0.013925606487371466,0.18400000000000105,0.17391304347826086,-0.06666666666666667,0.04120652711389484,0.3464999999999989,0.24729006099924755,-0.7655169437978468,1.6892756981487809,0.25313331738534645,,1.0,0.00013442315338718357,0.0,0.0,0.6180339980948049,-9.34419007316054e-05
QSO_177.4169102+28.1824703,,,,,,,,,,,0.012252592248515184,1.0,0.02099647932065735,1.0,0.15474999999999994,0.21775000000000233,0.2317499999999999,0.41933846805191916,1.0,0.30434782608695654,0.0,2.313633137120186,0.15699999999999648,0.002602102059267754,18.667152173913045,0.006910017401124271,0.0730000000000004,0.34782608695652173,-0.2,0.019777039339693415,0.15474999999999994,0.16772697564225608,0.7059783714368846,1.5414114913978239,0.1289903463511739,0.740078732150591,0.9999999990212282,2.351258207060752e-05,0.4375059294874129,1.156434018296279,0.6180339980948049,-2.1123567927354712e-05,0.2817500000000006,0.37356551866340626,1.0,0.391304347826087,0.0,2.3470411219898186,0.021999999999998465,0.00256032805418967,18.246673913043477,0.009130673755708653,0.12150000000000105,0.2608695652173913,-0.13333333333333333,0.017466410748560472,0.21775000000000233,0.25515766799311906,0.2627207799451416,-0.3797740945805512,0.16660442662679978,0.8176153938340498,0.999999999999821,4.4489830683407904e-05,3.087923806782291,3.0,0.6180339980948049,-4.076321607218461e-05
QSO_177.492386+28.1524716,,,,,,,,,,,0.003858021175308567,1.0,0.014293175343767726,1.0,0.13050000000000495,0.14675000000000082,0.17862499999999848,0.5746809182661685,1.0,0.30434782608695654,0.0,2.1686452418198296,0.09099999999999397,0.002275449281078776,18.794717391304346,0.00551796558228347,0.07400000000000162,0.30434782608695654,0.06666666666666667,0.01209827852688785,0.13050000000000495,0.1848643410616589,0.39924554444534205,-0.2618534284236693,0.10370860369396195,0.8136946991967126,0.9851351003205744,6.7857941648152005e-06,0.19000183532763756,0.7741975693237002,0.6180339980948049,2.0315258261285544e-05,0.2788750000000011,0.8638303756541234,1.0,0.34782608695652173,0.0,2.50341430556436,0.04800000000000182,0.003819729264082381,18.256543478260873,0.007278918892200667,0.06500000000000128,0.43478260869565216,-0.06666666666666667,0.017920754096563914,0.14675000000000082,0.18300741331839693,0.20225636889998377,1.615502676487222,0.13288789923019595,0.640928381478135,1.0,2.2959256590559284e-05,0.02076861518550045,-0.5,0.6180339980948049,-2.939182921026376e-05
QSO_177.5358717+28.6731144,,,,,,,,,,,0.01726396795535736,1.0,0.03452299294390978,1.0,0.17824999999999847,0.20575000000000188,0.2920000000000016,0.6754324020615292,1.0,0.0,0.0,2.358994397319961,-0.07199999999999562,0.003916540283341209,18.951999999999998,0.0078288557876666,0.08850000000000335,0.34782608695652173,-0.06666666666666667,0.018307964228242688,0.17824999999999847,0.2241714279576169,-0.2462037746395458,0.9030358852344227,0.14837247488785738,,1.0,1.1044542596534878e-05,-0.5,-0.5,0.6180339980948049,-3.906628555469544e-06,0.3576250000000005,0.595821033464644,1.0,0.0,0.0,2.273493478828355,-0.03249999999999886,0.0044272014896768715,18.126456521739136,0.010621799849499292,0.10350000000000037,0.43478260869565216,-0.06666666666666667,0.02364678646235247,0.20575000000000188,0.22714480289454952,-0.1579568852595626,0.48366627976974863,0.19253559315456423,,1.0,6.001726084430959e-05,0.5213117754258159,0.9112629600791207,0.6180339980948049,-6.400015887724701e-06
QSO_177.8596712+27.8778955,,,,,,,,,,,0.009201951555577764,1.0,0.010731472172431599,1.0,0.16049999999999898,0.22875000000000156,0.21225000000000094,0.5502567500145111,1.0,0.34782608695652173,0.0,1.8718984699709937,-0.031999999999996476,0.0020138201353450107,18.684217391304347,0.006491621496239778,0.07850000000000179,0.391304347826087,0.0,0.014103694206266493,0.16049999999999898,0.27869701495869603,-0.030607614637435675,-0.04896595283798311,0.12129086725780841,0.7466813849155461,0.999936180833525,1.4865398166776257e-05,0.11192716516314012,0.37271929526644704,0.9997049594236999,-5.100566789016437e-05,0.2555000000000014,0.2852572417271694,1.0,0.34782608695652173,0.0,1.8804991196452001,-0.0519999999999996,0.0028333288012879977,18.24058695652174,0.008141755795522197,0.11799999999999855,0.21739130434782608,-0.06666666666666667,0.01780765537110717,0.22875000000000156,0.22820191802087297,-0.3015682691894344,-0.10281221697135834,0.14851040456698747,0.7999297421465914,0.9999997761160814,3.0015665677506796e-05,0.0,0.0,0.6180339980948049,-2.418874282002335e-05
QSO_177.9197205+28.473102,,,,,,,,,,,0.015952333087621152,1.0,0.02234475029693117,1.0,0.2629999999999981,0.18625000000000114,0.2573749999999997,0.9446118909176271,1.0,0.34782608695652173,0.0,2.043556913172505,-0.0484999999999971,0.0032586657044713766,18.875478260869563,0.008461096204608129,0.11149999999999949,0.34782608695652173,0.06666666666666667,0.01701318257469681,0.2629999999999981,0.17501896772773748,-0.14106544938864468,-0.616980567520792,0.1597072374732067,0.8053796958677385,0.999999129579401,3.6696177275441995e-05,0.43319244994085,1.1702947083791408,0.9784931907732524,2.6917776016703394e-05,0.3123750000000012,0.2638259564280611,1.0,0.34782608695652173,0.0,1.9091222862098327,0.09799999999999898,0.0024727815423070563,18.19152173913044,0.00909075345641612,0.10999999999999943,0.391304347826087,0.06666666666666667,0.023182819383259876,0.18625000000000114,0.19426019040274226,0.24068122938313716,0.8001690013532663,0.16537463912746903,0.9098816929060672,1.0,4.883464333510594e-05,0.4112787111581763,1.2429137413976958,0.9923817873224627,-2.0563099905337464e-05
QSO_178.0215958+27.8732656,,,,,,,,,,,0.08005037830046897,1.0,0.04253373168850209,1.0,0.3185000000000002,0.2624999999999993,0.5285000000000011,0.45556787628424333,1.0,0.0,0.0,1.6084067617031006,0.1910000000000025,0.0038827882119147807,18.95291176470588,0.014720716137952007,0.1595000000000013,0.17647058823529413,-0.06666666666666667,0.03298969072164961,0.3185000000000002,0.2682772921725995,0.46526661959289095,0.333254767538568,0.2790004340758863,,1.0,0.00018636771718523142,3.2540989560087437,3.0,0.9948751117887665,5.278669431431172e-05,0.44700000000000095,0.835474663621492,1.0,0.0,0.0,1.391768231737306,0.16600000000000392,0.002410020781917149,18.013617647058823,0.01118835993985302,0.0779999999999994,0.5294117647058824,0.06666666666666667,0.02948703683097814,0.2624999999999993,0.2687915427987506,0.5042137441228397,1.6808618609572066,0.20154283805418235,,1.0,9.971698377978212e-05,0.4626013402488175,0.8156714006921914,0.9936129651057664,-6.032708072068523e-05
QSO_178.134237+28.5752161,,,,,,,,,,,0.007565285318131135,1.0,0.006576291667489861,1.0,0.1410000000000018,0.15449999999999875,0.16500000000000092,0.903214022205742,1.0,0.4782608695652174,0.0,1.780019501559545,0.09599999999999653,0.002032783195291359,18.771173913043473,0.005685070625703887,0.0660000000000025,0.2608695652173913,-0.13333333333333333,0.011868249099879992,0.1410000000000018,0.3152563410368388,0.4159876644708829,-0.5981267592533723,0.10671544942302254,0.7666444460494362,0.9999825476701892,-6.031405926402163e-06,-0.5,-0.5,0.9989864893533179,1.6341923764206786e-05,0.17062499999999936,0.936754107566502,1.0,0.34782608695652173,0.0,2.166359461061515,0.11199999999999477,0.0019341387730728043,18.225978260869564,0.00528136111856123,0.07000000000000028,0.391304347826087,0.0,0.012964183695891049,0.15449999999999875,0.21623917652652194,0.6208690444847812,-0.00972580946548085,0.09625797293469875,0.7998935792808016,0.999846465723959,6.965812772687095e-07,0.30954850710513787,1.6404242344458209,0.6180339980948049,-2.1798814197805443e-05
QSO_178.2525259+28.9884044,,,,,,,,,,,0.000590697407330788,1.0,0.013806314709821766,1.0,0.1109999999999971,0.22474999999999667,0.1928750000000008,0.35815320225963954,1.0,0.30434782608695654,0.0,1.19921372833893,0.05649999999999977,0.0012132630363045867,18.814478260869567,0.005501863938578716,0.05900000000000105,0.43478260869565216,0.0,0.014759068184235901,0.1109999999999971,0.24084503958195166,0.32560340956318756,1.4789304677093584,0.10351469946665146,0.7982987303463156,0.7165881773661861,2.642570803171196e-06,-0.5,-0.5,0.9957902327070667,-2.2414449294463944e-05,0.3256250000000005,0.28250419209556504,1.0,0.2608695652173913,0.0,2.0519142230619027,-0.16250000000000142,0.0027300219955599847,18.288847826086954,0.009738466531995825,0.11299999999999955,0.2608695652173913,0.0,0.025219957374719982,0.22474999999999667,0.18740105190830403,-0.43145199656283784,0.6509443630054523,0.17810533246311241,0.8688760448458901,0.9999692914034537,5.77609542804412e-05,1.2639512751967716,2.556404911398403,0.9758885227817813,-4.274310493552912e-05
