oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_41.00424-50.14826,,,,,,,,,,,0.004467241724252257,1.0,0.007007323658699029,1.0,0.17680899999999866,0.29124399999999895,0.2643749999999976,0.8620853618137403,1.0,0.23529411764705882,0.0,1.4651213496180713,0.20491999999999422,0.0019131627056673114,19.648116352941173,0.006976169583809693,0.08694800000000669,0.4117647058823529,0.0,0.018691064500795423,0.17680899999999866,0.34637652563913673,0.9155638256886669,1.664819712409488,0.13706859168054206,0.7696198773600359,0.9452473247505602,2.051261719139256e-05,0.3319581834058959,1.5426481959667115,0.9976718753760373,-8.908721435746446e-06,0.3561299999999985,0.2189012217029079,1.0,0.2857142857142857,0.0,2.664767540743105,0.11610600000000204,0.0031564253911305065,19.496626857142854,0.010577644749503096,0.1638959999999976,0.2857142857142857,-0.03333333333333333,0.021280367192342154,0.29124399999999895,0.24410171373829392,0.29666775453506183,-0.06150697372476355,0.20622839270847815,0.8438712764309935,0.6841169607126676,-9.097768380071846e-06,0.4097851369113898,1.248003200848008,0.6180339980948049,-2.1867607392200164e-05
calib_s_40.702192-50.135387,,,,,,,,,,,0.0063280632381435,1.0,0.02664140302926724,1.0,0.2101154327392578,0.27211570739746094,0.20189571380615234,0.8668711011256612,1.0,0.4117647058823529,0.0,2.2285126912795445,0.1343517303466797,0.0017107367627171538,19.464078488518208,0.006153114340493495,0.06115150451660156,0.29411764705882354,0.0,0.013854243007764312,0.2101154327392578,0.2738617051200898,0.4121239301223975,-0.5782141738065816,0.11976470047219233,0.8273069548899464,0.9939043239158868,1.8683212911655785e-05,0.3606329223269918,1.4267458606645305,0.9012726464852636,-1.435339629892389e-05,0.42682790756225586,0.714330987100439,1.0,0.46153846153846156,0.0,2.5511089841833856,-0.022658348083496094,0.003686163463984806,19.62477136993408,0.012609661406361269,0.14326095581054688,0.38461538461538464,-0.06666666666666667,0.02233564356346231,0.27211570739746094,0.32638167467794027,-0.21689968794189088,0.5164960994366399,0.24746172215212134,0.805270741529384,0.9333542104460963,4.174269375898401e-06,-0.5,-0.5,0.6180339980948049,7.775258735695969e-06
calib_s_40.722648-50.16754,,,,,,,,,,,5.5408527956194425e-06,1.0,2.2558933835843714e-07,1.0,0.1114497184753418,0.14320659637451172,0.1875,0.7245351950672575,1.0,0.3125,0.0,2.066456499294571,0.14650726318359375,0.0017027418112191823,19.601081131935118,0.005374494532096886,0.062081336975097656,0.3125,0.03333333333333333,0.013324035049581481,0.1114497184753418,0.2626744749442337,0.7384373554338972,0.7194069393133296,0.10534590336677273,0.8001157172065186,0.6928696730719923,4.31362323372386e-06,-0.5,-0.5,0.6180339980948049,-4.8813810999434e-05,0.1755075454711914,0.2768265649431735,1.0,0.2857142857142857,0.0,0.4143271537261298,0.07031440734863281,0.0002662953916582979,19.799786274501255,0.005773844742501745,0.09428596496582031,0.2857142857142857,0.0,0.010640972276272172,0.14320659637451172,0.3996926686313113,0.4455944955919551,1.8633552123574866,0.11432089188368728,0.7962086984169418,0.02956638647412212,-0.00016090945570324688,-0.5,-0.5,0.9999999848794109,-5.8252050658412887e-05
calib_s_40.739542-50.04472,,,,,,,,,,,0.00018361242376697606,1.0,2.8633540553677173e-07,1.0,0.1093602180480957,0.21212196350097656,0.3161754608154297,0.995093382467188,1.0,0.125,0.0,1.7083709280581305,0.3645172119140625,0.0027801402560334964,19.805812119483946,0.0074526314079556445,0.058547019958496094,0.5625,-0.03333333333333333,0.025212825294121194,0.1093602180480957,0.20623373889616037,1.7590282822655938,6.3786965939975575,0.1476054174617346,0.7533991583851458,0.7551228117351716,1.9509153360477406e-05,0.34801389001826877,1.4765727090573593,0.6180339980948049,2.2358430716642156e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
calib_s_40.768363-50.23324,,,,,,,,,,,4.454689925065499e-07,1.0,2.502076085304768e-07,1.0,0.1718311309814453,0.23389387130737305,0.20880699157714844,0.7796750726530947,1.0,0.29411764705882354,0.0,2.200054796875515,0.15574264526367188,0.0019532677333427523,19.834645137113682,0.006203415575763036,0.09107398986816406,0.11764705882352941,0.06666666666666667,0.014470202703889167,0.1718311309814453,0.24781637296775993,0.5477076999737125,-0.12642790386446645,0.12304254658330356,0.8671154489934628,0.593557237768322,7.234190777591507e-07,-0.5,-0.5,0.9837577057929582,6.701298102600093e-06,0.24507617950439453,0.30411433561157725,1.0,0.16666666666666666,0.0,2.5083291243825476,0.16303253173828125,0.0014088542174162996,19.764418853759764,0.008551478732587405,0.14119911193847656,0.3333333333333333,-0.03333333333333333,0.01655135947612265,0.23389387130737305,0.2901470445948534,0.5346135162596779,2.2127976820192394,0.16901500748987616,0.8495724114758364,0.20015894025988704,-0.00011781272570210276,-0.5,-0.5,0.6180339980948049,-0.00010374733694818576
calib_s_40.7696-50.144509,,,,,,,,,,,1.2780838847629677e-07,1.0,0.0059721898597115955,1.0,0.11783409118652344,0.1337871551513672,0.1773052215576172,0.880542836420791,1.0,0.23529411764705882,0.0,2.342520752139837,-0.12331390380859375,0.001244701163116592,19.834219686171586,0.004575078493286931,0.053577423095703125,0.4117647058823529,-0.06666666666666667,0.012035434356849894,0.11783409118652344,0.23991662206360206,-0.7989992905264162,0.959917373324203,0.09074311191733189,0.8232361097264754,0.26598217762129833,-1.5947146959255906e-05,-0.5,-0.5,0.6180339980948049,-1.0812769177200874e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
calib_s_40.797785-50.035091,,,,,,,,,,,0.003991974985990758,1.0,3.500151550287864e-07,1.0,0.14778900146484375,0.05794477462768555,0.1945819854736328,0.8222922711670733,1.0,0.29411764705882354,0.0,2.6686749696991168,-0.09597015380859375,0.0021275705927690583,19.672564596737132,0.005514243734411045,0.07833099365234375,0.29411764705882354,-0.06666666666666667,0.012328613236580514,0.14778900146484375,0.15321704433896294,-0.6939098417341495,0.3091502859647748,0.10847931606735428,0.8063922142744304,0.8679813070617335,3.043693243095994e-06,0.3444945498437674,1.4907914521886758,0.8541912660635075,1.2560604394774192e-05,0.0950174331665039,0.38631184398800716,1.0,0.3333333333333333,0.0,1.5506907859657508,-0.04838752746582031,0.0005226346717078123,20.003037704467772,0.0030004091935775567,0.036559104919433594,0.5,0.03333333333333333,0.005954778346349168,0.05794477462768555,0.41087278865988214,-0.37127091429362286,3.173701125866886,0.06001729822796361,0.8483206950969282,0.0014596880159561366,-0.0002670560456718303,-0.5,-0.5,0.9917009051111882,-1.13855134704062e-05
calib_s_40.814119-50.158722,,,,,,,,,,,0.007689120287125983,1.0,4.11307080670645e-07,1.0,0.1477203369140625,0.07761764526367188,0.2960700988769531,0.5406485302265419,1.0,0.1111111111111111,0.0,1.6130946284654755,0.24459075927734375,0.0018104096750749072,19.830881713867186,0.008460559131016787,0.09384536743164062,0.3333333333333333,-0.06666666666666667,0.021138672079644944,0.1477203369140625,0.2509615527252614,0.9294430581021156,3.5567700015470685,0.16778034736037284,0.7869440700014565,0.9264234771133657,3.1021519719026306e-05,0.37028959283507984,1.389779845562137,0.6180339980948049,-0.00010485999519845383,,,,,,,,,,,,,,,,,,,,,,,,,,
calib_s_40.817977-50.017487,,,,,,,,,,,0.005967787137729681,1.0,0.013647904078839038,1.0,0.1053466796875,0.3849296569824219,0.20966625213623047,0.8839071012597614,1.0,0.35294117647058826,0.0,1.7262830439026682,-0.14306068420410156,0.0016479389437182848,19.655760069903206,0.005501654047110068,0.06504631042480469,0.4117647058823529,0.0,0.014301001572431927,0.1053466796875,0.31272015125582053,-0.9995080539197488,1.7960316950461421,0.10813919193760746,0.7400922748754258,0.9520017249872574,4.226514203833831e-06,-0.5,-0.5,0.6180339980948049,-3.867205704967987e-05,0.3097195625305176,0.6814735659254169,2.0,0.4444444444444444,0.0,1.129834383762586,-0.19371509552001953,0.0016121322806304417,19.53888981882731,0.010295593805356136,0.10837173461914062,0.3333333333333333,0.06666666666666667,0.02073728892828547,0.3849296569824219,0.4335791528274753,-0.38347849300625225,-0.2704792355258361,0.20116447298225454,0.9439727773790929,0.8224676512707565,-6.3224567694362036e-06,-0.5,-0.5,0.9972569739567434,-3.646899569171199e-08
calib_s_40.8191-50.217446,,,,,,,,,,,1.940496291219633e-08,1.0,3.05565889739219e-07,1.0,0.07621002197265625,0.28029441833496094,0.18965435028076172,0.934510323934027,1.0,0.23529411764705882,0.0,1.7735148761921389,0.14049339294433594,0.0014094018627100956,19.684585493199965,0.00442573935221382,0.04994773864746094,0.47058823529411764,-0.06666666666666667,0.01320386567279648,0.07621002197265625,0.19773699405502268,1.208594173374783,4.365380037627974,0.08711884464927237,0.7602707997553457,0.11401995339994458,-9.525457025117173e-06,-0.5,-0.5,0.6180339980948049,-3.33307496535932e-05,0.3602619171142578,0.2184542749032496,1.0,0.3333333333333333,0.0,1.5197327521141621,0.06789016723632812,0.001912397651974722,19.790395246717665,0.010880609955866089,0.15529632568359375,0.3333333333333333,0.0,0.01993239501927595,0.28029441833496094,0.3164418096173819,0.18242890273791076,0.6535215417070006,0.21533157155196114,0.8136798700882825,0.36430343328704645,-6.743444310097057e-05,-0.5,-0.5,0.948087592765609,-0.0001164266828225316
