oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_191.05696+86.43172,,,,,,,,,,,0.0014245881638877903,1.0,0.006770271673956858,1.0,0.04396575000000169,0.10222699999999918,0.10086749999999967,0.987158327516443,1.0,0.25,0.0,1.6342805148754045,0.07674599999999998,0.0008848222269801557,18.664103,0.00301578668447876,0.022667000000000215,0.4375,0.03333333333333333,0.007467646460124896,0.04396575000000169,0.32803560888973915,0.9136575587422872,1.1482379396830176,0.05628695330514008,0.7528699303139533,0.9976320941888488,5.318410487493064e-06,0.07886761864692673,0.4447827885928221,0.6180339980948049,1.7453138963651272e-05,0.33718750000000064,0.9999999447317458,1.0,0.125,0.0,2.918265634927259,0.529047999999996,0.004330950181501177,18.510173875,0.008486807605990241,0.050838999999999857,0.75,0.03333333333333333,0.03258705246428716,0.10222699999999918,0.22131860542056186,2.7139121230208767,12.115565846125204,0.15709228443055184,0.6812232348754114,0.9998717975839098,5.738913166061118e-05,0.6793874506099831,0.40901957587721544,0.6180339980948049,2.7887594134455737e-05
calib_s_188.400979+86.538379,,,,,,,,,,,7.58256042791188e-10,1.0,0.003604384315097885,1.0,0.022883892059326172,0.16396141052246094,0.03896474838256658,0.4536625029571434,1.0,0.25,0.0,1.848177042060504,-0.011622428894042969,0.0002748904153734254,17.838541923999784,0.0010587948232294517,0.010437488555908203,0.25,-0.03333333333333333,0.002510394170743292,0.022883892059326172,0.3049893544336559,-0.43389611876723133,1.7695187243190942,0.018887355843092514,0.8000622750068026,0.7262352937404375,1.6059972854422226e-07,0.12871670115243006,2.169236219853677,0.9993981718827055,-7.142648888239451e-06,0.15155649185180486,0.6359667692393639,1.0,0.375,0.0,2.3367592669284765,-0.04737281799316406,0.0019718673467199656,18.475398315429686,0.004918653676061169,0.08135700225830078,0.125,0.03333333333333333,0.009481205626387127,0.16396141052246094,0.26889688478939955,-0.13726101220627954,-0.9095188066032867,0.09087408584088255,0.9069534928314845,0.9898383670191289,1.1122045141316193e-05,0.4369501672422857,0.8760317820621124,0.6180339980948049,-4.196501025845044e-06
calib_s_188.561343+86.553694,,,,,,,,,,,5.914550512157427e-12,1.0,7.86479958146647e-05,1.0,0.040977954864505506,0.09474754333496094,0.06288814544677734,0.22951939147102093,1.0,0.375,0.0,1.5141065274929806,0.024796485900878906,0.0003898113717688528,18.075644194126127,0.0017657459518486346,0.02697515487671076,0.375,-0.16666666666666666,0.004166322275989149,0.040977954864505506,0.23916665839298862,0.2923034598653073,0.459470426004299,0.031916995562834484,0.814373632257114,0.9961373479341321,1.7048430624464674e-06,0.009355281003651166,-0.5,0.6180339980948049,4.266155198918297e-06,0.1239161491394043,0.4499638641853815,1.0,0.25,0.0,2.705976090114406,0.059090614318847656,0.0012792061107215092,18.49304450893402,0.003521270791413064,0.0488886833190918,0.25,0.1,0.008303642950564244,0.09474754333496094,0.21793757603810335,0.5102979256437576,0.28750384955099584,0.06511901747361111,0.817539131930738,0.5474979561651115,-1.2680047540233583e-06,0.2514763089142991,1.93107121830381,0.6180339980948049,2.4320687345264433e-05
calib_s_188.784768+86.322475,,,,,,,,,,,0.02568207784349506,1.0,0.0028400709324564724,1.0,0.1939406394958496,0.11681056022644043,0.3615756034851074,0.8371291098128087,1.0,0.1875,0.0,1.0850391424464862,0.23764991760253906,0.0019223512642230665,18.161609469890593,0.009057360814182045,0.10540962219238459,0.375,-0.03333333333333333,0.026454354824910542,0.1939406394958496,0.2900476372479177,1.204365380785297,4.336076151310302,0.1644962499350646,0.8196382627073998,1.0,8.030805098614738e-05,1.4978478376400461,2.864632245835288,0.9951264380395878,-1.7942716281935683e-05,0.1418313980102539,0.931871170449879,1.0,0.25,0.0,1.0888597177583206,0.10689735412598367,0.0013990860203067672,18.583964778423308,0.0048192959075008006,0.06141757965087713,0.3125,0.03333333333333333,0.010522591342037648,0.11681056022644043,0.30641000655374007,0.650637645966356,-0.271839064202704,0.08956162540179446,0.8142612293295568,0.952748980631837,7.578740984183304e-06,0.20652486593128278,2.206556683329061,0.9971613980342497,7.385929886964878e-06
calib_s_188.872503+86.546475,,,,,,,,,,,7.582560427911907e-10,1.0,8.802679714969411e-09,1.0,0.01689624786376598,0.060941696166988635,0.028473377227783203,0.4230800330591168,1.0,0.3125,0.0,3.1393239259049235,0.009688377380371094,0.0002970085799980645,18.057523130416868,0.0008653892386984331,0.011183738708496094,0.375,0.03333333333333333,0.001845457841827117,0.01689624786376598,0.19983009955179465,0.20334273819221846,-0.06623962797125271,0.0156267861946108,0.8173308391011371,0.08801871087386014,-6.232653497990425e-07,-0.5,-0.5,0.6180339980948049,1.9739307262505423e-06,0.0951662063598615,0.3234072940650064,1.0,0.3125,0.0,1.3728356765120941,-0.026047706604003906,0.0006297394930951896,18.54004932785034,0.0027374499231848292,0.03883075714111506,0.3125,-0.03333333333333333,0.005837922019649433,0.060941696166988635,0.2563368922529206,-0.4438485118415534,0.5391864222654812,0.05075245660836686,0.792222291090095,0.15114797074581116,-7.105547948455568e-06,-0.5,-0.5,0.9976764988766635,1.8407087733220382e-07
calib_s_188.977272+86.376888,,,,,,,,,,,7.582560427911907e-10,1.0,0.0007610590730806876,1.0,0.020595073699951172,0.10956215858459473,0.031676292419433594,0.5573757650334457,1.0,0.1875,0.0,2.179897540380028,0.011094093322753906,0.00029799488190481046,17.703351019859312,0.0008948348285520609,0.009363651275634766,0.3125,0.1,0.0021030051310829494,0.020595073699951172,0.18418082818349274,0.4733648244728987,0.8050347773689595,0.01584157507465276,0.7786463373793489,0.7464501706100815,2.1791833906784108e-08,-0.5,-0.5,0.6180339980948049,-1.5357435658401768e-06,0.1097445487976092,0.980619444929399,1.0,0.25,0.0,1.7865014872710103,0.07988643646240234,0.0013378480934934421,18.423686696529387,0.004030365739442185,0.052377700805662286,0.3125,-0.16666666666666666,0.00813391685435183,0.10956215858459473,0.320477671189666,0.6012334187110837,-0.5646933897991793,0.07425419565590881,0.8195446405688659,0.8324437082839125,4.1164550374539425e-06,0.34621538091516707,1.1223110229950246,0.999842507141923,1.3572797242163191e-05
calib_s_189.008942+86.309069,,,,,,,,,,,1.3470356023877075e-10,1.0,1.1778093728656992e-07,1.0,0.04829263687133789,0.10855722427368164,0.0603032112121582,0.6510140807029928,1.0,0.375,0.0,1.6300116747111775,-0.011531829833984375,0.000624724207447913,18.18167114162445,0.0018716547057069462,0.028886795043943536,0.375,-0.03333333333333333,0.00363460779509668,0.04829263687133789,0.26170228091047826,-0.32856065362312586,-0.04298143838031265,0.03402981034983758,0.8078084798221796,0.9942400038946096,1.8272563786743003e-06,0.09550722492906247,1.482364299695285,0.6180339980948049,1.0758887712513508e-05,0.08117341995239258,0.950633976155811,1.0,0.5,0.0,2.4575029464516054,-0.022902488708496094,0.0008589225560093214,18.377460493087767,0.003194218926388957,0.059792518615722656,0.1875,-0.1,0.005039787288920696,0.10855722427368164,0.18057115998418052,-0.25165616528789375,-1.1397742560635336,0.05870163212598628,0.8744352797299788,0.5851185282166784,-7.239286260940698e-07,0.22811901926213934,2.0674392323258886,0.9664231512675975,-1.7196399408648315e-06
calib_s_189.256015+86.42504,,,,,,,,,,,1.4687967351759804e-18,1.0,8.448560254988581e-08,1.0,0.019260644912719727,0.06246495246886852,0.04614448547363281,0.9675703433831669,1.0,0.3125,0.0,1.9070910542536705,-0.017641067504882812,0.0003490195959703446,17.795556425094603,0.0013710490021393148,0.011474132537841797,0.4375,-0.03333333333333333,0.0030879699402099545,0.019260644912719727,0.2274922908262485,-0.6408354703904486,0.9531002497429659,0.024398579879139827,0.760529546787434,0.9984586568935468,9.68731496140179e-07,0.011880317583411605,-0.5,0.6180339980948049,3.1390105330470645e-06,0.1623859405517596,0.9991834006432688,1.0,0.125,0.0,1.86094078303712,0.16378307342529297,0.0012695350453498767,18.556661798000334,0.00426801078345903,0.04222679138183416,0.4375,0.1,0.013173815617913358,0.06246495246886852,0.27686228490257936,1.57419182741277,4.4956996553805135,0.07920003265886766,0.6771910662551013,0.6380888345399378,2.9004577834622478e-06,0.24537179542672316,1.9654484236566332,0.9912455328425804,1.076318448643571e-06
calib_s_189.619357+86.517825,,,,,,,,,,,1.513139028312154e-13,1.0,0.004396918283202019,1.0,0.03135800361633301,0.12070751190185902,0.05766725540161133,0.9063278346467167,1.0,0.25,0.0,1.668875143313212,-0.04688549041748047,0.0004591698139463787,17.934771894454954,0.001656070050403128,0.015702247619628906,0.25,-0.1,0.0045214819136780915,0.03135800361633301,0.2086762901693585,-1.0916033604452862,2.384581077217028,0.02970123859521862,0.748204677789983,0.9996908818666862,1.5885088545970774e-06,0.18199801526990936,2.383414555301328,0.9946397530618792,-6.250839121786576e-06,0.17402315139770508,0.8448343326243143,1.0,0.3125,0.0,2.301688473636264,0.11577033996582031,0.001617177450696223,18.67476965332031,0.005592075917242575,0.05903673171997248,0.1875,0.03333333333333333,0.012436880069947875,0.12070751190185902,0.24644690362731184,0.6291773848124559,0.017006107059308384,0.10443072963838497,0.8311599403516181,0.9754601143392868,1.2490519888707367e-05,0.8935166725646472,2.5774120753807024,0.6180339980948049,-2.9614165943234012e-05
calib_s_189.64807+86.418133,,,,,,,,,,,0.001906807608645233,1.0,0.011714795178747437,1.0,0.06803560256958008,0.17348670959472656,0.08591508865356445,0.3580151098735782,1.0,0.4375,0.0,2.8895950110749458,0.026024818420410156,0.0010023166574375303,18.252682446479795,0.0028050938134982642,0.0407295227050799,0.125,0.03333333333333333,0.005420380429260128,0.06803560256958008,0.2652544463884348,0.1019482965965892,-0.5322007702450167,0.051200486610368835,0.8625245674169504,0.9999999716422902,5.9238409266404505e-06,0.12479290370581103,0.41747413400640515,0.6180339980948049,7.159647395853057e-06,0.26451921463012695,0.6483771432263729,1.0,0.2,0.0,2.1426036939137756,0.15116024017333984,0.002507616098995075,18.67732683563232,0.008019740264766935,0.09972190856933594,0.4,0.0,0.018246108769006078,0.17348670959472656,0.20675059323266481,0.6762080583349659,0.727744640755537,0.14978731006193255,0.8348226065538559,0.9999333108208854,4.538094986438614e-05,0.022883927162704206,-0.5,0.9871771108643715,3.82597405282519e-06
