oid,MHPS_ratio_W1,MHPS_low_W1,MHPS_high_W1,MHPS_non_zero_W1,MHPS_PN_flag_W1,MHPS_ratio_W2,MHPS_low_W2,MHPS_high_W2,MHPS_non_zero_W2,MHPS_PN_flag_W2,GP_DRW_sigma_W1,GP_DRW_tau_W1,GP_DRW_sigma_W2,GP_DRW_tau_W2,iqr_W1,iqr_W2,Amplitude_W1,AndersonDarling_W1,Autocor_length_W1,Beyond1Std_W1,Con_W1,Eta_e_W1,Gskew_W1,MaxSlope_W1,Mean_W1,Meanvariance_W1,MedianAbsDev_W1,MedianBRP_W1,PairSlopeTrend_W1,PercentAmplitude_W1,Q31_W1,Rcs_W1,Skew_W1,SmallKurtosis_W1,Std_W1,StetsonK_W1,Pvar_W1,ExcessVar_W1,SF_ML_amplitude_W1,SF_ML_gamma_W1,IAR_phi_W1,LinearTrend_W1,Amplitude_W2,AndersonDarling_W2,Autocor_length_W2,Beyond1Std_W2,Con_W2,Eta_e_W2,Gskew_W2,MaxSlope_W2,Mean_W2,Meanvariance_W2,MedianAbsDev_W2,MedianBRP_W2,PairSlopeTrend_W2,PercentAmplitude_W2,Q31_W2,Rcs_W2,Skew_W2,SmallKurtosis_W2,Std_W2,StetsonK_W2,Pvar_W2,ExcessVar_W2,SF_ML_amplitude_W2,SF_ML_gamma_W2,IAR_phi_W2,LinearTrend_W2
QSO_173.787208+50.1925,,,,,,,,,,,0.012662155733850267,1.0,4.897059718107685e-07,1.0,0.20497900000000513,0.229157500000003,0.33006200000000163,0.7079583692524719,1.0,0.25,0.0,2.3068566557587715,0.011839000000001931,0.003179083632721079,19.9143344375,0.008870728448008677,0.0840689999999995,0.5,0.03333333333333333,0.016851574817475866,0.20497900000000513,0.23811689255074614,0.12537476711154258,0.39606014034031745,0.1766546530178901,0.8567948720579178,0.9530693129557261,1.8877816278152445e-05,0.4740906001061181,0.7897134695454902,0.9775749266354051,-4.126881847258893e-05,0.3351779999999991,0.6882021758302674,1.0,0.2857142857142857,0.0,2.207539214707787,-0.026385000000004766,0.002338326210530752,19.75628078571429,0.009699637668088271,0.07598849999999935,0.5,0.1,0.01760183891129579,0.229157500000003,0.28332939025201986,-0.10615467094561083,0.1099326365517248,0.19162876529044284,0.8833091338401213,0.11266611588319726,-0.00015609651014321006,-0.5,-0.5,0.8989330579056303,5.0120505538593024e-05
calib_s__172.469856+50.306598,,,,,,,,,,,0.002222570784912234,1.0,0.014688139402245165,1.0,0.10775625000000133,0.2782804999999975,0.13109950000000126,0.38398328196407927,1.0,0.3125,0.0,2.107315615519439,-0.03839800000000082,0.000996688762566677,18.960842937499997,0.003944162310057253,0.05549099999999996,0.3125,-0.1,0.007926688109371966,0.10775625000000133,0.2982903767639461,-0.38648459930615436,0.11722668961163674,0.07478464208100273,0.7916299159188639,0.946542908500551,4.3189545113598885e-06,0.25758603373952466,1.8974902800558189,0.6180339980948049,8.267228369810175e-07,0.35442199999999957,0.5751662103531562,1.0,0.375,0.0,2.247838217544969,0.1801540000000017,0.003428889308121352,18.80472103125,0.009519304587389952,0.0976695000000003,0.1875,0.03333333333333333,0.02368332409974663,0.2782804999999975,0.28164259498395006,0.4479740302366565,0.521673627366475,0.17900786717736644,0.8422447820798931,0.9961751139451805,4.3731387146985794e-05,0.4152833693863024,1.2293582685484064,0.8593024337921203,3.134637328343337e-06
calib_s__172.549034+50.252496,,,,,,,,,,,0.0001638875505842931,1.0,0.003967631808413373,1.0,0.061759500000000855,0.09629900000000191,0.12460500000000252,0.4940895178215667,1.0,0.3125,0.0,1.5315571540103177,0.052917999999998244,0.0007240467602123028,18.925378000000002,0.003429189509449244,0.038394999999997736,0.4375,0.03333333333333333,0.007986174440372074,0.061759500000000855,0.2765588581976055,0.5256229854752632,0.8281905476600162,0.06489870769996152,0.7660344146810413,0.6914317582788876,1.0742366400672342e-06,-0.5,-0.5,0.9980288395531943,-5.158753676538538e-06,0.22656349999999925,0.7525108808487179,1.0,0.3125,0.0,2.4683915232552747,-0.0587110000000024,0.002250092396273032,18.7219673125,0.006500778139960682,0.05384300000000053,0.375,0.03333333333333333,0.013658709924682995,0.09629900000000191,0.32651760014849485,-0.40754929998119005,0.6355779271003952,0.12170735584215844,0.7699168350420525,0.8211424705528547,3.4312944502809283e-06,0.44703703031122394,0.8518837343134017,0.6180339980948049,-4.6012459885221693e-05
calib_s__172.589695+50.596266,,,,,,,,,,,0.015014593353893192,1.0,0.021794080272188602,1.0,0.1404190000000014,0.21760499999999894,0.39583050000000064,0.9986054294510599,1.0,0.11764705882352941,0.0,,0.3636509999999902,inf,18.886415,0.009612134895958814,0.08000100000000288,0.47058823529411764,0.0,0.030620647277660968,0.1404190000000014,0.28564146587940265,1.663985990107872,5.385941009568125,0.18153876868105998,0.7313509284753126,0.9999999999999999,8.161244704928862e-05,0.026941468873145108,-0.5,0.9979772418651324,-1.2148333203193518e-05,0.4779260000000001,0.9999993911694113,1.0,0.15789473684210525,0.0,,0.6293259999999989,inf,18.648890684210524,0.013889305276561017,0.0656339999999993,0.5789473684210527,0.13333333333333333,0.04273520541220902,0.21760499999999894,0.17405431925612513,1.4866866852989964,2.409481625060599,0.25902013578221483,0.7482729421034114,0.9999999988161516,0.00015815558306779207,0.4398672475093353,0.32620840501072373,0.6180339980948049,-6.294528883066362e-05
calib_s__172.695726+50.690407,,,,,,,,,,,0.01446853653185634,1.0,0.011850376950544679,1.0,0.14161549999999679,0.17682800000000043,0.374096999999999,0.9513921842553481,1.0,0.2631578947368421,0.0,,0.13555800000000318,inf,19.301711,0.009327707231584721,0.09421199999999885,0.42105263157894735,0.06666666666666667,0.0229449164357771,0.14161549999999679,0.2599222094568543,0.48981169920699774,1.0257952907530812,0.18004070927665838,0.7326941817806281,0.9999999975354898,6.592333902240817e-05,0.16969884368097157,-0.5,0.6180339980948049,-5.805879884061986e-05,0.4555137499999997,0.992954179253306,1.0,0.17647058823529413,0.0,,0.45076349999999366,inf,18.60940714705882,0.010801718475103146,0.08519599999999983,0.5294117647058824,0.2,0.03669366696750023,0.17682800000000043,0.2532507326228615,1.6426652507712025,5.707708627009389,0.20101357699110178,0.8085900306550411,0.9988957412709105,7.907864263706051e-05,0.0,0.0,0.9999999848794109,4.733627206733699e-05
calib_s__172.836029+49.688399,,,,,,,,,,,0.003734642261886815,1.0,0.012597582876121508,1.0,0.1165524999999974,0.23883225000000152,0.16251450000000034,0.2609313436268467,1.0,0.375,0.0,1.993723745466611,0.06875800000000254,0.0013167711765330967,18.7866484375,0.00442247203120447,0.05630649999999804,0.3125,0.03333333333333333,0.010487433267241943,0.1165524999999974,0.3160489938247572,0.318266728319446,0.49784355851301854,0.0830834272749149,0.78609036982265,0.9991884852024217,1.1364277629734284e-05,0.11439231901027871,0.2533251812867572,0.6180339980948049,-1.281412243035444e-05,0.21338150000000056,0.9298410976757252,1.0,0.3125,0.0,1.9026682694637238,-0.1406159999999943,0.0019326431492842234,18.4028496875,0.007322694731110844,0.09634400000000021,0.3125,0.16666666666666666,0.015372021706184588,0.23883225000000152,0.3313469443593774,-0.32960937489381353,-0.9321959633568557,0.1347584504440811,0.8986690420665818,0.9999779044214145,3.094211847823246e-05,0.020542474557300332,-0.5,0.6180339980948049,-3.0045546089239435e-05
calib_s__172.864609+49.678119,,,,,,,,,,,0.004676010475814642,1.0,0.00533982152499486,1.0,0.1483649999999983,0.11623550000000193,0.143891,0.5992369936388328,1.0,0.375,0.0,1.6715675005876975,0.020656999999999925,0.001583976919926138,18.970375750000002,0.004857545936384541,0.08575400000000144,0.1875,-0.1,0.008134398720434149,0.1483649999999983,0.3440693900580171,-0.0826881524747469,-1.0079342925353667,0.09214947163610035,0.8790709344459171,0.9978285143070403,1.2198276417042258e-05,0.17522886460246653,0.9601380999898844,0.9988931666908791,3.7328496007332706e-05,0.23373850000000118,0.506836583942534,1.0,0.25,0.0,2.055709683584537,0.02881600000000617,0.0023479938500625967,18.461825437499996,0.006707569584369267,0.06947500000000062,0.375,-0.03333333333333333,0.013450910166248295,0.11623550000000193,0.27989055411076835,0.28939367505201147,0.37566628081002573,0.12383397877650981,0.784682186694532,0.9759691834047898,2.0217016018908733e-05,0.40548932338814486,1.2627455568936479,0.9591637625122906,3.9206637461512176e-05
calib_s__172.995256+49.453461,,,,,,,,,,,0.007528334688748313,1.0,0.0008900533083622958,1.0,0.1401067499999975,0.1598322500000009,0.17648050000000026,0.9171343421130835,2.0,0.375,0.0,0.8206327693995321,-0.16265700000000294,0.0008993338980440385,19.155816875,0.005705866463926551,0.0738519999999987,0.1875,0.1,0.013439146146707073,0.1401067499999975,0.364216687671322,-0.7814689014080053,0.4147449635486318,0.1093005330961808,0.8177054490280448,0.999563187552605,1.761069074910732e-05,0.15757725937737466,1.9551822899361762,0.9993575306124405,-4.28808174641397e-05,0.1618390000000005,0.6033454334498549,1.0,0.3125,0.0,1.4195086875217406,0.02877900000000011,0.0017079240340537238,18.686834250000004,0.005030590839430105,0.08238949999999967,0.1875,-0.1,0.009432676900393771,0.1598322500000009,0.3400323147912321,-0.01712551002164725,-0.6649466547609766,0.09400581719599876,0.8483761590967461,0.47817333714199084,-9.55397624923201e-06,-0.5,-0.5,0.6180339980948049,1.2477292332896601e-05
calib_s__173.002264+49.40766,,,,,,,,,,,0.0648342126558701,1.0,0.020225860642796377,1.0,0.340482999999999,0.31627399999999994,0.48240149999999815,0.3332660621269086,1.0,0.4,0.0,,0.13494099999999776,inf,19.300375000000003,0.01419502321996083,0.21448900000000037,0.4,0.06666666666666667,0.03129749335991344,0.340482999999999,0.27161454878723207,-0.10305290589409451,-0.20773901648992998,0.27396927127895154,0.8431473689419009,1.0,0.00017947848782196458,0.29146666776681585,-0.20303627514851844,0.9758668356409039,-0.00011528390320468471,0.24978100000000047,0.9063597389842953,1.0,0.4375,0.0,1.2138645480092427,-0.08915199999999857,0.0027306301124743935,18.6454453125,0.009451496535391008,0.18245900000000148,0.1875,-0.1,0.015757708258978802,0.31627399999999994,0.35877500531433637,-0.04887132414315073,-1.2942359284689289,0.17622736177191628,0.9174964538875775,0.9999721648828792,5.6481408141532164e-05,0.5107359847504989,0.7109339901617855,0.999029951934568,-8.171750597221246e-05
calib_s__173.14394+49.737057,,,,,,,,,,,0.012884374234435293,1.0,0.0011344738640539634,1.0,0.13433299999999804,0.12949587499999637,0.392278000000001,0.9999638453274088,1.0,0.11764705882352941,0.0,,0.5269580000000005,inf,18.914790470588237,0.009566521483847389,0.07917499999999933,0.47058823529411764,0.0,0.034743454842732974,0.13433299999999804,0.26785811925415115,2.2321887887373997,8.895350425776941,0.18094874939935424,0.7503173799485251,0.9999999999994774,8.046922598388074e-05,0.0,0.0,0.9794469759593539,8.426863057917451e-06,0.17683699999999902,0.27900304136754484,1.0,0.375,0.0,1.535603274997861,0.011149000000003184,0.0010809806350655475,18.58573828125,0.004998205667417714,0.06595574999999698,0.3125,-0.1,0.009813464208574003,0.12949587499999637,0.23116008569743743,0.13467543379145308,0.06401140529441207,0.09289534241048611,0.8158261866310395,0.5211417646448255,-7.1198341883730705e-06,-0.5,-0.5,0.993004735422604,3.794012335355113e-05
