oid,time,magnitude,error,band
QSO_338.3242154+29.6173076,55361.15674249998,19.016,,W1
QSO_338.3242154+29.6173076,55361.28894550004,19.183999999999997,,W1
QSO_338.3242154+29.6173076,55361.42114850001,19.089,0.302,W1
QSO_338.3242154+29.6173076,55361.48732299997,18.631999999999998,0.216,W1
QSO_338.3242154+29.6173076,55361.553351499984,19.317999999999998,,W1
QSO_338.3242154+29.6173076,55361.61952600003,19.087000000000003,,W1
QSO_338.3242154+29.6173076,55361.68559099999,19.152,0.303,W1
QSO_338.3242154+29.6173076,55361.751765500034,18.847,0.267,W1
QSO_338.3242154+29.6173076,55361.81779399996,18.935000000000002,,W1
QSO_338.3242154+29.6173076,55361.883968500006,19.281,0.352,W1
QSO_338.3242154+29.6173076,55362.01606199997,18.96,,W1
QSO_338.3242154+29.6173076,55362.01617149998,19.393,0.436,W1
QSO_338.3242154+29.6173076,55362.14826500003,18.814,0.244,W1
QSO_338.3242154+29.6173076,55362.14841099998,18.533,0.181,W1
QSO_338.3242154+29.6173076,55362.280468000004,19.101999999999997,,W1
QSO_338.3242154+29.6173076,55538.60145600002,18.985999999999997,,W1
QSO_338.3242154+29.6173076,55538.73365899999,19.566000000000003,0.522,W1
QSO_338.3242154+29.6173076,55538.86575249996,19.195999999999998,,W1
QSO_338.3242154+29.6173076,55538.99795550002,18.908,0.263,W1
QSO_338.3242154+29.6173076,55539.06398400003,18.921999999999997,,W1
QSO_338.3242154+29.6173076,55539.13015849999,19.026000000000003,0.277,W1
QSO_338.3242154+29.6173076,55539.19622350003,18.771,0.225,W1
QSO_338.3242154+29.6173076,55539.262251999964,18.686,0.206,W1
QSO_338.3242154+29.6173076,55539.328426500004,19.125999999999998,0.29,W1
QSO_338.3242154+29.6173076,55539.46051999997,18.546,0.179,W1
QSO_338.3242154+29.6173076,55539.460629499976,18.762,0.221,W1
QSO_338.3242154+29.6173076,55539.59272300003,19.250999999999998,,W1
QSO_338.3242154+29.6173076,55539.724926,19.607,0.508,W1
QSO_338.3242154+29.6173076,55543.88848099999,19.025,,W1
QSO_338.3242154+29.6173076,56823.77650300004,18.955,0.279,W1
QSO_338.3242154+29.6173076,56823.973639499985,18.810000000000002,0.245,W1
QSO_338.3242154+29.6173076,56824.30243149997,18.778,0.24,W1
QSO_338.3242154+29.6173076,57003.30967349997,19.055,0.417,W1
QSO_338.3242154+29.6173076,57187.790935225465,18.823999999999998,0.249,W1
QSO_338.3242154+29.6173076,57188.05318773376,19.433,0.437,W1
QSO_338.3242154+29.6173076,57188.446657746244,18.906999999999996,0.243,W1
QSO_338.3242154+29.6173076,57188.51217524834,18.131999999999998,0.236,W1
QSO_338.3242154+29.6173076,57362.198295181865,19.075000000000003,0.308,W1
QSO_338.3242154+29.6173076,57552.611835805525,18.591,0.206,W1
QSO_338.3242154+29.6173076,57552.80874381175,18.634999999999998,0.199,W1
QSO_338.3242154+29.6173076,57553.00572501804,19.136000000000003,0.309,W1
QSO_338.3242154+29.6173076,57722.085542564855,19.201,0.323,W1
QSO_338.3242154+29.6173076,57722.21671696896,19.223999999999997,0.326,W1
QSO_338.3242154+29.6173076,57722.4137347752,19.296999999999997,0.333,W1
QSO_338.3242154+29.6173076,57723.069972795995,18.683,0.218,W1
QSO_338.3242154+29.6173076,57916.74846299997,18.643,0.202,W1
QSO_338.3242154+29.6173076,57917.075649000006,18.979999999999997,0.338,W1
QSO_338.3242154+29.6173076,57917.20642850001,18.366999999999997,0.159,W1
QSO_338.3242154+29.6173076,57917.33739049999,19.146,0.42,W1
QSO_338.3242154+29.6173076,57917.59902249998,18.958,0.39,W1
QSO_338.3242154+29.6173076,58082.967455499966,18.869999999999997,0.3,W1
QSO_338.3242154+29.6173076,58083.687053,18.83,0.3,W1
QSO_338.3242154+29.6173076,58086.303701499965,19.009,0.278,W1
QSO_338.3242154+29.6173076,58283.450348500024,19.293,0.413,W1
QSO_338.3242154+29.6173076,58283.973502999994,18.299,0.21,W1
QSO_338.3242154+29.6173076,58284.16972699996,18.972,0.36,W1
QSO_338.3242154+29.6173076,58284.56202900003,18.883000000000003,0.252,W1
QSO_338.3242154+29.6173076,58446.059965499975,18.891,0.347,W1
QSO_338.3242154+29.6173076,58647.90580500002,18.584,0.249,W1
QSO_338.3242154+29.6173076,58648.363405500015,18.564,0.255,W1
QSO_338.3242154+29.6173076,58809.93890449999,18.979,0.258,W1
QSO_338.3242154+29.6173076,59011.96724619998,18.608,0.307,W1
QSO_338.3242154+29.6173076,59013.34391859999,18.874000000000002,0.305,W1
QSO_338.3242154+29.6173076,59175.111087399986,19.084000000000003,0.329,W1
