oid,time,magnitude,error,band
QSO_204.1583648+35.599325,55366.29382550002,18.488999999999997,0.209,W1
QSO_204.1583648+35.599325,55366.29382550002,18.729,0.259,W1
QSO_204.1583648+35.599325,55369.532872,19.214,0.337,W1
QSO_204.1583648+35.599325,55369.532872,19.205,0.334,W1
QSO_204.1583648+35.599325,55369.665074999975,19.610999999999997,,W1
QSO_204.1583648+35.599325,55369.665074999975,19.473,0.397,W1
QSO_204.1583648+35.599325,55369.797278000035,18.798000000000002,,W1
QSO_204.1583648+35.599325,55369.797278000035,19.061999999999998,0.38,W1
QSO_204.1583648+35.599325,55369.863452499994,19.176000000000002,0.433,W1
QSO_204.1583648+35.599325,55369.863452499994,19.1,,W1
QSO_204.1583648+35.599325,55369.92951750003,19.406999999999996,0.403,W1
QSO_204.1583648+35.599325,55369.92951750003,19.625,0.492,W1
QSO_204.1583648+35.599325,55369.995655499966,18.354,0.157,W1
QSO_204.1583648+35.599325,55369.995655499966,18.688000000000002,0.213,W1
QSO_204.1583648+35.599325,55370.06172050001,19.83,,W1
QSO_204.1583648+35.599325,55370.06172050001,19.448,,W1
QSO_204.1583648+35.599325,55370.12789499997,19.084000000000003,0.28,W1
QSO_204.1583648+35.599325,55370.12789499997,19.118000000000002,,W1
QSO_204.1583648+35.599325,55370.19392349998,19.616,0.471,W1
QSO_204.1583648+35.599325,55370.19392349998,19.58,0.456,W1
QSO_204.1583648+35.599325,55370.26009800003,19.079,0.288,W1
QSO_204.1583648+35.599325,55370.26009800003,18.753999999999998,0.214,W1
QSO_204.1583648+35.599325,55370.32612650003,18.549,0.184,W1
QSO_204.1583648+35.599325,55370.32612650003,18.982,0.274,W1
QSO_204.1583648+35.599325,55370.392191499996,19.112000000000002,,W1
QSO_204.1583648+35.599325,55370.392191499996,19.707,0.495,W1
QSO_204.1583648+35.599325,55370.392301,19.828000000000003,0.514,W1
QSO_204.1583648+35.599325,55370.392301,19.168999999999997,0.281,W1
QSO_204.1583648+35.599325,55370.52439449997,19.134999999999998,0.289,W1
QSO_204.1583648+35.599325,55370.52439449997,19.238,0.317,W1
QSO_204.1583648+35.599325,55370.65659750003,19.165,0.366,W1
QSO_204.1583648+35.599325,55370.65659750003,19.066000000000003,0.335,W1
QSO_204.1583648+35.599325,55370.78883700003,19.759999999999998,0.526,W1
QSO_204.1583648+35.599325,55370.78883700003,19.773000000000003,0.52,W1
QSO_204.1583648+35.599325,55555.73692849997,19.345,0.381,W1
QSO_204.1583648+35.599325,55555.73692849997,19.354999999999997,0.382,W1
QSO_204.1583648+35.599325,55556.001225,18.835,0.264,W1
QSO_204.1583648+35.599325,55556.001225,18.828000000000003,0.261,W1
QSO_204.1583648+35.599325,55556.06739949996,19.0,0.331,W1
QSO_204.1583648+35.599325,55556.06739949996,19.008000000000003,0.333,W1
QSO_204.1583648+35.599325,55556.1334645,18.749000000000002,0.278,W1
QSO_204.1583648+35.599325,55556.1334645,19.028999999999996,0.36,W1
QSO_204.1583648+35.599325,55556.265667499974,18.731,0.214,W1
QSO_204.1583648+35.599325,55556.265667499974,19.028999999999996,0.282,W1
QSO_204.1583648+35.599325,55556.33169599999,18.656,0.212,W1
QSO_204.1583648+35.599325,55556.33169599999,18.848999999999997,0.254,W1
QSO_204.1583648+35.599325,55556.39776100003,19.395000000000003,0.437,W1
QSO_204.1583648+35.599325,55556.39776100003,19.338,0.414,W1
QSO_204.1583648+35.599325,55556.39787050003,19.427,0.413,W1
QSO_204.1583648+35.599325,55556.39787050003,19.461,0.426,W1
QSO_204.1583648+35.599325,55556.46393549999,19.055,,W1
QSO_204.1583648+35.599325,55556.46393549999,19.338,,W1
QSO_204.1583648+35.599325,55556.596029000044,18.997999999999998,0.26,W1
QSO_204.1583648+35.599325,55556.596029000044,18.987000000000002,0.257,W1
QSO_204.1583648+35.599325,55556.59613849996,19.219,0.331,W1
QSO_204.1583648+35.599325,55556.59613849996,19.192999999999998,0.324,W1
QSO_204.1583648+35.599325,55556.728232000016,19.442999999999998,0.516,W1
QSO_204.1583648+35.599325,55556.728232000016,19.339,0.47,W1
QSO_204.1583648+35.599325,55558.24823800003,19.720999999999997,0.519,W1
QSO_204.1583648+35.599325,55558.24823800003,19.726999999999997,0.521,W1
QSO_204.1583648+35.599325,55558.51253449997,19.247,,W1
QSO_204.1583648+35.599325,55558.51253449997,19.311999999999998,,W1
QSO_204.1583648+35.599325,55558.578709000016,19.792,0.526,W1
QSO_204.1583648+35.599325,55558.578709000016,18.936,0.239,W1
QSO_204.1583648+35.599325,55558.64473750003,19.552,0.462,W1
QSO_204.1583648+35.599325,55558.64473750003,19.537999999999997,0.457,W1
QSO_204.1583648+35.599325,55558.71080249998,19.406999999999996,0.373,W1
QSO_204.1583648+35.599325,55558.71080249998,19.389000000000003,0.367,W1
QSO_204.1583648+35.599325,55558.77697700003,18.703000000000003,0.243,W1
QSO_204.1583648+35.599325,55558.77697700003,18.698,0.242,W1
QSO_204.1583648+35.599325,55559.10730199998,19.133000000000003,0.311,W1
QSO_204.1583648+35.599325,55559.10730199998,19.118000000000002,0.307,W1
QSO_204.1583648+35.599325,55559.239541499985,19.656999999999996,0.498,W1
QSO_204.1583648+35.599325,55559.239541499985,19.394,0.391,W1
QSO_204.1583648+35.599325,55559.37174449996,19.564999999999998,0.434,W1
QSO_204.1583648+35.599325,55559.37174449996,19.583,0.441,W1
QSO_204.1583648+35.599325,56656.456122999974,18.887,0.245,W1
QSO_204.1583648+35.599325,56656.98281800001,18.672,0.25,W1
QSO_204.1583648+35.599325,56657.312011499984,18.633,0.28,W1
QSO_204.1583648+35.599325,56832.43642000003,18.915999999999997,0.261,W1
QSO_204.1583648+35.599325,57020.46872499996,18.887999999999998,0.262,W1
QSO_204.1583648+35.599325,57190.98505032677,18.997999999999998,0.266,W1
QSO_204.1583648+35.599325,57191.44403784136,18.878,0.261,W1
QSO_204.1583648+35.599325,57382.07115881204,18.953000000000003,0.251,W1
QSO_204.1583648+35.599325,57382.071268311964,18.643,0.2,W1
QSO_204.1583648+35.599325,57382.20223031618,18.874000000000002,0.251,W1
QSO_204.1583648+35.599325,57382.333265320296,18.911,0.257,W1
QSO_204.1583648+35.599325,57382.46433682444,18.939,0.322,W1
QSO_204.1583648+35.599325,57382.92295933897,18.781999999999996,0.322,W1
QSO_204.1583648+35.599325,57388.75644882391,19.003,0.279,W1
QSO_204.1583648+35.599325,57749.8674322434,18.789,0.216,W1
QSO_204.1583648+35.599325,57750.19562445374,19.192,0.34,W1
QSO_204.1583648+35.599325,57750.26121165583,19.534,0.427,W1
QSO_204.1583648+35.599325,57750.72068807036,19.259,0.376,W1
QSO_204.1583648+35.599325,57750.85186247454,18.962000000000003,0.329,W1
QSO_204.1583648+35.599325,57750.8520088745,18.744999999999997,0.215,W1
QSO_204.1583648+35.599325,57750.98318327868,18.634,0.242,W1
QSO_204.1583648+35.599325,57913.52405299997,18.694,0.23,W1
QSO_204.1583648+35.599325,57913.58946099999,19.517000000000003,0.504,W1
QSO_204.1583648+35.599325,57913.785830999994,19.005000000000003,0.268,W1
QSO_204.1583648+35.599325,57913.982054999964,18.999000000000002,0.265,W1
QSO_204.1583648+35.599325,57914.1129805,19.043,0.264,W1
QSO_204.1583648+35.599325,58114.58152899996,19.853,0.543,W1
QSO_204.1583648+35.599325,58114.77775300001,18.945,0.328,W1
QSO_204.1583648+35.599325,58114.90856899996,19.331000000000003,0.472,W1
QSO_204.1583648+35.599325,58273.29564700003,19.034,0.253,W1
QSO_204.1583648+35.599325,58273.75335700003,18.756,0.236,W1
QSO_204.1583648+35.599325,58274.08025100001,18.6,0.187,W1
QSO_204.1583648+35.599325,58274.08039700004,19.063000000000002,0.263,W1
QSO_204.1583648+35.599325,58477.792518,18.917,0.247,W1
QSO_204.1583648+35.599325,58478.25022800001,19.107999999999997,0.4,W1
QSO_204.1583648+35.599325,58478.31563600003,18.472,0.172,W1
QSO_204.1583648+35.599325,58478.51186,18.725,0.215,W1
QSO_204.1583648+35.599325,58478.64253,19.014000000000003,0.304,W1
QSO_204.1583648+35.599325,58478.64267600003,18.558,0.297,W1
QSO_204.1583648+35.599325,58481.45478200002,18.644,0.216,W1
QSO_204.1583648+35.599325,58844.994599499994,19.075000000000003,0.308,W1
QSO_204.1583648+35.599325,59004.80638299998,19.113,0.287,W1
QSO_204.1583648+35.599325,59005.133953000026,19.374000000000002,0.4,W1
QSO_204.1583648+35.599325,59209.39705239999,19.088,0.285,W1
QSO_204.1583648+35.599325,59210.24877099999,18.548000000000002,0.357,W1
QSO_204.1583648+35.599325,59210.64192819997,19.418,0.493,W1
QSO_204.1583648+35.599325,59369.314334999995,18.924999999999997,0.235,W1
QSO_204.1583648+35.599325,59369.44540649999,19.139000000000003,0.337,W1
QSO_204.1583648+35.599325,59573.739848499965,19.418999999999997,0.418,W1
QSO_204.1583648+35.599325,59574.32749849997,18.994999999999997,0.258,W1
QSO_204.1583648+35.599325,59574.458058999975,18.978,0.295,W1
QSO_204.1583648+35.599325,59577.00484650004,18.953000000000003,0.276,W1
QSO_204.1583648+35.599325,59733.65868549999,19.201999999999998,0.317,W1
QSO_204.1583648+35.599325,60304.77436800001,19.064999999999998,0.298,W1
QSO_204.1583648+35.599325,60464.90013039999,19.088,0.308,W1
QSO_204.1583648+35.599325,55366.29382550002,18.852999999999998,,W2
QSO_204.1583648+35.599325,55366.29382550002,18.913,,W2
QSO_204.1583648+35.599325,55369.532872,18.393,,W2
QSO_204.1583648+35.599325,55369.532872,18.413,,W2
QSO_204.1583648+35.599325,55369.665074999975,18.614,,W2
QSO_204.1583648+35.599325,55369.665074999975,18.615,,W2
QSO_204.1583648+35.599325,55369.797278000035,18.366,,W2
QSO_204.1583648+35.599325,55369.797278000035,18.36,,W2
QSO_204.1583648+35.599325,55369.863452499994,18.993,0.477,W2
QSO_204.1583648+35.599325,55369.863452499994,18.987,0.48,W2
QSO_204.1583648+35.599325,55369.92951750003,18.733,,W2
QSO_204.1583648+35.599325,55369.92951750003,18.572,,W2
QSO_204.1583648+35.599325,55369.995655499966,18.958,,W2
QSO_204.1583648+35.599325,55369.995655499966,18.907,,W2
QSO_204.1583648+35.599325,55370.06172050001,18.974,0.537,W2
QSO_204.1583648+35.599325,55370.06172050001,18.233,,W2
QSO_204.1583648+35.599325,55370.12789499997,18.426,,W2
QSO_204.1583648+35.599325,55370.12789499997,18.419999999999998,,W2
QSO_204.1583648+35.599325,55370.19392349998,18.227,,W2
QSO_204.1583648+35.599325,55370.19392349998,18.916999999999998,0.525,W2
QSO_204.1583648+35.599325,55370.26009800003,18.994,,W2
QSO_204.1583648+35.599325,55370.26009800003,19.016,,W2
QSO_204.1583648+35.599325,55370.32612650003,18.97,,W2
QSO_204.1583648+35.599325,55370.32612650003,18.980999999999998,,W2
QSO_204.1583648+35.599325,55370.392191499996,18.663,0.405,W2
QSO_204.1583648+35.599325,55370.392191499996,18.755,0.443,W2
QSO_204.1583648+35.599325,55370.392301,18.655,,W2
QSO_204.1583648+35.599325,55370.392301,18.628,,W2
QSO_204.1583648+35.599325,55370.52439449997,19.137,,W2
QSO_204.1583648+35.599325,55370.52439449997,18.995,,W2
QSO_204.1583648+35.599325,55370.65659750003,18.916999999999998,,W2
QSO_204.1583648+35.599325,55370.65659750003,18.931,,W2
QSO_204.1583648+35.599325,55370.78883700003,18.383,,W2
QSO_204.1583648+35.599325,55370.78883700003,18.219,,W2
QSO_204.1583648+35.599325,55555.73692849997,18.747,,W2
QSO_204.1583648+35.599325,55555.73692849997,18.698999999999998,,W2
QSO_204.1583648+35.599325,55556.001225,18.777,,W2
QSO_204.1583648+35.599325,55556.001225,18.718,,W2
QSO_204.1583648+35.599325,55556.06739949996,18.654,,W2
QSO_204.1583648+35.599325,55556.06739949996,18.660999999999998,,W2
QSO_204.1583648+35.599325,55556.1334645,19.002,,W2
QSO_204.1583648+35.599325,55556.1334645,19.0,,W2
QSO_204.1583648+35.599325,55556.265667499974,18.929,0.52,W2
