oid,time,magnitude,error,band
QSO_119.4407237+0.0142606,55301.56421449996,17.529,0.093,W1
QSO_119.4407237+0.0142606,55301.69641750002,17.955,0.121,W1
QSO_119.4407237+0.0142606,55301.82865700002,17.506,0.084,W1
QSO_119.4407237+0.0142606,55301.89483149998,17.668,0.093,W1
QSO_119.4407237+0.0142606,55301.96085999999,17.875999999999998,0.149,W1
QSO_119.4407237+0.0142606,55302.02703450003,17.683,0.1,W1
QSO_119.4407237+0.0142606,55302.093062999964,17.563000000000002,0.086,W1
QSO_119.4407237+0.0142606,55302.093209,17.646,0.104,W1
QSO_119.4407237+0.0142606,55302.15923750001,17.665,0.097,W1
QSO_119.4407237+0.0142606,55302.29144049998,17.634,0.092,W1
QSO_119.4407237+0.0142606,55302.423679999985,17.808,0.108,W1
QSO_119.4407237+0.0142606,55302.55588300004,17.575,0.087,W1
QSO_119.4407237+0.0142606,55492.700406499964,17.713,0.104,W1
QSO_119.4407237+0.0142606,55492.83246349999,17.634,0.088,W1
QSO_119.4407237+0.0142606,55492.96470299999,17.594,0.087,W1
QSO_119.4407237+0.0142606,55493.09690599996,17.692999999999998,0.092,W1
QSO_119.4407237+0.0142606,55493.162934499975,17.596,0.088,W1
QSO_119.4407237+0.0142606,55493.22899950002,17.683,0.093,W1
QSO_119.4407237+0.0142606,55493.22910900002,17.799,0.104,W1
QSO_119.4407237+0.0142606,55493.29517399998,17.602,0.091,W1
QSO_119.4407237+0.0142606,55493.36120249999,17.749000000000002,0.102,W1
QSO_119.4407237+0.0142606,55493.427377000036,17.675,0.105,W1
QSO_119.4407237+0.0142606,55493.559470500004,17.851,0.13,W1
QSO_119.4407237+0.0142606,55493.691673499976,17.85,0.111,W1
QSO_119.4407237+0.0142606,56957.42015800002,17.631999999999998,0.097,W1
QSO_119.4407237+0.0142606,56957.551630999995,17.38,0.078,W1
QSO_119.4407237+0.0142606,56957.683067500024,17.613,0.104,W1
QSO_119.4407237+0.0142606,56957.81439449997,17.744,0.1,W1
QSO_119.4407237+0.0142606,56957.88016750003,17.616999999999997,0.088,W1
QSO_119.4407237+0.0142606,56957.945831,17.664,0.112,W1
QSO_119.4407237+0.0142606,56958.011494499966,17.711,0.106,W1
QSO_119.4407237+0.0142606,56958.07730399997,17.601,0.092,W1
QSO_119.4407237+0.0142606,56958.142967500025,17.459,0.085,W1
QSO_119.4407237+0.0142606,56958.274403999974,17.517,0.083,W1
QSO_119.4407237+0.0142606,56958.4058405,17.686999999999998,0.108,W1
QSO_119.4407237+0.0142606,57124.866429730195,17.755,0.107,W1
QSO_119.4407237+0.0142606,57124.99761073435,17.538,0.092,W1
QSO_119.4407237+0.0142606,57125.12882823845,17.778,0.109,W1
QSO_119.4407237+0.0142606,57125.26000924268,17.663,0.1,W1
QSO_119.4407237+0.0142606,57125.32567274474,17.756999999999998,0.141,W1
QSO_119.4407237+0.0142606,57125.39122674678,17.771,0.108,W1
QSO_119.4407237+0.0142606,57125.45685374889,17.511,0.087,W1
QSO_119.4407237+0.0142606,57125.522407750934,17.653,0.095,W1
QSO_119.4407237+0.0142606,57125.58807125307,17.75,0.113,W1
QSO_119.4407237+0.0142606,57125.71925225722,17.524,0.088,W1
QSO_119.4407237+0.0142606,57125.850469761404,17.734,0.107,W1
QSO_119.4407237+0.0142606,57319.17161931744,17.891,0.131,W1
QSO_119.4407237+0.0142606,57319.171765317486,17.667,0.102,W1
QSO_119.4407237+0.0142606,57319.302836821626,17.759,0.104,W1
QSO_119.4407237+0.0142606,57319.43390832577,17.628999999999998,0.09,W1
QSO_119.4407237+0.0142606,57319.49942582787,17.798000000000002,0.11,W1
QSO_119.4407237+0.0142606,57319.56497982992,17.788,0.114,W1
QSO_119.4407237+0.0142606,57319.630497332015,17.682000000000002,0.099,W1
QSO_119.4407237+0.0142606,57319.69605133406,18.247,0.233,W1
QSO_119.4407237+0.0142606,57319.76156883616,17.38,0.097,W1
QSO_119.4407237+0.0142606,57319.8926403403,17.774,0.108,W1
QSO_119.4407237+0.0142606,57320.02371184445,17.797,0.145,W1
QSO_119.4407237+0.0142606,57320.15478334868,17.631,0.097,W1
QSO_119.4407237+0.0142606,57483.90305623277,17.586,0.101,W1
QSO_119.4407237+0.0142606,57484.03437703691,17.604,0.088,W1
QSO_119.4407237+0.0142606,57484.165807641046,17.765,0.107,W1
QSO_119.4407237+0.0142606,57484.23139484314,17.665,0.091,W1
QSO_119.4407237+0.0142606,57484.29709184524,17.500999999999998,0.083,W1
QSO_119.4407237+0.0142606,57484.36267904733,17.641,0.122,W1
QSO_119.4407237+0.0142606,57484.362825447286,17.59,0.104,W1
QSO_119.4407237+0.0142606,57484.42841264938,17.939999999999998,0.118,W1
QSO_119.4407237+0.0142606,57484.494109651474,17.832,0.112,W1
QSO_119.4407237+0.0142606,57484.62539385558,17.692999999999998,0.095,W1
QSO_119.4407237+0.0142606,57484.75671465972,17.468,0.09,W1
QSO_119.4407237+0.0142606,57484.88814526395,17.718,0.095,W1
QSO_119.4407237+0.0142606,57686.73671244703,17.616,0.095,W1
QSO_119.4407237+0.0142606,57686.86799665114,17.598,0.093,W1
QSO_119.4407237+0.0142606,57686.99917105532,17.442,0.16,W1
QSO_119.4407237+0.0142606,57687.13049185946,17.653,0.142,W1
QSO_119.4407237+0.0142606,57687.19618886156,17.48,0.085,W1
QSO_119.4407237+0.0142606,57687.26177606357,17.811,0.109,W1
QSO_119.4407237+0.0142606,57687.32736326566,17.722,0.103,W1
QSO_119.4407237+0.0142606,57687.327509665694,17.579,0.087,W1
QSO_119.4407237+0.0142606,57687.458684069796,17.997999999999998,0.162,W1
QSO_119.4407237+0.0142606,57687.58996827399,17.706,0.117,W1
QSO_119.4407237+0.0142606,57687.72125247809,17.838,0.125,W1
QSO_119.4407237+0.0142606,57844.81127000003,17.741,0.102,W1
QSO_119.4407237+0.0142606,57844.94208599998,17.865000000000002,0.116,W1
QSO_119.4407237+0.0142606,57845.20382749997,17.667,0.105,W1
QSO_119.4407237+0.0142606,57845.26923549999,17.738999999999997,0.106,W1
QSO_119.4407237+0.0142606,57845.33478950004,17.555999999999997,0.103,W1
QSO_119.4407237+0.0142606,57845.40019749997,17.708,0.096,W1
QSO_119.4407237+0.0142606,57845.465605499994,17.674,0.094,W1
QSO_119.4407237+0.0142606,57845.53101350001,17.725,0.125,W1
QSO_119.4407237+0.0142606,57845.66193899996,17.917,0.115,W1
QSO_119.4407237+0.0142606,58050.876801500024,17.634,0.097,W1
QSO_119.4407237+0.0142606,58051.007763500005,17.691000000000003,0.112,W1
QSO_119.4407237+0.0142606,58051.13857949996,17.677,0.101,W1
QSO_119.4407237+0.0142606,58051.203987499975,17.908,0.12,W1
QSO_119.4407237+0.0142606,58051.26939549999,17.776,0.136,W1
QSO_119.4407237+0.0142606,58051.334766999986,17.558999999999997,0.1,W1
QSO_119.4407237+0.0142606,58051.400175,17.484,0.106,W1
QSO_119.4407237+0.0142606,58051.596545,17.497999999999998,0.081,W1
QSO_119.4407237+0.0142606,58051.72736100004,17.616,0.17,W1
QSO_119.4407237+0.0142606,58051.85817699999,17.552,0.086,W1
QSO_119.4407237+0.0142606,58208.01952149998,17.641,0.109,W1
QSO_119.4407237+0.0142606,58208.15033750001,17.819,0.114,W1
QSO_119.4407237+0.0142606,58208.281153499964,17.616,0.093,W1
QSO_119.4407237+0.0142606,58208.4119695,17.529,0.106,W1
QSO_119.4407237+0.0142606,58208.477377500014,17.625,0.107,W1
QSO_119.4407237+0.0142606,58208.54278550003,17.502000000000002,0.081,W1
QSO_119.4407237+0.0142606,58208.60819349997,17.711,0.094,W1
QSO_119.4407237+0.0142606,58208.673601499984,17.749000000000002,0.121,W1
QSO_119.4407237+0.0142606,58208.738863499966,17.845,0.145,W1
QSO_119.4407237+0.0142606,58208.73897299997,17.663,0.098,W1
QSO_119.4407237+0.0142606,58208.86967950001,17.847,0.128,W1
QSO_119.4407237+0.0142606,58209.00049550004,17.602,0.088,W1
QSO_119.4407237+0.0142606,58209.131311499994,17.619,0.095,W1
QSO_119.4407237+0.0142606,58414.76731100001,17.898,0.119,W1
QSO_119.4407237+0.0142606,58414.89812699996,17.636,0.095,W1
QSO_119.4407237+0.0142606,58415.02883349999,17.516,0.135,W1
QSO_119.4407237+0.0142606,58415.15964950003,17.508,0.09,W1
QSO_119.4407237+0.0142606,58415.29046549998,17.709,0.137,W1
QSO_119.4407237+0.0142606,58415.3558735,17.616999999999997,0.093,W1
QSO_119.4407237+0.0142606,58415.421281500014,17.560000000000002,0.089,W1
QSO_119.4407237+0.0142606,58415.486653,17.753,0.101,W1
QSO_119.4407237+0.0142606,58415.61735950003,17.564999999999998,0.102,W1
QSO_119.4407237+0.0142606,58415.74817549998,18.047,0.264,W1
QSO_119.4407237+0.0142606,58415.878991500016,17.849,0.114,W1
QSO_119.4407237+0.0142606,58571.98047599999,17.661,0.09,W1
QSO_119.4407237+0.0142606,58572.11118250002,17.674,0.094,W1
QSO_119.4407237+0.0142606,58572.11129200002,17.502000000000002,0.089,W1
QSO_119.4407237+0.0142606,58572.24199849997,17.6,0.091,W1
QSO_119.4407237+0.0142606,58572.372814500006,17.73,0.111,W1
QSO_119.4407237+0.0142606,58572.50348450001,17.552999999999997,0.102,W1
QSO_119.4407237+0.0142606,58572.56889250003,17.653,0.092,W1
QSO_119.4407237+0.0142606,58572.63419100004,17.601,0.117,W1
QSO_119.4407237+0.0142606,58572.63430049996,17.829,0.127,W1
QSO_119.4407237+0.0142606,58572.69959899997,17.683999999999997,0.096,W1
QSO_119.4407237+0.0142606,58572.82990400002,17.61,0.088,W1
QSO_119.4407237+0.0142606,58572.96108500001,17.647,0.091,W1
QSO_119.4407237+0.0142606,58781.66301150003,17.841,0.127,W1
QSO_119.4407237+0.0142606,58781.79419250002,17.675,0.157,W1
QSO_119.4407237+0.0142606,58781.794338499974,17.905,0.122,W1
QSO_119.4407237+0.0142606,58782.05531350002,17.746000000000002,0.104,W1
QSO_119.4407237+0.0142606,58782.121123000026,17.765,0.103,W1
QSO_119.4407237+0.0142606,58782.18653100004,17.53,0.086,W1
QSO_119.4407237+0.0142606,58782.25190250003,17.785,0.143,W1
QSO_119.4407237+0.0142606,58782.38260899998,17.669,0.118,W1
QSO_119.4407237+0.0142606,58782.51327899998,17.508,0.111,W1
QSO_119.4407237+0.0142606,58782.51342500001,17.673000000000002,0.092,W1
QSO_119.4407237+0.0142606,58936.18625080001,17.75,0.112,W1
QSO_119.4407237+0.0142606,58936.31731539996,17.552999999999997,0.12,W1
QSO_119.4407237+0.0142606,58936.44834339996,17.86,0.11,W1
QSO_119.4407237+0.0142606,58936.57937139997,17.576999999999998,0.091,W1
QSO_119.4407237+0.0142606,58936.64495859999,17.622,0.088,W1
QSO_119.4407237+0.0142606,58936.7105458,17.856,0.108,W1
QSO_119.4407237+0.0142606,58936.776023200015,17.606,0.088,W1
QSO_119.4407237+0.0142606,58936.90705120002,17.719,0.096,W1
QSO_119.4407237+0.0142606,58937.03822559997,17.467,0.098,W1
QSO_119.4407237+0.0142606,58937.16877780001,17.674,0.096,W1
QSO_119.4407237+0.0142606,58937.3003182,18.144,0.135,W1
QSO_119.4407237+0.0142606,59146.374926800025,17.747,0.104,W1
QSO_119.4407237+0.0142606,59146.63650699999,18.070999999999998,0.203,W1
QSO_119.4407237+0.0142606,59146.63661679999,17.601,0.097,W1
QSO_119.4407237+0.0142606,59146.702606599996,17.724,0.106,W1
QSO_119.4407237+0.0142606,59146.76804739998,17.717,0.107,W1
QSO_119.4407237+0.0142606,59146.83363459999,17.9,0.115,W1
QSO_119.4407237+0.0142606,59146.89911200001,17.793,0.117,W1
QSO_119.4407237+0.0142606,59146.96469920003,17.542,0.089,W1
QSO_119.4407237+0.0142606,59147.09572720003,17.744999999999997,0.123,W1
QSO_119.4407237+0.0142606,59147.22627939998,17.448999999999998,0.131,W1
QSO_119.4407237+0.0142606,59147.35730739999,17.67,0.117,W1
QSO_119.4407237+0.0142606,59147.35745380002,17.61,0.105,W1
QSO_119.4407237+0.0142606,59303.78898750001,17.665,0.093,W1
QSO_119.4407237+0.0142606,59304.05036399996,17.625,0.094,W1
QSO_119.4407237+0.0142606,59304.11562600003,17.769,0.095,W1
QSO_119.4407237+0.0142606,59304.18092450004,17.685000000000002,0.113,W1
QSO_119.4407237+0.0142606,59304.24633249998,17.637999999999998,0.088,W1
QSO_119.4407237+0.0142606,59304.31159449996,17.784,0.105,W1
QSO_119.4407237+0.0142606,59304.37689299997,17.538,0.09,W1
QSO_119.4407237+0.0142606,59304.44230099999,17.566000000000003,0.094,W1
QSO_119.4407237+0.0142606,59304.50756299998,17.615000000000002,0.089,W1
QSO_119.4407237+0.0142606,59304.63826950001,17.838,0.106,W1
QSO_119.4407237+0.0142606,59304.76883000001,17.653,0.103,W1
QSO_119.4407237+0.0142606,59304.768939500005,17.535,0.088,W1
QSO_119.4407237+0.0142606,59510.54312800002,17.657,0.102,W1
QSO_119.4407237+0.0142606,59510.67383449997,17.468,0.086,W1
QSO_119.4407237+0.0142606,59510.80439499996,17.500999999999998,0.097,W1
QSO_119.4407237+0.0142606,59510.86965700003,17.652,0.102,W1
QSO_119.4407237+0.0142606,59510.934955499964,17.716,0.153,W1
QSO_119.4407237+0.0142606,59511.00036349998,17.796,0.177,W1
QSO_119.4407237+0.0142606,59511.130923999975,17.747999999999998,0.108,W1
QSO_119.4407237+0.0142606,59511.196185999965,17.655,0.095,W1
QSO_119.4407237+0.0142606,59511.26148449998,17.665,0.131,W1
QSO_119.4407237+0.0142606,59511.392154499976,17.942999999999998,0.127,W1
QSO_119.4407237+0.0142606,59516.02918750003,17.523,0.105,W1
QSO_119.4407237+0.0142606,59667.76910450004,17.459,0.106,W1
QSO_119.4407237+0.0142606,59667.89966500003,17.819,0.111,W1
QSO_119.4407237+0.0142606,59668.03011600003,17.578,0.108,W1
QSO_119.4407237+0.0142606,59668.09486700002,17.886,0.11,W1
QSO_119.4407237+0.0142606,59668.160676500025,17.701999999999998,0.114,W1
QSO_119.4407237+0.0142606,59668.225938500014,17.686,0.091,W1
QSO_119.4407237+0.0142606,59668.29109099999,17.822,0.113,W1
QSO_119.4407237+0.0142606,59668.356389500004,17.694,0.091,W1
QSO_119.4407237+0.0142606,59668.486950000006,17.774,0.105,W1
QSO_119.4407237+0.0142606,59668.61736449997,17.558,0.087,W1
QSO_119.4407237+0.0142606,59668.74792499997,17.43,0.077,W1
QSO_119.4407237+0.0142606,59877.39747400002,17.695,0.099,W1
QSO_119.4407237+0.0142606,59877.52763300003,17.683,0.1,W1
QSO_119.4407237+0.0142606,59877.72309049997,17.85,0.115,W1
QSO_119.4407237+0.0142606,59877.78824300003,17.666,0.131,W1
QSO_119.4407237+0.0142606,59877.85339550002,17.430999999999997,0.082,W1
QSO_119.4407237+0.0142606,59877.98370049998,17.54,0.103,W1
QSO_119.4407237+0.0142606,59878.04874350004,17.776,0.172,W1
QSO_119.4407237+0.0142606,59878.11389600002,17.695999999999998,0.111,W1
QSO_119.4407237+0.0142606,59878.37450600002,17.732,0.118,W1
QSO_119.4407237+0.0142606,60031.623880499974,17.942,0.188,W1
QSO_119.4407237+0.0142606,60031.883724000036,17.826,0.15,W1
QSO_119.4407237+0.0142606,60032.01362750001,17.519,0.112,W1
QSO_119.4407237+0.0142606,60032.07852450004,17.709,0.144,W1
QSO_119.4407237+0.0142606,60032.14356750002,17.46,0.138,W1
QSO_119.4407237+0.0142606,60032.27336149999,17.583,0.126,W1
QSO_119.4407237+0.0142606,60032.33836800002,17.591,0.101,W1
QSO_119.4407237+0.0142606,60032.46830800002,17.797,0.106,W1
QSO_119.4407237+0.0142606,60032.59821149999,17.672,0.116,W1
QSO_119.4407237+0.0142606,60034.611077000016,17.658,0.1,W1
QSO_119.4407237+0.0142606,60034.741017000015,17.792,0.15,W1
QSO_119.4407237+0.0142606,60034.87092049999,17.714,0.112,W1
QSO_119.4407237+0.0142606,60035.0008605,17.975,0.128,W1
QSO_119.4407237+0.0142606,60035.06575750002,17.4,0.126,W1
QSO_119.4407237+0.0142606,60035.195661,17.636,0.127,W1
QSO_119.4407237+0.0142606,60241.31207350002,17.564999999999998,0.097,W1
QSO_119.4407237+0.0142606,60241.4413565,17.622999999999998,0.094,W1
QSO_119.4407237+0.0142606,60241.57063949999,17.65,0.107,W1
QSO_119.4407237+0.0142606,60241.69992249997,18.012,0.132,W1
QSO_119.4407237+0.0142606,60241.76456400004,17.503999999999998,0.085,W1
QSO_119.4407237+0.0142606,60241.82920550003,18.527,0.228,W1
QSO_119.4407237+0.0142606,60241.89384700002,17.654,0.104,W1
QSO_119.4407237+0.0142606,60242.152449500005,17.384,0.135,W1
QSO_119.4407237+0.0142606,60398.734979800036,17.823,0.108,W1
QSO_119.4407237+0.0142606,60398.86384839999,17.667,0.095,W1
QSO_119.4407237+0.0142606,60399.25034440001,17.616999999999997,0.098,W1
QSO_119.4407237+0.0142606,60399.314284599976,17.631999999999998,0.098,W1
QSO_119.4407237+0.0142606,60399.379103199964,17.579,0.093,W1
QSO_119.4407237+0.0142606,60399.44300679998,17.563000000000002,0.104,W1
QSO_119.4407237+0.0142606,60399.57191200004,17.716,0.106,W1
QSO_119.4407237+0.0142606,60399.70063419996,17.738999999999997,0.151,W1
QSO_119.4407237+0.0142606,60399.7007806,17.77,0.158,W1
QSO_119.4407237+0.0142606,60399.8295028,17.756,0.113,W1
QSO_119.4407237+0.0142606,55301.56421449996,17.96,0.229,W2
QSO_119.4407237+0.0142606,55301.69641750002,18.348,,W2
QSO_119.4407237+0.0142606,55301.82865700002,18.673,0.457,W2
QSO_119.4407237+0.0142606,55301.89483149998,18.616,0.385,W2
QSO_119.4407237+0.0142606,55301.96085999999,18.587,0.362,W2
QSO_119.4407237+0.0142606,55302.02703450003,17.483,0.151,W2
QSO_119.4407237+0.0142606,55302.093062999964,18.421,0.309,W2
QSO_119.4407237+0.0142606,55302.093209,18.410999999999998,0.338,W2
QSO_119.4407237+0.0142606,55302.15923750001,17.875,0.197,W2
QSO_119.4407237+0.0142606,55302.29144049998,18.925,0.535,W2
QSO_119.4407237+0.0142606,55302.423679999985,18.468,0.354,W2
QSO_119.4407237+0.0142606,55302.55588300004,18.186,,W2
QSO_119.4407237+0.0142606,55492.700406499964,18.791999999999998,0.419,W2
QSO_119.4407237+0.0142606,55492.83246349999,17.874,0.193,W2
QSO_119.4407237+0.0142606,55492.96470299999,18.485,0.334,W2
QSO_119.4407237+0.0142606,55493.09690599996,18.589,0.362,W2
QSO_119.4407237+0.0142606,55493.162934499975,18.788,0.441,W2
QSO_119.4407237+0.0142606,55493.22899950002,18.372,0.297,W2
QSO_119.4407237+0.0142606,55493.22910900002,18.153,0.272,W2
QSO_119.4407237+0.0142606,55493.29517399998,18.586,,W2
QSO_119.4407237+0.0142606,55493.36120249999,18.096999999999998,0.233,W2
QSO_119.4407237+0.0142606,55493.427377000036,18.118,0.244,W2
QSO_119.4407237+0.0142606,55493.559470500004,17.945999999999998,0.204,W2
QSO_119.4407237+0.0142606,55493.691673499976,18.691,0.396,W2
QSO_119.4407237+0.0142606,56957.42015800002,18.274,0.313,W2
QSO_119.4407237+0.0142606,56957.551630999995,18.066,,W2
