oid,time,magnitude,error,band
QSO_119.6159544+9e-05,55301.69641750002,17.545,0.103,W1
QSO_119.6159544+9e-05,55301.82865700002,17.27,0.072,W1
QSO_119.6159544+9e-05,55301.96085999999,17.453,0.084,W1
QSO_119.6159544+9e-05,55301.960969499996,17.397,0.076,W1
QSO_119.6159544+9e-05,55302.02703450003,17.493000000000002,0.083,W1
QSO_119.6159544+9e-05,55302.093209,17.605,0.102,W1
QSO_119.6159544+9e-05,55302.15923750001,17.407,0.077,W1
QSO_119.6159544+9e-05,55302.22541199997,17.240000000000002,0.067,W1
QSO_119.6159544+9e-05,55302.29144049998,17.622999999999998,0.1,W1
QSO_119.6159544+9e-05,55302.35761500003,17.256,0.071,W1
QSO_119.6159544+9e-05,55302.423679999985,17.301000000000002,0.074,W1
QSO_119.6159544+9e-05,55302.55588300004,17.271,0.07,W1
QSO_119.6159544+9e-05,55302.68808600002,17.445999999999998,0.081,W1
QSO_119.6159544+9e-05,55492.96470299999,17.304000000000002,0.072,W1
QSO_119.6159544+9e-05,55493.09690599996,17.441000000000003,0.079,W1
QSO_119.6159544+9e-05,55493.22899950002,17.613999999999997,0.094,W1
QSO_119.6159544+9e-05,55493.22910900002,17.25,0.077,W1
QSO_119.6159544+9e-05,55493.29517399998,17.454,0.081,W1
QSO_119.6159544+9e-05,55493.36120249999,17.573999999999998,0.091,W1
QSO_119.6159544+9e-05,55493.427377000036,17.458,0.084,W1
QSO_119.6159544+9e-05,55493.49340549996,17.496000000000002,0.088,W1
QSO_119.6159544+9e-05,55493.559470500004,17.506999999999998,0.083,W1
QSO_119.6159544+9e-05,55493.691673499976,17.359,0.075,W1
QSO_119.6159544+9e-05,55493.95597,17.419,0.077,W1
QSO_119.6159544+9e-05,56957.551630999995,17.503999999999998,0.088,W1
QSO_119.6159544+9e-05,56957.683067500024,17.332,0.077,W1
QSO_119.6159544+9e-05,56957.81439449997,17.365000000000002,0.075,W1
QSO_119.6159544+9e-05,56957.945831,17.445,0.082,W1
QSO_119.6159544+9e-05,56958.011494499966,17.397,0.081,W1
QSO_119.6159544+9e-05,56958.07730399997,17.592,0.093,W1
QSO_119.6159544+9e-05,56958.142967500025,17.271,0.071,W1
QSO_119.6159544+9e-05,56958.208631,17.4,0.083,W1
QSO_119.6159544+9e-05,56958.208740500006,17.394,0.081,W1
QSO_119.6159544+9e-05,56958.274403999974,17.461,0.082,W1
QSO_119.6159544+9e-05,56958.4058405,17.445999999999998,0.082,W1
QSO_119.6159544+9e-05,56958.53716750003,17.52,0.094,W1
QSO_119.6159544+9e-05,56958.6686405,17.305,0.071,W1
QSO_119.6159544+9e-05,57124.99761073435,17.509999999999998,0.085,W1
QSO_119.6159544+9e-05,57125.12882823845,17.305,0.085,W1
QSO_119.6159544+9e-05,57125.26000924268,17.4,0.086,W1
QSO_119.6159544+9e-05,57125.39122674678,16.608,0.092,W1
QSO_119.6159544+9e-05,57125.45685374889,17.487000000000002,0.085,W1
QSO_119.6159544+9e-05,57125.522407750934,17.608,0.108,W1
QSO_119.6159544+9e-05,57125.58807125307,17.291,0.079,W1
