oid,time,magnitude,error,band
QSO_153.9301449-0.0286216,55338.98346699999,19.139000000000003,0.367,W1
QSO_153.9301449-0.0286216,55339.0494955,18.18,0.152,W1
QSO_153.9301449-0.0286216,55339.11566999996,18.509999999999998,0.214,W1
QSO_153.9301449-0.0286216,55339.181735000006,19.043,0.312,W1
QSO_153.9301449-0.0286216,55339.24787300002,18.558,0.207,W1
QSO_153.9301449-0.0286216,55339.31393799998,18.831000000000003,0.285,W1
QSO_153.9301449-0.0286216,55339.44614100004,18.932000000000002,0.291,W1
QSO_153.9301449-0.0286216,55339.57834400001,18.274,0.151,W1
QSO_153.9301449-0.0286216,55339.71058350001,18.058,0.143,W1
QSO_153.9301449-0.0286216,55526.403557500016,18.362000000000002,0.2,W1
QSO_153.9301449-0.0286216,55526.66796349996,18.564999999999998,0.212,W1
QSO_153.9301449-0.0286216,55526.800057000015,19.159999999999997,0.365,W1
QSO_153.9301449-0.0286216,55526.93225999999,18.412,,W1
QSO_153.9301449-0.0286216,55526.99832500003,18.644,0.236,W1
QSO_153.9301449-0.0286216,56800.997656000014,18.310000000000002,0.232,W1
QSO_153.9301449-0.0286216,56801.26067500002,18.314,0.158,W1
QSO_153.9301449-0.0286216,56801.32648450002,18.241999999999997,0.251,W1
QSO_153.9301449-0.0286216,56801.58950350003,18.144,0.145,W1
QSO_153.9301449-0.0286216,56801.72093999998,18.737000000000002,0.248,W1
QSO_153.9301449-0.0286216,56801.85252250004,18.595,0.22,W1
QSO_153.9301449-0.0286216,56991.055382499966,18.737000000000002,0.246,W1
QSO_153.9301449-0.0286216,56991.38384600002,18.5,0.207,W1
QSO_153.9301449-0.0286216,56991.44950949999,18.564999999999998,0.239,W1
QSO_153.9301449-0.0286216,56991.58083650001,18.32,0.24,W1
QSO_153.9301449-0.0286216,56991.64660949999,18.416,0.19,W1
QSO_153.9301449-0.0286216,56991.77793650002,18.186999999999998,0.15,W1
QSO_153.9301449-0.0286216,57159.500441328375,18.525,0.188,W1
