oid,time,magnitude,error,band
QSO_42.630138-2.7435094,55219.44611299998,19.264000000000003,0.429,W1
QSO_42.630138-2.7435094,55219.44625900002,18.647,0.286,W1
QSO_42.630138-2.7435094,55219.51228750003,18.725,0.225,W1
QSO_42.630138-2.7435094,55221.42985149997,19.365000000000002,0.52,W1
QSO_42.630138-2.7435094,55221.562200499975,18.82,0.265,W1
QSO_42.630138-2.7435094,55221.76043199996,18.304000000000002,0.165,W1
QSO_42.630138-2.7435094,55221.892780999966,19.146,0.327,W1
QSO_42.630138-2.7435094,55221.95880949998,18.652,0.211,W1
QSO_42.630138-2.7435094,55222.024984000025,18.839999999999996,0.276,W1
QSO_42.630138-2.7435094,55222.15722350003,18.802999999999997,0.25,W1
QSO_42.630138-2.7435094,55408.09917349997,19.11,0.328,W1
QSO_42.630138-2.7435094,55408.23137650002,19.387,0.41,W1
QSO_42.630138-2.7435094,55408.49578249997,18.6,,W1
QSO_42.630138-2.7435094,55408.56184750001,19.020000000000003,,W1
QSO_42.630138-2.7435094,55408.628021999975,19.28,0.374,W1
QSO_42.630138-2.7435094,55409.090696000014,19.424,0.467,W1
QSO_42.630138-2.7435094,55411.338183500004,18.944000000000003,0.263,W1
QSO_42.630138-2.7435094,55411.470386499976,18.93,0.26,W1
QSO_42.630138-2.7435094,55411.60262599998,18.948,,W1
QSO_42.630138-2.7435094,55585.24849250004,18.831000000000003,0.299,W1
QSO_42.630138-2.7435094,55585.38058600001,18.893,0.463,W1
QSO_42.630138-2.7435094,55585.512788999986,19.651000000000003,,W1
QSO_42.630138-2.7435094,55585.64488250003,19.067999999999998,0.308,W1
QSO_42.630138-2.7435094,55585.64499200004,19.302999999999997,0.364,W1
QSO_42.630138-2.7435094,55585.711057,19.411,0.412,W1
QSO_42.630138-2.7435094,55585.84311400002,19.128,,W1
QSO_42.630138-2.7435094,55586.23964999997,19.381,0.391,W1
QSO_42.630138-2.7435094,56683.618875500004,19.189,0.372,W1
QSO_42.630138-2.7435094,56683.684648499984,18.656,0.216,W1
QSO_42.630138-2.7435094,56683.75045799999,19.36,0.442,W1
QSO_42.630138-2.7435094,56683.94792300003,18.314999999999998,0.183,W1
QSO_42.630138-2.7435094,56684.21148949997,18.753,0.234,W1
QSO_42.630138-2.7435094,56873.35660649998,18.758000000000003,0.239,W1
QSO_42.630138-2.7435094,56873.619515999984,18.415,0.269,W1
QSO_42.630138-2.7435094,56873.75109849997,18.894,0.327,W1
QSO_42.630138-2.7435094,57044.40593667879,19.070999999999998,0.285,W1
QSO_42.630138-2.7435094,57044.53711768294,19.174999999999997,0.322,W1
QSO_42.630138-2.7435094,57044.86543519338,19.119999999999997,0.372,W1
QSO_42.630138-2.7435094,57044.93109869543,18.701,0.217,W1
QSO_42.630138-2.7435094,57045.12808920167,18.96,0.256,W1
QSO_42.630138-2.7435094,57045.25941620587,19.543999999999997,0.469,W1
QSO_42.630138-2.7435094,57234.80847314229,18.523,0.187,W1
