oid,time,magnitude,error,band
QSO_2.3935241+0.0534154,55369.88903900004,18.783,0.25,W1
QSO_2.3935241+0.0534154,55369.88903900004,18.455,,W1
QSO_2.3935241+0.0534154,55370.02124200002,18.091,,W1
QSO_2.3935241+0.0534154,55370.02124200002,18.811,0.257,W1
QSO_2.3935241+0.0534154,55370.15348150001,19.076,0.355,W1
QSO_2.3935241+0.0534154,55370.15348150001,18.458,,W1
QSO_2.3935241+0.0534154,55370.28568449999,18.278,,W1
QSO_2.3935241+0.0534154,55370.28568449999,18.46,0.184,W1
QSO_2.3935241+0.0534154,55370.351713000004,19.017000000000003,0.352,W1
QSO_2.3935241+0.0534154,55370.351713000004,18.374000000000002,,W1
QSO_2.3935241+0.0534154,55370.41777800004,18.831000000000003,0.33,W1
QSO_2.3935241+0.0534154,55370.41777800004,18.231,0.151,W1
QSO_2.3935241+0.0534154,55370.41788749996,18.726,0.221,W1
QSO_2.3935241+0.0534154,55370.41788749996,17.958,,W1
QSO_2.3935241+0.0534154,55370.483915999976,17.906,,W1
QSO_2.3935241+0.0534154,55370.483915999976,19.435000000000002,0.537,W1
QSO_2.3935241+0.0534154,55370.54998100002,19.025,0.503,W1
QSO_2.3935241+0.0534154,55370.54998100002,18.909999999999997,0.3,W1
QSO_2.3935241+0.0534154,55370.550090500015,18.204,0.151,W1
QSO_2.3935241+0.0534154,55370.550090500015,18.096,,W1
QSO_2.3935241+0.0534154,55370.61615549998,19.189,,W1
QSO_2.3935241+0.0534154,55370.61615549998,18.680999999999997,0.223,W1
QSO_2.3935241+0.0534154,55370.74835850003,18.66,0.221,W1
QSO_2.3935241+0.0534154,55370.74835850003,18.674,,W1
QSO_2.3935241+0.0534154,55370.88056150001,18.863,0.328,W1
QSO_2.3935241+0.0534154,55370.88056150001,18.528,0.21,W1
QSO_2.3935241+0.0534154,55371.012801000004,18.912,,W1
QSO_2.3935241+0.0534154,55371.012801000004,18.805,,W1
QSO_2.3935241+0.0534154,55549.565253,18.808,,W1
QSO_2.3935241+0.0534154,55549.565253,18.875999999999998,0.269,W1
QSO_2.3935241+0.0534154,55549.6974925,18.666,0.227,W1
QSO_2.3935241+0.0534154,55549.6974925,18.606,,W1
QSO_2.3935241+0.0534154,55549.82958599997,18.808,0.322,W1
QSO_2.3935241+0.0534154,55549.82958599997,18.310000000000002,0.165,W1
QSO_2.3935241+0.0534154,55549.829695499975,18.344,0.166,W1
QSO_2.3935241+0.0534154,55549.829695499975,18.652,,W1
QSO_2.3935241+0.0534154,55549.89572399999,18.787,0.391,W1
QSO_2.3935241+0.0534154,55549.89572399999,18.365000000000002,0.187,W1
QSO_2.3935241+0.0534154,55549.96178900003,19.438000000000002,0.447,W1
QSO_2.3935241+0.0534154,55549.96178900003,19.317999999999998,,W1
QSO_2.3935241+0.0534154,55550.02796349999,18.939999999999998,,W1
QSO_2.3935241+0.0534154,55550.02796349999,18.34,0.184,W1
QSO_2.3935241+0.0534154,55550.093992,18.877000000000002,0.276,W1
QSO_2.3935241+0.0534154,55550.093992,18.740000000000002,,W1
QSO_2.3935241+0.0534154,55550.160057000045,18.762999999999998,,W1
QSO_2.3935241+0.0534154,55550.160057000045,18.490000000000002,0.24,W1
QSO_2.3935241+0.0534154,55550.29226000002,18.886000000000003,0.337,W1
QSO_2.3935241+0.0534154,55550.29226000002,18.962000000000003,,W1
QSO_2.3935241+0.0534154,55550.42446299999,19.089,,W1
QSO_2.3935241+0.0534154,55550.42446299999,18.659,0.24,W1
QSO_2.3935241+0.0534154,56647.27801549997,18.880000000000003,0.286,W1
QSO_2.3935241+0.0534154,56647.34393449998,18.999000000000002,0.312,W1
QSO_2.3935241+0.0534154,56647.40974399998,18.654,0.268,W1
QSO_2.3935241+0.0534154,56647.47566299999,18.737000000000002,0.304,W1
QSO_2.3935241+0.0534154,56647.60735499997,18.647,0.285,W1
QSO_2.3935241+0.0534154,56647.67312800003,18.533,0.216,W1
QSO_2.3935241+0.0534154,56647.738937500035,18.478,0.202,W1
QSO_2.3935241+0.0534154,56647.870629500016,17.983,0.135,W1
QSO_2.3935241+0.0534154,56647.93654850002,18.473,0.205,W1
QSO_2.3935241+0.0534154,56834.76292999996,18.991,0.315,W1
QSO_2.3935241+0.0534154,56834.89440300002,18.892000000000003,0.269,W1
QSO_2.3935241+0.0534154,56835.157422000026,18.454,0.182,W1
QSO_2.3935241+0.0534154,56835.223195000006,18.503,0.199,W1
QSO_2.3935241+0.0534154,56835.35466799998,18.573,0.228,W1
QSO_2.3935241+0.0534154,56835.42044100004,18.482,0.447,W1
QSO_2.3935241+0.0534154,56835.48610450001,19.122,0.393,W1
QSO_2.3935241+0.0534154,56835.74912350001,18.404,0.211,W1
QSO_2.3935241+0.0534154,56835.88059649999,18.807000000000002,0.277,W1
QSO_2.3935241+0.0534154,57011.44687400001,18.737000000000002,0.242,W1
QSO_2.3935241+0.0534154,57011.709637499975,18.609,0.21,W1
QSO_2.3935241+0.0534154,57011.906627999975,18.628999999999998,0.22,W1
QSO_2.3935241+0.0534154,57011.97229150003,18.701999999999998,0.239,W1
QSO_2.3935241+0.0534154,57012.037955,19.180999999999997,0.418,W1
QSO_2.3935241+0.0534154,57012.10361849997,18.672,0.228,W1
QSO_2.3935241+0.0534154,57012.30071849997,19.036,0.35,W1
QSO_2.3935241+0.0534154,57012.4320455,18.777,0.251,W1
QSO_2.3935241+0.0534154,57196.45238550016,18.247999999999998,0.158,W1
QSO_2.3935241+0.0534154,57196.71463800846,19.109,0.496,W1
QSO_2.3935241+0.0534154,57196.780155510554,18.009999999999998,0.13,W1
QSO_2.3935241+0.0534154,57196.97689051675,18.622999999999998,0.206,W1
QSO_2.3935241+0.0534154,57197.042444518884,18.545,0.213,W1
QSO_2.3935241+0.0534154,57197.173625523035,18.481,0.19,W1
QSO_2.3935241+0.0534154,57197.30469702718,18.666,0.295,W1
QSO_2.3935241+0.0534154,57370.448134943465,18.570999999999998,0.223,W1
QSO_2.3935241+0.0534154,57370.44828094342,18.486,0.198,W1
