oid,time,magnitude,error,band
QSO_157.8705156-12.8433401,55347.046316999964,18.927999999999997,,W1
QSO_157.8705156-12.8433401,55347.17852000002,18.57,0.193,W1
QSO_157.8705156-12.8433401,55347.310722999995,18.473,0.183,W1
QSO_157.8705156-12.8433401,55347.37689750004,18.438000000000002,0.172,W1
QSO_157.8705156-12.8433401,55347.4429625,19.374000000000002,0.398,W1
QSO_157.8705156-12.8433401,55347.509100500014,18.332,0.152,W1
QSO_157.8705156-12.8433401,55347.57516549997,18.435000000000002,0.183,W1
QSO_157.8705156-12.8433401,55347.64134000002,18.412,0.244,W1
QSO_157.8705156-12.8433401,55347.90574599996,19.488999999999997,0.453,W1
QSO_157.8705156-12.8433401,55348.03798549996,18.976,0.283,W1
QSO_157.8705156-12.8433401,55536.71520900002,18.802,0.271,W1
QSO_157.8705156-12.8433401,55536.847412,19.253,0.359,W1
QSO_157.8705156-12.8433401,55536.97950549997,18.851999999999997,0.249,W1
QSO_157.8705156-12.8433401,55537.2439115,19.084000000000003,0.307,W1
QSO_157.8705156-12.8433401,55537.30997650004,18.826999999999998,,W1
QSO_157.8705156-12.8433401,55537.37600499997,19.106,0.328,W1
QSO_157.8705156-12.8433401,55537.44217950001,19.104999999999997,0.312,W1
QSO_157.8705156-12.8433401,55537.574272999984,18.45,0.202,W1
QSO_157.8705156-12.8433401,55537.706476000036,19.094,0.363,W1
QSO_157.8705156-12.8433401,55537.83867900001,19.403,0.402,W1
QSO_157.8705156-12.8433401,56809.01787400003,19.122999999999998,0.308,W1
QSO_157.8705156-12.8433401,56809.149310499975,18.45,0.184,W1
QSO_157.8705156-12.8433401,56809.28089300004,18.729,0.418,W1
QSO_157.8705156-12.8433401,56809.41236600001,18.213,0.251,W1
QSO_157.8705156-12.8433401,56809.478138999984,18.753,0.279,W1
QSO_157.8705156-12.8433401,56809.54394849999,18.819000000000003,0.243,W1
QSO_157.8705156-12.8433401,56809.60972149997,18.405,0.176,W1
QSO_157.8705156-12.8433401,56809.67538500002,18.213,0.154,W1
QSO_157.8705156-12.8433401,56809.87263099997,18.461,0.215,W1
QSO_157.8705156-12.8433401,56810.13575949998,18.772,0.327,W1
QSO_157.8705156-12.8433401,56998.8079095,18.673000000000002,0.21,W1
QSO_157.8705156-12.8433401,56998.939236500024,18.994,0.264,W1
