oid,time,magnitude,error,band
QSO_185.5629226+18.3354107,55359.481100499994,18.675,0.193,W1
QSO_185.5629226+18.3354107,55359.61330349997,18.714999999999996,0.227,W1
QSO_185.5629226+18.3354107,55359.745506500025,19.156999999999996,0.354,W1
QSO_185.5629226+18.3354107,55359.87774600003,18.906,0.265,W1
QSO_185.5629226+18.3354107,55359.94377450004,18.909999999999997,0.285,W1
QSO_185.5629226+18.3354107,55360.009949,19.378,0.387,W1
QSO_185.5629226+18.3354107,55360.07597750001,19.436999999999998,0.402,W1
QSO_185.5629226+18.3354107,55360.14215199998,18.767000000000003,0.314,W1
QSO_185.5629226+18.3354107,55360.208217000014,19.028,0.291,W1
QSO_185.5629226+18.3354107,55360.340419999986,19.270000000000003,0.37,W1
QSO_185.5629226+18.3354107,55360.472622999965,19.055999999999997,0.286,W1
QSO_185.5629226+18.3354107,55366.42197700001,19.338,0.378,W1
QSO_185.5629226+18.3354107,55548.47153049996,19.211,0.349,W1
QSO_185.5629226+18.3354107,55548.603769999965,18.694,0.254,W1
QSO_185.5629226+18.3354107,55548.73582699998,18.628,0.237,W1
QSO_185.5629226+18.3354107,55548.868066499985,19.274,0.406,W1
QSO_185.5629226+18.3354107,55548.93424100003,18.948,0.344,W1
QSO_185.5629226+18.3354107,55549.000269499964,19.609,0.54,W1
QSO_185.5629226+18.3354107,55549.132472500016,19.609,0.502,W1
QSO_185.5629226+18.3354107,55549.462834,19.292,0.435,W1
QSO_185.5629226+18.3354107,56647.636883499996,18.820999999999998,0.262,W1
QSO_185.5629226+18.3354107,56647.7028025,18.859,0.262,W1
QSO_185.5629226+18.3354107,56647.834494499984,18.801000000000002,0.263,W1
QSO_185.5629226+18.3354107,56648.03199599997,18.918,,W1
QSO_185.5629226+18.3354107,56824.14796350001,18.903999999999996,0.279,W1
QSO_185.5629226+18.3354107,56824.27954599999,18.921999999999997,0.256,W1
QSO_185.5629226+18.3354107,56824.54241899996,18.627000000000002,0.21,W1
QSO_185.5629226+18.3354107,56824.542564999996,19.296999999999997,0.456,W1
QSO_185.5629226+18.3354107,56824.674001500025,18.839999999999996,0.249,W1
QSO_185.5629226+18.3354107,56824.8054745,19.232,0.355,W1
QSO_185.5629226+18.3354107,56824.87124749998,18.427999999999997,0.178,W1
QSO_185.5629226+18.3354107,56825.13426649998,18.700000000000003,0.304,W1
QSO_185.5629226+18.3354107,57013.11820899998,18.899,0.248,W1
QSO_185.5629226+18.3354107,57013.24964550001,19.201,0.333,W1
QSO_185.5629226+18.3354107,57013.38097250003,18.39,0.304,W1
QSO_185.5629226+18.3354107,57013.577963000025,18.473,0.183,W1
QSO_185.5629226+18.3354107,57013.6436265,19.016,0.333,W1
QSO_185.5629226+18.3354107,57013.70928999997,19.653999999999996,0.542,W1
QSO_185.5629226+18.3354107,57013.774953500026,19.502000000000002,,W1
QSO_185.5629226+18.3354107,57013.840616999994,19.371000000000002,0.486,W1
QSO_185.5629226+18.3354107,57013.97190749999,18.773000000000003,,W1
QSO_185.5629226+18.3354107,57014.10338049997,18.9,0.249,W1
QSO_185.5629226+18.3354107,57182.719369564635,19.195,0.357,W1
