oid,time,magnitude,error,band
QSO_12.2462641-28.8910679,55366.45723600002,19.200000000000003,0.377,W1
QSO_12.2462641-28.8910679,55366.58943899999,18.719,0.205,W1
QSO_12.2462641-28.8910679,55366.72164199996,18.647,0.24,W1
QSO_12.2462641-28.8910679,55366.787707,18.677999999999997,0.216,W1
QSO_12.2462641-28.8910679,55366.85384500002,19.624000000000002,0.461,W1
QSO_12.2462641-28.8910679,55366.919909999975,19.0,0.275,W1
QSO_12.2462641-28.8910679,55366.98608450002,19.194000000000003,0.322,W1
QSO_12.2462641-28.8910679,55367.052113000034,18.654,0.194,W1
QSO_12.2462641-28.8910679,55367.44875849998,18.847,0.252,W1
QSO_12.2462641-28.8910679,55546.453737500015,19.29,0.395,W1
QSO_12.2462641-28.8910679,55546.78406249997,18.996000000000002,0.283,W1
QSO_12.2462641-28.8910679,55546.98233049999,19.168999999999997,0.344,W1
QSO_12.2462641-28.8910679,55547.11453350004,19.037,,W1
QSO_12.2462641-28.8910679,55547.24673650001,18.807000000000002,,W1
QSO_12.2462641-28.8910679,56643.585055,19.028999999999996,0.292,W1
QSO_12.2462641-28.8910679,56643.71663749998,18.978,0.355,W1
QSO_12.2462641-28.8910679,56643.716783500015,18.822000000000003,0.238,W1
QSO_12.2462641-28.8910679,56644.04597699999,18.765,0.232,W1
QSO_12.2462641-28.8910679,56644.11174999996,18.569,0.247,W1
QSO_12.2462641-28.8910679,56644.17766899997,18.883000000000003,0.258,W1
QSO_12.2462641-28.8910679,56644.24347849997,18.116999999999997,0.268,W1
QSO_12.2462641-28.8910679,56831.349559500035,19.612000000000002,0.516,W1
QSO_12.2462641-28.8910679,56831.48114200001,18.896,,W1
QSO_12.2462641-28.8910679,56831.61261499999,19.076999999999998,0.313,W1
QSO_12.2462641-28.8910679,56831.744161000024,18.651,0.25,W1
QSO_12.2462641-28.8910679,56831.80982449999,19.006,0.289,W1
QSO_12.2462641-28.8910679,56831.875633999996,18.848999999999997,0.297,W1
QSO_12.2462641-28.8910679,56831.94140699997,18.399,0.17,W1
QSO_12.2462641-28.8910679,56832.007070500025,19.454,0.464,W1
QSO_12.2462641-28.8910679,57008.15767649999,18.893,0.231,W1
QSO_12.2462641-28.8910679,57008.28900350002,18.023,0.211,W1
QSO_12.2462641-28.8910679,57008.42033050004,19.258000000000003,0.37,W1
QSO_12.2462641-28.8910679,57008.81442100004,18.856,0.251,W1
QSO_12.2462641-28.8910679,57009.01141150003,18.663,0.244,W1
QSO_12.2462641-28.8910679,57009.14288450001,19.125,,W1
QSO_12.2462641-28.8910679,57009.27421150004,18.619999999999997,0.244,W1
