oid,time,magnitude,error,band
QSO_135.7161728+3.5897607,55318.35753600004,18.491,0.193,W1
QSO_135.7161728+3.5897607,55318.48973900001,18.881,,W1
QSO_135.7161728+3.5897607,55318.62194199998,18.41,0.176,W1
QSO_135.7161728+3.5897607,55318.754181499986,19.295,0.385,W1
QSO_135.7161728+3.5897607,55318.8203195,18.576,0.198,W1
QSO_135.7161728+3.5897607,55318.88638449996,18.256,0.16,W1
QSO_135.7161728+3.5897607,55318.952559000005,18.517,0.178,W1
QSO_135.7161728+3.5897607,55319.01858750002,18.781,0.257,W1
QSO_135.7161728+3.5897607,55319.08476199998,19.408,0.406,W1
QSO_135.7161728+3.5897607,55319.216965000036,18.319,0.156,W1
QSO_135.7161728+3.5897607,55319.34920450004,18.384,0.163,W1
QSO_135.7161728+3.5897607,55319.48140750001,19.118000000000002,0.34,W1
QSO_135.7161728+3.5897607,55509.35331250003,18.42,0.174,W1
QSO_135.7161728+3.5897607,55509.485406,18.967,0.278,W1
QSO_135.7161728+3.5897607,55509.61760899997,18.884999999999998,0.308,W1
QSO_135.7161728+3.5897607,55509.74981200003,18.398,0.175,W1
QSO_135.7161728+3.5897607,55509.815876999986,18.499000000000002,0.192,W1
QSO_135.7161728+3.5897607,55509.88205150003,18.657,0.216,W1
QSO_135.7161728+3.5897607,55509.94807999996,18.543,0.196,W1
QSO_135.7161728+3.5897607,55510.08028300002,18.680999999999997,0.227,W1
QSO_135.7161728+3.5897607,55510.212376499985,18.686999999999998,0.253,W1
QSO_135.7161728+3.5897607,55510.34461599999,19.000999999999998,0.284,W1
QSO_135.7161728+3.5897607,56780.47965550003,18.558999999999997,0.218,W1
QSO_135.7161728+3.5897607,56780.61109199998,18.395,0.233,W1
QSO_135.7161728+3.5897607,56780.74267450004,18.451,0.173,W1
QSO_135.7161728+3.5897607,56780.808447500014,18.522,0.177,W1
QSO_135.7161728+3.5897607,56780.87425700002,18.948,0.268,W1
QSO_135.7161728+3.5897607,56780.93992049999,19.153999999999996,0.42,W1
QSO_135.7161728+3.5897607,56780.94002999999,19.063000000000002,0.324,W1
QSO_135.7161728+3.5897607,56781.00569349997,18.567,0.201,W1
QSO_135.7161728+3.5897607,56781.07150299997,18.545,0.19,W1
QSO_135.7161728+3.5897607,56781.203085500034,18.371000000000002,0.171,W1
QSO_135.7161728+3.5897607,56781.334521999976,18.302999999999997,0.157,W1
QSO_135.7161728+3.5897607,56781.46610450004,18.064999999999998,0.131,W1
QSO_135.7161728+3.5897607,56971.34790100002,18.525,0.198,W1
QSO_135.7161728+3.5897607,56971.479337499964,18.348,0.163,W1
QSO_135.7161728+3.5897607,56971.610664499996,19.052,,W1
QSO_135.7161728+3.5897607,56971.676474,18.65,0.244,W1
QSO_135.7161728+3.5897607,56971.74213749997,18.793999999999997,0.316,W1
QSO_135.7161728+3.5897607,56971.807801000024,18.642,0.218,W1
QSO_135.7161728+3.5897607,56971.87346449999,18.236,0.167,W1
QSO_135.7161728+3.5897607,56971.873574,18.560000000000002,0.281,W1
QSO_135.7161728+3.5897607,56972.07056449999,18.575,0.235,W1
QSO_135.7161728+3.5897607,56972.333474,18.174,0.15,W1
QSO_135.7161728+3.5897607,57142.053988275155,18.532,0.226,W1
QSO_135.7161728+3.5897607,57142.18531527934,18.875,0.291,W1
QSO_135.7161728+3.5897607,57142.447713787675,19.296,0.37,W1
QSO_135.7161728+3.5897607,57142.51323128978,18.555999999999997,0.202,W1
QSO_135.7161728+3.5897607,57142.57878529182,18.575,0.2,W1
QSO_135.7161728+3.5897607,57142.64444879387,18.531,0.191,W1
QSO_135.7161728+3.5897607,57142.70996629597,18.75,0.271,W1
QSO_135.7161728+3.5897607,57142.77562979802,19.046999999999997,0.409,W1
QSO_135.7161728+3.5897607,57142.90681080218,18.598,0.28,W1
QSO_135.7161728+3.5897607,57143.03788230641,18.831000000000003,0.271,W1
QSO_135.7161728+3.5897607,57143.038028306364,18.86,0.263,W1
QSO_135.7161728+3.5897607,57335.94840684943,19.124000000000002,0.356,W1
QSO_135.7161728+3.5897607,57336.079478353575,18.512,0.187,W1
QSO_135.7161728+3.5897607,57336.2105498578,18.848999999999997,0.265,W1
QSO_135.7161728+3.5897607,57336.40713886396,18.588,0.216,W1
QSO_135.7161728+3.5897607,57336.47269286609,18.842999999999996,0.297,W1
