oid,time,magnitude,error,band
QSO_176.9465401+0.6497805,55358.94867499998,19.18,0.359,W1
QSO_176.9465401+0.6497805,55359.08087800003,19.451,0.412,W1
QSO_176.9465401+0.6497805,55359.21311750003,18.978,0.283,W1
QSO_176.9465401+0.6497805,55359.34532050001,18.493000000000002,0.2,W1
QSO_176.9465401+0.6497805,55359.411349000016,19.006999999999998,0.349,W1
QSO_176.9465401+0.6497805,55359.47752349998,19.336,0.399,W1
QSO_176.9465401+0.6497805,55359.54358850002,18.698999999999998,0.232,W1
QSO_176.9465401+0.6497805,55359.6757915,18.951,0.311,W1
QSO_176.9465401+0.6497805,55359.80799449997,19.567,0.492,W1
QSO_176.9465401+0.6497805,55359.94019750002,18.933999999999997,0.292,W1
QSO_176.9465401+0.6497805,55547.94636849997,18.897,0.295,W1
QSO_176.9465401+0.6497805,55547.94651450001,18.484,0.188,W1
QSO_176.9465401+0.6497805,55548.078607999974,18.471,0.192,W1
QSO_176.9465401+0.6497805,55548.21081100003,18.948999999999998,0.306,W1
QSO_176.9465401+0.6497805,55548.343014000005,18.938000000000002,0.295,W1
QSO_176.9465401+0.6497805,55548.40907899996,19.35,0.423,W1
QSO_176.9465401+0.6497805,55548.47510749997,18.997999999999998,0.341,W1
QSO_176.9465401+0.6497805,55548.54128200002,18.89,0.268,W1
QSO_176.9465401+0.6497805,55548.67337549999,19.165999999999997,0.355,W1
QSO_176.9465401+0.6497805,55548.80557849996,19.525,0.49,W1
QSO_176.9465401+0.6497805,55548.93778150002,19.484,0.461,W1
QSO_176.9465401+0.6497805,56647.24545750004,19.290999999999997,0.384,W1
QSO_176.9465401+0.6497805,56647.37714950002,18.338,0.208,W1
QSO_176.9465401+0.6497805,56647.44295900002,18.583,0.206,W1
QSO_176.9465401+0.6497805,56647.50887800003,18.789,0.24,W1
QSO_176.9465401+0.6497805,56647.574651,18.561,0.221,W1
QSO_176.9465401+0.6497805,56647.64042399998,18.589,0.225,W1
QSO_176.9465401+0.6497805,56823.74993100004,18.286,0.192,W1
QSO_176.9465401+0.6497805,56823.88151350002,18.572,0.239,W1
QSO_176.9465401+0.6497805,56824.078613500016,18.707,0.317,W1
QSO_176.9465401+0.6497805,56824.07872300002,18.36,0.217,W1
QSO_176.9465401+0.6497805,56824.210196,18.048000000000002,0.148,W1
QSO_176.9465401+0.6497805,56824.27596899997,18.159,0.486,W1
QSO_176.9465401+0.6497805,56824.604651500034,18.195,0.151,W1
QSO_176.9465401+0.6497805,57012.727805,18.156,0.188,W1
QSO_176.9465401+0.6497805,57012.859095499996,18.354,0.179,W1
QSO_176.9465401+0.6497805,57012.99042250002,18.508,0.197,W1
QSO_176.9465401+0.6497805,57013.05608599999,18.967,0.437,W1
QSO_176.9465401+0.6497805,57013.121749499966,18.775,0.331,W1
QSO_176.9465401+0.6497805,57013.12189549999,19.506,0.472,W1
QSO_176.9465401+0.6497805,57013.18755899997,18.921999999999997,0.32,W1
QSO_176.9465401+0.6497805,57013.318885999994,18.82,0.373,W1
QSO_176.9465401+0.6497805,57013.45017649999,19.097,0.538,W1
QSO_176.9465401+0.6497805,57013.58150350001,18.304000000000002,0.162,W1
QSO_176.9465401+0.6497805,57182.191141547955,18.363999999999997,0.16,W1
QSO_176.9465401+0.6497805,57182.32232255211,18.088,0.132,W1
QSO_176.9465401+0.6497805,57182.65012906245,18.613,0.235,W1
QSO_176.9465401+0.6497805,57182.715646564546,18.433,0.179,W1
QSO_176.9465401+0.6497805,57182.7813100666,18.567,0.28,W1
QSO_176.9465401+0.6497805,57182.846864068735,18.804000000000002,0.265,W1
QSO_176.9465401+0.6497805,57182.91238157075,18.676000000000002,0.225,W1
QSO_176.9465401+0.6497805,57183.04359907493,18.57,0.211,W1
