oid,time,magnitude,error,band
QSO_34.0466005-0.5533429,55213.23136750004,18.874000000000002,,W1
QSO_34.0466005-0.5533429,55213.23136750004,18.878999999999998,,W1
QSO_34.0466005-0.5533429,55213.23151349999,18.099,0.134,W1
QSO_34.0466005-0.5533429,55213.23151349999,18.363,0.171,W1
QSO_34.0466005-0.5533429,55213.36371649996,18.703000000000003,0.218,W1
QSO_34.0466005-0.5533429,55213.36371649996,19.305,0.38,W1
QSO_34.0466005-0.5533429,55213.49591950002,18.735999999999997,0.221,W1
QSO_34.0466005-0.5533429,55213.49591950002,18.735999999999997,0.221,W1
QSO_34.0466005-0.5533429,55213.62815900002,19.018,0.305,W1
QSO_34.0466005-0.5533429,55213.62815900002,19.018,0.305,W1
QSO_34.0466005-0.5533429,55213.69433349998,19.107,0.314,W1
QSO_34.0466005-0.5533429,55213.69433349998,19.106,0.314,W1
QSO_34.0466005-0.5533429,55213.76050800003,18.592,0.202,W1
QSO_34.0466005-0.5533429,55213.76050800003,18.592,0.202,W1
QSO_34.0466005-0.5533429,55213.82653650004,18.777,0.27,W1
QSO_34.0466005-0.5533429,55213.82653650004,18.777,0.27,W1
QSO_34.0466005-0.5533429,55213.95873950001,18.555999999999997,0.177,W1
QSO_34.0466005-0.5533429,55213.95873950001,18.555999999999997,0.177,W1
QSO_34.0466005-0.5533429,55213.95888549996,18.567999999999998,0.191,W1
QSO_34.0466005-0.5533429,55213.95888549996,18.567,0.19,W1
QSO_34.0466005-0.5533429,55214.09108850002,18.441000000000003,0.211,W1
QSO_34.0466005-0.5533429,55214.09108850002,18.441000000000003,0.211,W1
QSO_34.0466005-0.5533429,55400.56261699996,19.656,0.538,W1
QSO_34.0466005-0.5533429,55400.56261699996,19.656999999999996,0.538,W1
QSO_34.0466005-0.5533429,55400.69482000002,18.945,0.284,W1
QSO_34.0466005-0.5533429,55400.69482000002,18.945,0.284,W1
QSO_34.0466005-0.5533429,55400.82705950002,18.778,0.237,W1
QSO_34.0466005-0.5533429,55400.82705950002,18.777,0.237,W1
QSO_34.0466005-0.5533429,55400.95926249999,18.768,0.241,W1
QSO_34.0466005-0.5533429,55400.95926249999,18.766,0.241,W1
QSO_34.0466005-0.5533429,55401.025291000005,18.541,0.212,W1
QSO_34.0466005-0.5533429,55401.025291000005,18.541,0.212,W1
QSO_34.0466005-0.5533429,55401.02543700004,19.259999999999998,0.381,W1
QSO_34.0466005-0.5533429,55401.02543700004,19.259999999999998,0.381,W1
QSO_34.0466005-0.5533429,55401.091465499965,18.878999999999998,,W1
QSO_34.0466005-0.5533429,55401.091465499965,18.878999999999998,,W1
QSO_34.0466005-0.5533429,55401.15753050001,19.198,0.344,W1
QSO_34.0466005-0.5533429,55401.15753050001,19.201,0.345,W1
QSO_34.0466005-0.5533429,55401.22370499997,18.438000000000002,0.208,W1
QSO_34.0466005-0.5533429,55401.22370499997,18.438000000000002,0.208,W1
QSO_34.0466005-0.5533429,55401.28973349998,18.994,0.349,W1
QSO_34.0466005-0.5533429,55401.28973349998,18.917,0.325,W1
QSO_34.0466005-0.5533429,55401.42193650004,18.667,0.237,W1
QSO_34.0466005-0.5533429,55401.42193650004,18.668,0.237,W1
QSO_34.0466005-0.5533429,55401.55417600004,19.528999999999996,0.477,W1
QSO_34.0466005-0.5533429,55401.55417600004,19.53,0.477,W1
QSO_34.0466005-0.5533429,55401.68637900001,18.967999999999996,0.267,W1
QSO_34.0466005-0.5533429,55401.68637900001,18.969,0.267,W1
QSO_34.0466005-0.5533429,55578.37656450003,18.793,0.249,W1
QSO_34.0466005-0.5533429,55578.37656450003,18.793,0.249,W1
QSO_34.0466005-0.5533429,55578.508658,18.976,0.329,W1
QSO_34.0466005-0.5533429,55578.508658,18.967999999999996,0.327,W1
QSO_34.0466005-0.5533429,55578.64086099997,18.66,0.244,W1
QSO_34.0466005-0.5533429,55578.64086099997,18.662,0.244,W1
