oid,time,magnitude,error,band
QSO_182.9657619+0.0747609,55364.56779525002,18.64,0.1769709120271003,W1
QSO_182.9657619+0.0747609,55553.56349949998,18.557,0.06876133879585042,W1
QSO_182.9657619+0.0747609,56654.29057800001,18.434,0.061528172433489896,W1
QSO_182.9657619+0.0747609,56829.536129999964,18.392,0.06675102601518317,W1
QSO_182.9657619+0.0747609,57018.11228500002,18.703000000000003,0.042554765811580464,W1
QSO_182.9657619+0.0747609,57188.15829472428,18.422,0.07122082736110305,W1
QSO_182.9657619+0.0747609,57379.818104731115,18.589,0.11174936206473406,W1
QSO_182.9657619+0.0747609,57547.13662706483,18.5185,0.1493839974820053,W1
QSO_182.9657619+0.0747609,57747.64337134617,18.560000000000002,0.09941507643146993,W1
QSO_182.9657619+0.0747609,57910.86696250005,18.538,0.08980047327269522,W1
QSO_182.9657619+0.0747609,58111.77613899999,18.408,0.07298888428439601,W1
QSO_182.9657619+0.0747609,58271.13021149998,18.629,0.0686872219272004,W1
QSO_182.9657619+0.0747609,58475.674861000014,18.7725,0.06943138193119146,W1
QSO_182.9657619+0.0747609,58634.93724549997,18.505,0.07326516225328397,W1
QSO_182.9657619+0.0747609,58842.45273950002,18.435,0.06975408699897975,W1
QSO_182.9657619+0.0747609,59002.30890879997,18.481,0.1529294507595611,W1
QSO_182.9657619+0.0747609,59207.275057599996,18.343,0.12703552037717644,W1
QSO_182.9657619+0.0747609,59366.596399000024,18.610500000000002,0.09648744048773938,W1
QSO_182.9657619+0.0747609,59571.46210250004,18.6445,0.11512181048784796,W1
QSO_182.9657619+0.0747609,59730.78224824997,18.523,0.03193499647721912,W1
QSO_182.9657619+0.0747609,60097.569562000026,18.539,0.09589166345130859,W1
QSO_182.9657619+0.0747609,60302.16910750004,18.422,0.06274350999804683,W1
QSO_182.9657619+0.0747609,55364.56779525002,18.4565,0.10730056867061352,W2
QSO_182.9657619+0.0747609,55553.56349949998,18.341,0.06416834311755513,W2
QSO_182.9657619+0.0747609,56654.29057800001,18.191,0.0426823924657059,W2
QSO_182.9657619+0.0747609,56829.536129999964,18.268,0.06267764236145912,W2
QSO_182.9657619+0.0747609,57018.11228500002,18.191,0.08600933053030713,W2
QSO_182.9657619+0.0747609,57188.15829472428,18.482,0.04805528635722611,W2
QSO_182.9657619+0.0747609,57379.818104731115,18.459000000000003,0.09870631945321436,W2
QSO_182.9657619+0.0747609,57547.13662706483,18.116,0.11282451138990313,W2
QSO_182.9657619+0.0747609,57747.64337134617,18.0815,0.09132110885154104,W2
QSO_182.9657619+0.0747609,57910.86696250005,18.2225,0.06488720212800057,W2
QSO_182.9657619+0.0747609,58111.77613899999,18.291,0.0797334207302328,W2
QSO_182.9657619+0.0747609,58271.13021149998,18.181,0.07166947346953936,W2
QSO_182.9657619+0.0747609,58475.674861000014,18.1465,0.1037091787162545,W2
QSO_182.9657619+0.0747609,58634.93724549997,18.532,0.06971470433129577,W2
QSO_182.9657619+0.0747609,58842.45273950002,18.052,0.13627623720953103,W2
QSO_182.9657619+0.0747609,59002.30890879997,18.031,0.16717053596623432,W2
QSO_182.9657619+0.0747609,59207.275057599996,18.3155,0.09067058120953585,W2
QSO_182.9657619+0.0747609,59366.596399000024,18.246499999999997,0.10035904294083323,W2
QSO_182.9657619+0.0747609,59571.46210250004,18.214,0.06586253143385092,W2
QSO_182.9657619+0.0747609,59730.78224824997,18.2805,0.08014896131578998,W2
QSO_182.9657619+0.0747609,60097.569562000026,18.118,0.09637069208536776,W2
QSO_182.9657619+0.0747609,60302.16910750004,18.075,0.13216093852525054,W2
