|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1   0.5379456 284.72388  1602.194  214.57707  0.11907158 0.118277475  14.993983        1.0 0.49321538 0.43191004   215.4459  15.290787 2.4911401   0.0028756857  0.0025781412  214.58606   0.0032330002  0.00021115107   -0.7309797 1.1953822 26.694818 0016p272    1 0016p272w1o0043623e000   27       1           32          0     0       1 55379.395 55385.152 55382.273  16.671041 0.075991765                 5                            circular halo                                  
          1.2   7.9968314  282.6686  1599.881  164.62985  0.15301757  0.15298681   14.70542        1.0 0.80728674 0.35180455  163.06882  15.001018 2.4908574   0.0051599145  0.0033089614  164.65607   -0.020582471    0.011680991  -0.68740296 1.1973666 26.693254 0016p272    1 0016p272w1o0052268e000   29       1           32          0     0       1 55379.395 55385.152 55382.273  16.958729  0.09724159                 5                            circular halo                                  
          1.3   13.164646 287.20966 1606.0782  161.35835  0.15829854  0.15823418  14.944749 0.99999994 0.49855694 0.40048882  163.26628  15.237414  2.488275    0.007215917  0.0034854775  161.35677   0.0051977076   0.0010279285  -0.62480456 1.1920531 26.696705 0016p272    1 0016p272w1o0043631e000   27       1           32          0     0       1 55379.395 55385.152 55382.273  16.980522 0.100848146                 5                            circular halo                                  
          1.4   14.536206 279.86948 1604.5398  59.181892  0.43437874   0.4357802  15.182047 0.99999994  0.4473485 0.17328672   58.44331  15.481784 2.4930024  0.00010162592   0.009387547  59.046448    -0.17607594     0.45570207  -0.20446606 1.1933932 26.691103 0016p272    1 0016p272w1o0043581e000   26       1           32          0     0       1 55379.395 55385.152 55382.273  18.069529    0.284889                 5                            circular halo                                  
          1.5   21.063406  277.9747 1606.0139  54.521328  0.47357398   0.4703096  15.298977        1.0  0.6848119 0.16071568  55.094776  15.599285 2.4858575    0.019829094   0.011855796   54.80193    -0.43082872    -0.42156875 -0.023251224 1.1921394 26.689651 0016p272    1 0016p272w1o0043571e000   24       1           32          0     0       1 55379.395 55385.152 55382.273  18.158585  0.31306013                 5                            circular halo                                  
          1.6   22.251755 276.46634 1601.8788   378.9149  0.06881887 0.068202585  15.390258        1.0  0.3872788 0.56820214  374.42126  15.694562  2.492335  -0.0013840795  0.0014971769  378.85168    0.021504194   -0.008188595 -0.039951257 1.1956795 26.688513 0016p272    1 0016p272w1o0004815e000   26       1           32          0     0       1 55379.395 55385.152 55382.273  16.053646  0.04412326                 5                            circular halo                                  
          1.7   26.489346  294.0623 1600.5306  146.82967  0.17026813  0.17018627  14.635111  1.0000001  1.0121107  0.3308191    149.831  14.927542 2.4923701   0.0052808523  0.0036782566  146.85252     0.02834795    -0.03975516   -1.9411834 1.1967728 26.701956 0016p272    1 0016p272w1o0043679e000   29       1           32          0     0       1 55379.395 55385.152 55382.273  17.082966  0.10858033                 5                            circular halo                                  
          1.8   28.806677 289.99936 1593.1417   260.5004  0.09589783 0.096253715  14.763862  0.9999999 0.57979846  0.4237702  255.24397  15.057451  2.486967 -5.9187412e-05  0.0021158548  260.50317   0.0038370886  -0.0058055064   -1.9523883 1.2031037 26.698874 0016p272    1 0016p272w1o0043651e000   29       1           32          0     0       1 55379.395 55385.152 55382.273   16.46048  0.06160009                 5                            circular halo                                  
