|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|        ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|       float|     float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                  char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|       deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                      |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|        null|      null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                  null|           null|            null|
          1.1   7.1794124  419.0173 1445.2273   361.7113  0.10217864  0.10326032    21.9339  1.0000001 0.58978057  0.38333815  370.28903  22.364515  2.466841   -0.004244864  0.0022504376  361.69144   -0.041072067    0.010291165     -7.04909  12.623162 46.485077 0130p469    1 0130p469w1o0008459e000   11       1           48          0     0       0  55213.25 55219.934 55216.594  16.104095 0.065919094               4,5                            second latent,circular halo                                  
          1.2    9.863981 425.00494 1445.0249  195.52254  0.18908782  0.19020568   21.78859  0.9999999  1.9461812  0.23415369   192.4095   22.21687  2.464273   0.0066121817  0.0041954285  195.59724     0.07162763    -0.28040045   -6.7028284  12.623347  46.48965 0130p469    1 0130p469w1o0053999e000   11       1           32          0     0       0  55213.25 55219.934 55216.594  16.772007 0.121496595                 5                                          circular halo                                  
          1.3   17.864676  420.2495 1437.9808   763.9411 0.049382403  0.04992596   22.38146        1.0  0.8578369  0.50392246    752.802  22.807207  2.467381   0.0024037957   0.001077362  763.95087    0.008146818   0.0026810172   -6.4357677  12.631193  46.48605 0130p469    1 0130p469w1o0008476e000   11       1           33          0     0       0  55213.25 55219.934 55216.594  15.292351 0.031818327               0,5               bright star core and wings,circular halo                                  
          1.4   18.459455 414.79126 1444.9316  167.53397  0.22221054   0.2236674  22.290352        1.0 0.71200585   0.2549692   172.7549  22.725882 2.4668307    -0.01363945  0.0052839685  166.45566    -0.33491293     0.31160128   -7.2799306  12.623519  46.48185 0130p469    1 0130p469w1o0053902e000   10       1           32          0     0       0  55213.25 55219.934 55216.594  16.939743  0.14531845                 5                                          circular halo                                  
          1.5   21.465036 418.23944 1451.4617  731.43774 0.050950136  0.05234588  22.452566        1.0   1.426379   0.6207371   748.7149  22.886358 2.4732711  -0.0027003884  0.0011215607  731.49945    0.015078529    0.013190232    -7.118386  12.616252 46.484455 0130p469    1 0130p469w1o0008438e000   11       1           48          0     0       0  55213.25 55219.934 55216.594  15.339557  0.03333877               4,5                            second latent,circular halo                                  
          1.6    23.22047 429.91443 1444.7706  175.09344  0.21107793  0.21365947  21.814054        1.0  0.8415309  0.20978399  160.21909   22.24217 2.4673133   0.0098055005   0.004716898  175.08516   -0.006772723    -0.01067991    -6.601113  12.623597   46.4934 0130p469    1 0130p469w1o0054044e000   11       1           32          0     0       0  55213.25 55219.934 55216.594  16.891825  0.13597313                 5                                          circular halo                                  
          1.7    29.08677 428.72183 1452.0696   232.9322  0.15815055   0.1596078  21.751608        1.0  0.7816495  0.34337753  224.22476  22.181185  2.468212   0.0075048804  0.0034869835  232.92271   -0.009893695   0.0036310155    -6.808211  12.615507  46.49246 0130p469    1 0130p469w1o0054034e000   11       1           32          0     0       0  55213.25 55219.934 55216.594  16.581926  0.10168414                 5                                          circular halo                                  
          1.8   30.043913  412.3027 1450.2893  351.72665  0.10647499  0.10587611   21.91574        1.0  2.3439612  0.49770796  370.84625  22.344097 2.4722118  -0.0035434961  0.0022617856  351.62808     0.13345742      0.3071192   -7.3828397  12.617592 46.479923 0130p469    1 0130p469w1o0008325e000   11       1           32          0     0       0  55213.25 55219.934 55216.594  16.134487 0.067738906                 5                                          circular halo                                  
