|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs| dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|    float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|     nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|     null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1    1.053397 1871.1218 444.23737  205.95863  0.17101756  0.16184752  19.928514        1.0 0.53424513 0.52798754  209.96632 20.333761  2.515765   0.0049955845  0.0035883223  205.95598   0.0018863787   0.0049671424   -0.41939446 138.46434  67.27894 1373p666    1 1373p666w1o0024053e000   13       1           32          0     0       0 55294.105 55298.406 55296.258   16.71555  0.10538531                 5                            circular halo                                  
          1.2   24.956886 1879.4004  446.9376   91.94153  0.37411782  0.35649258  19.841208 0.99999994  0.3663471 0.34527063  90.268456 20.251421 2.5159934   -0.005830109   0.008086198   92.00458   -0.095942706   -0.011216196    -0.5359776 138.45929  67.28529 1373p666    1 1373p666w1o0035974e000   12       1           32          0     0       0 55294.105 55298.406 55296.258   17.59122  0.23804694                 5                            circular halo                                  
          1.3   30.516167  1869.583  455.2624  505.45496  0.07057097  0.06819181  20.641766        1.0  1.2647207 0.80317074  500.28046 21.048944  2.519219   0.0066304803  0.0015217902  505.46832   -0.009243283   0.0037036233      -1.13332 138.44249 67.277916 1373p666    1 1373p666w1o0024045e000   12       1           32          0     0       0 55294.105 55298.406 55296.258  15.740794 0.044363968                 5                            circular halo                                  
          1.4   33.216267 1880.3792 451.50397  114.06443  0.30728617  0.29003945  19.999182  0.9999999  0.4860899  0.4257566  114.49378 20.401648 2.5219374   0.0017159581   0.006395562  114.08847    0.018287258   -0.015968833   -0.97604907  138.4503  67.28611 1373p666    1 1373p666w1o0035977e000   13       1           32          0     0       0 55294.105 55298.406 55296.258  17.357124  0.19235216                 5                            circular halo                                  
          1.5   40.002625 1882.7615 436.03088  181.75085  0.19008188  0.18309282  19.817888        1.0 0.81394005 0.43371662  187.48341 20.219122  2.514159   -0.004360497   0.004091234   181.5518     0.06276457     0.09586644    0.12594365 138.48099  67.28771 1373p666    1 1373p666w1o0024230e000   13       1           32          0     0       0 55294.105 55298.406 55296.258  16.851309  0.11885988                 5                            circular halo                                  
          1.6    41.11862 1879.5652  456.2955  324.68857  0.10648442  0.10024419   19.87038        1.0  1.0615239 0.72553027   326.6384 20.277218 2.5199664 -0.00094616413  0.0022576195  324.60452    0.013341727    0.022918034    -1.2249808  138.4408  67.28555 1373p666    1 1373p666w1o0024184e000   12       1            0          0     0       0 55294.105 55298.406 55296.258  16.221333  0.06652836                                                                                             
          1.7    41.66152 1863.2233  431.0689  391.43356  0.08881509  0.08500541   20.22851 0.99999994 0.47004852   0.519967  401.98615 20.656021 2.5142047 -0.00034028292  0.0019273569  391.45807   -0.008942511   -0.013874769     0.4256649 138.49008  67.27272 1373p666    1 1373p666w1o0023942e000   12       1           32          0     0       0 55294.105 55298.406 55296.258  16.018354 0.056158736                 5                            circular halo                                  
          1.8    41.77198 1885.7894 442.15274 112.138885  0.30556995  0.29617152  19.656673        1.0 0.38852334 0.37566572 115.185036 20.056602 2.5150912    0.006046593  0.0065450747 112.143135   0.0074858824  -0.0064160135   -0.96501565   138.469  67.29011 1373p666    1 1373p666w1o0036002e000   13       1           32          0     0       0 55294.105 55298.406 55296.258   17.37561  0.19230324                 5                            circular halo                                  
