|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|         dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|       float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|         deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|        null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1    0.836537 1046.6952 1793.4508  296.89017   0.13247646   0.12862305  22.818346  1.0000001  0.6515461  0.9218492   294.8351  23.276155  2.492345    0.0015874505  0.0027983729   296.8726   -0.008417756    0.009600103    16.913385 140.08467   0.01771758 1406p000    1 1406p000w1o0016152e000   11       1           32          0     0       0 55323.203 55326.312 55324.758   16.31851  0.083612315                 5      circular halo                                  
          1.2  11.4708185 1050.0708 1795.3562  226.93015    0.1738003   0.16591856  22.805922        1.0  0.6939414   0.884848  225.14555  23.267998 2.4887903    0.0064112544  0.0037931402  226.93738   0.0067345253    0.012331914    17.654663  140.0832  0.020296019 1406p000    1 1406p000w1o0016204e000   11       1           32          0     0       0 55323.203 55326.312 55324.758   16.61027   0.10948341                 5      circular halo                                  
          1.3   11.939048 1050.4958 1791.5991 114.962875   0.34206513    0.3270242  22.493174        1.0 0.47895047  0.7621777 111.951004  22.950567 2.4931984     0.010330856   0.007329596  114.93243   -0.043750647    -0.03177464    17.867544 140.08607  0.020620752 1406p000    1 1406p000w1o0041312e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  17.348606    0.2152055                 5      circular halo                                  
          1.4    16.11969 1046.0248 1787.3948   191.7897   0.20801365    0.2004396  23.382256        1.0 0.54934216 0.56811434  177.04477   23.84258  2.489215    0.0035362244  0.0045702965  191.29694     0.18183345  -0.0055986024     17.13222  140.0893  0.017205533 1406p000    1 1406p000w1o0045541e000   10       1           32          0     0       0 55323.203 55326.312 55324.758  16.792936   0.13303052                 5      circular halo                                  
          1.5   17.919756 1043.2252 1787.5916   94.86009     0.415102    0.4033947  22.528385        1.0  0.5463093 0.45359415   77.45244  22.974085 2.4909823    0.0017827153   0.008502723   94.98026    -0.23336424      0.2943849    16.218151 140.08914  0.015067074 1406p000    1 1406p000w1o0045540e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  17.557291    0.2628709                 5      circular halo                                  
          1.6   20.830837   1045.05 1785.7996  234.78261   0.16591816   0.16292632  22.604855  1.0000001  0.6044902  0.6042667  219.83058  23.055227 2.4856217    0.0019726157  0.0035486717  234.33908     0.17806137    -0.26303437    16.948872 140.09052  0.016460994 1406p000    1 1406p000w1o0016128e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.573336   0.10485941                 5      circular halo                                  
          1.7    21.44471 1048.3256 1785.6633   185.7654   0.21162592   0.20293735   22.55572        1.0  0.8231325  0.6119586   173.3783  23.010075 2.4910932     0.005977154  0.0044699176  185.67986    0.017028786    0.033267614    17.755533  140.0906  0.018963024 1406p000    1 1406p000w1o0045544e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  16.827587   0.13248427                 5      circular halo                                  
          1.8   21.852705 1040.5436 1787.9519   136.5898   0.28556433   0.27658537  22.526794  1.0000001 0.78072363  0.6909038  120.76661   22.97748 2.4872963     0.008719087  0.0062440615  136.68352     0.11236099   -0.036302216     15.86669 140.08887 0.0130186835 1406p000    1 1406p000w1o0016056e000   11       1           32          0     0       0 55323.203 55326.312 55324.758  17.161455   0.18071333                 5      circular halo                                  
