|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                   flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                 char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                     |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                 null|           null|            null|
          1.1   0.7633995  1373.012 1711.8776  303.34286   0.1236567  0.11968268  21.730036  0.9999999  0.7057213 0.51411813    298.479   22.15633 2.4841976    0.004880786  0.0026947814  303.34158  0.00028916966   0.0039009124     10.863664 140.14697 0.26697516 1406p000    1 1406p000w1o0020844e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  16.295166  0.07791043               0,5              bright star core and wings,circular halo                                  
          1.2   16.595713 1376.0894 1716.8112   719.7901 0.052503623  0.05065326  22.184448        1.0 0.79346347  0.7046648   719.6403  22.621445 2.4855986   0.0016099811  0.0011652791  719.80206   -0.001135683  -0.0022213436     10.802934  140.1432 0.26932564 1406p000    1 1406p000w1o0020889e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  15.356985  0.03347377                 5                                         circular halo                                  
          1.3   21.812908 1374.6443 1719.4866   258.7141  0.14527705    0.139741  21.747862  0.9999999  0.7331313 0.41889048  260.95203  22.183401 2.4930568   0.0025723577  0.0030666292    258.712   0.0043545943   0.0071410183     10.733701 140.14116 0.26822168 1406p000    1 1406p000w1o0042556e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  16.467949  0.09148437                 5                                         circular halo                                  
          1.4    34.26468 1369.1011 1723.6974  119.19073   0.3195309  0.30277598  21.766228        1.0   1.339419 0.25535715 113.909775  22.193748 2.4879878   -0.008000255   0.006909431  119.37034    -0.08994867     -0.3429491     10.620773 140.13794 0.26398742 1406p000    1 1406p000w1o0042538e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  17.309393  0.20052291               0,5              bright star core and wings,circular halo                                  
          1.5   37.649933 1363.6422   1701.56  177.02612   0.2145747  0.20347613  21.685158        1.0   0.861697 0.35700354  184.06721  22.117357 2.4928386    0.007174313  0.0045189695  177.02554    -0.00840979   -0.009928159     10.299341 140.15485 0.25981846 1406p000    1 1406p000w1o0035639e000   12       1           33          0     0       0 55323.203 55326.312 55324.758  16.879906  0.13367061               0,5              bright star core and wings,circular halo                                  
          1.6   43.382137 1388.5184 1711.2544  163.99246  0.22840203  0.21992007  21.693708  0.9999999 0.44768262  0.4658728   158.3459  22.125687 2.4905424   0.0061000586   0.004940689  163.97444  -0.0010993866   -0.014670904     11.838894 140.14745 0.27881962 1406p000    1 1406p000w1o0042614e000   12       1           32          0     0       0 55323.203 55326.312 55324.758   16.96294  0.14447309                 5                                         circular halo                                  
          1.7    45.16247 1387.1721 1719.6434  113.50468  0.33105695  0.31656003  21.633553        1.0  0.8973707 0.31666875 125.922035  22.064716 2.4896278    0.016777158   0.007714175  113.51096    0.010080792   -0.008799711     11.009069 140.14104 0.27779093 1406p000    1 1406p000w1o0042607e000   12       1           32          0     0       0 55323.203 55326.312 55324.758  17.362465  0.20949899                 5                                         circular halo                                  
          1.8   50.440804 1364.5225 1728.1774 115.031296  0.32836962  0.31248707  22.140219        1.0  0.3959756 0.22580801  104.04514  22.585302 2.4890037   0.0058139563  0.0072671715  115.06399     0.14786497   -0.075321704     10.608568 140.13452 0.26048997 1406p000    1 1406p000w1o0042525e000   11       1           33          0     0       0 55323.203 55326.312 55324.758   17.34796   0.2116124               0,5              bright star core and wings,circular halo                                  
