|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|        dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|      float|    float|      float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |       nMgy|      deg|        deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|       null|     null|       null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|            null|
          1.1   1.9873644 1134.9027 1686.8262  199.60263   0.15924938   0.15218015   18.49227  0.9999999  1.0634228 0.45938507  194.79741   18.85631 2.4853673    0.0037893057   0.003491021  199.58073  -0.0084644845    0.014998111   11.014105  140.1661  0.08509591 1406p000    1 1406p000w1o0034882e000   16       1           32          0     0       0 55323.203 55326.312 55324.758  16.749584   0.10087774                 5                            circular halo                                  
          1.2   3.3386178 1136.6366 1685.9633  157.89165   0.20057598   0.19065392  18.339947  0.9999999  0.7025536 0.40610352  152.55234   18.70302 2.4866023  -0.00020855665  0.0043397597  157.72807     0.09169406   -0.005404159   11.002838 140.16676 0.086420335 1406p000    1 1406p000w1o0041704e000   17       1           32          0     0       0 55323.203 55326.312 55324.758  17.004103   0.12668583                 5                            circular halo                                  
          1.3   7.7988634 1133.3043 1688.2344 112.200424   0.28042373   0.26727596  18.322592        1.0 0.69067776  0.3508619  103.48097  18.694952 2.4887862     0.007340014  0.0061702654  112.14766     0.04826498    0.016108498    11.01531 140.16502 0.083874986 1406p000    1 1406p000w1o0045659e000   16       1           32          0     0       0 55323.203 55326.312 55324.758  17.375013   0.17890504                 5                            circular halo                                  
          1.4   11.696266 1131.3615  1685.737  140.55086   0.22565922   0.21521974  18.226944  1.0000001  0.5081779 0.52649784  135.00636  18.592573 2.4900045     0.008425117   0.004892171  140.56781    0.013022964   -0.023994485  11.0170355 140.16693  0.08239085 1406p000    1 1406p000w1o0041668e000   17       1           32          0     0       0 55323.203 55326.312 55324.758  17.130417   0.14159802                 5                            circular halo                                  
          1.5   14.497143 1133.8555 1691.4908  75.797516   0.40500188   0.38887313  17.644003        1.0  0.5709604 0.29003054   65.61337  18.007244  2.490648     0.015053332   0.009161126   75.77571     0.04341587    0.040588647   11.030032 140.16254   0.0842959 1406p000    1 1406p000w1o0041688e000   18       1           32          0     0       0 55323.203 55326.312 55324.758  17.800863   0.25745493                 5                            circular halo                                  
          1.6   16.017563 1137.6537 1691.9277   512.5096  0.061125424  0.058972277  18.368395        1.0 0.67631286  0.4781153  506.15897  18.729275  2.486669    0.0010609031  0.0013469182   512.3834   -0.019798694    0.029676719   11.084951 140.16222 0.087197214 1406p000    1 1406p000w1o0041711e000   18       1           32          0     0       0 55323.203 55326.312 55324.758  15.725745  0.038929597                 5                            circular halo                                  
          1.7   18.552006  1137.181  1693.043  667.74005   0.04710356  0.045436457  18.474926  0.9999999  0.8039406  0.5926403  662.44507  18.836584 2.4845073    0.0015514493  0.0010532413   667.8164   -0.005484161 -0.00015572461   11.083791 140.16136 0.086836115 1406p000    1 1406p000w1o0017627e000   18       1           32          0     0       0 55323.203 55326.312 55324.758  15.438481  0.030047627                 5                            circular halo                                  
          1.8   18.954948 1137.4285 1679.8661  3416.4348  0.010047203 0.0095118275  21.009668 0.99999994  7.3642707 0.96667266  3417.1685  21.396751 2.4880893   -0.0015385151 0.00024411682  3416.1738    0.016247155  -0.0004208142    10.93345 140.17142  0.08702532 1406p000    1 1406p000w1o0017626e000   17       1           32          0     0       0 55323.203 55326.312 55324.758  13.666067  0.006676946                 5                            circular halo                                  
