|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                       flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                     char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                         |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                     null|           null|            null|
          1.1   3.4971905  454.9532 1401.3066   198.7062  0.15124486  0.14627315  17.281307        1.0  0.7506566    0.40774  190.63788  17.641157 2.5192473     0.000608325  0.0032011438  198.49678     0.21147127    -0.06397494   -2.0989356  145.7024 69.228226 1465p696    1 1465p696w1o0007101e000   17       1           32          0     0       0 55296.223  55300.92 55298.574   16.75447 0.094664715                 5                             circular halo                                  
          1.2    3.554521 456.80493 1403.0768  183.03526  0.16377394  0.15922691   17.25419        1.0  1.1781871 0.37634048  172.49371  17.609491 2.5168364    0.0037087202  0.0035029738  183.11119   -0.089830205    0.051407475   -2.8235824 145.69852  69.22963 1465p696    1 1465p696w1o0039589e000   17       1           32          0     0       0 55296.223  55300.92 55298.574  16.843662  0.10265396                 5                             circular halo                                  
          1.3    10.93606 452.05057 1401.1908  49.560894  0.60802656   0.5896002    17.1763        1.0   0.547714 0.15305442  43.774403  17.530792  2.517114      0.02011621   0.014467975  49.554897      -1.159012     0.30167353   -2.2298877 145.70271  69.22601 1465p696    1 1465p696w1o0039576e000   17       1           32          0     0       0 55296.223  55300.92 55298.574  18.262152  0.39253688                 5                             circular halo                                  
          1.4   15.678851  460.8563 1399.3018 109.633255  0.27286604  0.26717737  17.364084        1.0   0.566603 0.30103716  97.256615  17.726068 2.5198505     0.009563506  0.0059977486  109.62177   -0.012617263   0.0072006187    -1.700093 145.70654  69.23276 1465p696    1 1465p696w1o0039603e000   16       1           32          0     0       0 55296.223  55300.92 55298.574  17.400145  0.17342249                 5                             circular halo                                  
          1.5   22.067627 462.18216 1407.1506 114.640526  0.26416734    0.252297  17.355715        1.0 0.53967667 0.25670505    97.1669   17.71539 2.5175567   -0.0010943413  0.0056499382 114.655205    0.009676087  -0.0047026165   -4.2523165 145.68959  69.23369 1465p696    1 1465p696w1o0039608e000   17       1           32          0     0       0 55296.223  55300.92 55298.574  17.351654  0.16564566                 5                             circular halo                                  
          1.6   22.764055   452.483 1394.6074   809.8228 0.038980946 0.038143232  18.560867        1.0  0.7845639 0.79723907   800.8539  18.928352  2.524701   -0.0005426407  0.0008462678    809.819    0.012058204   -0.004629156   -1.8282725 145.71689  69.22641 1465p696    1 1465p696w1o0007051e000   16       1           32          0     0       0 55296.223  55300.92 55298.574  15.229025 0.024889048                 5                             circular halo                                  
          1.7   25.439062  455.5733 1392.8971   61.59672   0.5075807  0.48475474  17.870754  1.0000001 0.47039774 0.20630002  51.607327  18.231094 2.5197206    0.0010200143  0.0106686335  61.590714    -0.16062446     0.22939281   -1.5143458 145.72047  69.22879 1465p696    1 1465p696w1o0039580e000   16       1           32          0     0       0 55296.223  55300.92 55298.574  18.026106  0.32431248                 5                             circular halo                                  
          1.8   26.367676  463.1619 1395.8658  680.73914 0.045177788 0.043247998   17.79458  1.0000001  1.2575425  0.7287372   671.6937   18.15685 2.5170922   0.00095033646  0.0009845592   680.7129   0.0008658375   -0.001069642     -1.40568 145.71387  69.23455 1465p696    1 1465p696w1o0007216e000   17       1           32          0     0       0 55296.223  55300.92 55298.574  15.417548 0.028387666                 5                             circular halo                                  
