|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|        dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                       flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|      float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                     char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|        deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                         |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|       null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                     null|           null|            null|
          1.1  0.22141206 1052.0425 686.16394  333.89905  0.11670618  0.11142735  22.498802        1.0  1.2805967  0.55288863   346.2134   22.95261 2.4965937  -0.0069147944   0.002557642  333.89456   -0.010419832    0.025324823  20.783354 159.40515  -12.093629 1591m122    1 1591m122w1o0033119e000   11       1           32          0     0       0 55347.016 55350.125  55348.57  16.190962  0.07327018                 5                             circular halo                                  
          1.2   11.975068 1047.7798 685.05225   242.5537   0.1625607  0.15434343  22.490715        1.0  0.5248529  0.49710202  254.25601  22.936783 2.4966075  0.00027483702   0.003442655  242.61539    -0.05473494    0.029213889  21.012909 159.40602  -12.096884 1591m122    1 1591m122w1o0033106e000   11       1           32          0     0       0 55347.016 55350.125  55348.57  16.537981  0.10096454                 5                             circular halo                                  
          1.3   20.899548 1052.7579  678.5279   983.6595 0.040417098 0.039401338  23.572548        1.0 0.75427365    0.752803  994.25226  24.036713 2.5033662   -0.001820147  0.0008913142    983.578 -0.00012193259    -0.01302776  20.240667 159.41112  -12.093077 1591m122    1 1591m122w1o0015841e000   10       1           32          0     0       0 55347.016 55350.125  55348.57  15.017888 0.026023736                 5                             circular halo                                  
          1.4   26.799288 1046.7592 677.88025   89.72486  0.43852243  0.41836226  22.461477        1.0  1.4629266   0.2440232 103.389084  22.910778 2.4975533    -0.02397585   0.011045833   89.39129     0.28058916     0.95106494  20.627901 159.41162  -12.097658 1591m122    1 1591m122w1o0033100e000   11       1           32          0     0       0 55347.016 55350.125  55348.57  17.617718  0.27770162                 5                             circular halo                                  
          1.5   33.262527 1064.0282  684.7363  154.71513  0.25719267  0.24293001  22.825941        1.0 0.61338603  0.28873178  161.91452  23.280323 2.4985645   0.0013635755   0.005539858  154.73561   -0.028524086    -0.08994178   19.88252 159.40625  -12.084472 1591m122    1 1591m122w1o0033155e000   11       1           32          0     0       0 55347.016 55350.125  55348.57  17.026169  0.16136205                 5                             circular halo                                  
          1.6   35.145126 1039.2343  686.4715  151.75542  0.25836527  0.24563746  22.392975  0.9999999 0.48143756  0.50366294  147.40274   22.84527 2.5032678   0.0117201805  0.0056420406  151.75502    0.006851858     0.01768752  22.211845 159.40492  -12.103413 1591m122    1 1591m122w1o0033060e000   11       1           32          0     0       0 55347.016 55350.125  55348.57   17.04714  0.16138908                 5                             circular halo                                  
          1.7   43.455135 1040.1116 696.49115  145.25717  0.27115262   0.2592817   22.76754        1.0  1.0218803  0.24221225  143.17978   23.22347 2.5021048    0.009146929  0.0059397705  145.08223     0.13507676     0.06454626  22.944155  159.3971   -12.10275 1591m122    1 1591m122w1o0039607e000   11       1           32          0     0       0 55347.016 55350.125  55348.57  17.094656  0.17159231                 5                             circular halo                                  
          1.8    44.32978 1038.9713  695.5716   608.7175 0.064665236  0.06183551  22.729977 0.99999994  0.9470837   0.7131243   605.0115  23.181772  2.501366    0.001038909  0.0013755257  608.88477  -0.0009456147   0.0025774736  23.002127 159.39781  -12.103621 1591m122    1 1591m122w1o0015654e000   11       1           32          0     0       0 55347.016 55350.125  55348.57   15.53896 0.040561084                 5                             circular halo                                  
