|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|      sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|    float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |     nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|     null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1  0.39862475  960.2586 1065.6079  400.27432  0.09162666  0.08759267  21.157585 0.99999994  0.5649828  0.68079185  384.95786  21.580412 2.4978666   0.0024583936  0.0019370245  400.27023   0.0037026966   -0.008184048   42.1249 164.90048  -18.22164 1649m182    1 1649m182w1o0012846e000   13       1           32          0     0       0  55354.69 55358.062 55356.375  15.994105  0.05744309                 5                                                                                    circular halo                                  
          1.2    6.677929  960.0483 1068.1294 123.499275  0.29708323  0.28231972  20.928326        1.0 0.41068333   0.3661546  104.48311  21.342594 2.4910536   0.0048936605  0.0063089584  123.55139    0.093857594      0.1511491 41.477486 164.89845   -18.2218 1649m182    1 1649m182w1o0039058e000   13       1           32          0     0       0  55354.69 55358.062 55356.375   17.27084  0.18578224                 5                                                                                    circular halo                                  
          1.3    8.288347  963.2949 1066.3644  218.69067   0.1679846  0.16044608  21.326912        1.0  0.7824924  0.54847544  202.49501  21.754349  2.497883    0.011502445  0.0037475678  218.68442 -0.00046535727    0.009680698 42.122906 164.89987  -18.21932 1649m182    1 1649m182w1o0039086e000   12       1           32          0     0       0  55354.69 55358.062 55356.375  16.650425  0.10621952                 5                                                                                    circular halo                                  
          1.4   13.880411  955.9371 1068.1688  228.36275  0.16194196  0.15363541  21.067251 0.99999994  0.7320736  0.54367703  207.63824  21.480867 2.4917624   0.0066863894  0.0034640399  228.36183   0.0053234505    0.010073121  41.49177 164.89842  -18.22494 1649m182    1 1649m182w1o0012788e000   13       1           32          0     0       0  55354.69 55358.062 55356.375  16.603437   0.1004485                 5                                                                                    circular halo                                  
          1.5   15.629229  955.1674 1063.3888  167.73189   0.2195959  0.20844917   21.04755        1.0  0.5985122   0.4043288  154.44548   21.47075 2.4967647    0.006154716   0.004650097  167.65054    0.108431056    0.026551751  43.07756 164.90227 -18.225529 1649m182    1 1649m182w1o0039026e000   13       1           32          0     0       0  55354.69 55358.062 55356.375  16.938461  0.13696365                 5                                                                                    circular halo                                  
          1.6  15.7192545  962.3594 1060.3684  107.52052  0.33957294  0.32474694   20.94297  0.9999999  0.9729282  0.34848607  129.70909  21.377237  2.498651    0.013245523   0.007511929 107.473495    0.010494804    0.029991722  43.90257  164.9047 -18.220036 1649m182    1 1649m182w1o0044380e000   13       1           32          0     0       0  55354.69 55358.062 55356.375  17.421272  0.21421807                 5                                                                                    circular halo                                  
          1.7    20.34608  953.0941  1064.277  180.87885  0.20379402  0.19384576   21.11176        1.0  1.0636503  0.35605788  168.59991  21.535208  2.494105    0.008565903  0.0044258283  180.82791   -0.043861303    0.026887096 42.756634 164.90155 -18.227112 1649m182    1 1649m182w1o0012756e000   13       1           32          0     0       0  55354.69 55358.062 55356.375  16.856531  0.12730479                 5                                                                                    circular halo                                  
          1.8   20.756855  952.8286 1066.3455  182.89282  0.20060119  0.19366188  21.183102  0.9999999 0.47263855  0.40519476  169.22797  21.604477 2.4961205    0.005313337   0.004289999  182.73325   0.0063079037   -0.110905096  42.12956 164.89989 -18.227316 1649m182    1 1649m182w1o0039008e000   13       1           32          0     0       0  55354.69 55358.062 55356.375   16.84451  0.12631957                 5                                                                                    circular halo                                  
