|source_label|target_dist|         x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|      sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|     float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|    float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|       pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |     nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|      null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|     null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1   0.5602902  1022.4134  966.4327  282.65958  0.15511683  0.14839134  25.227207  1.0000001 0.69741696   0.979847  286.58218  25.732388 2.4999032  -9.179115e-06  0.0032332449  282.66364   -0.004186033   -0.007142208 53.210823 164.98022 -18.174158 1649m182    1 1649m182w1o0031696e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.371841 0.097159855                 5      circular halo                                  
          1.2   15.829547  1024.7843 960.97473  174.48631  0.25017124  0.23860712  25.100275        1.0 0.73866403 0.86396945  190.48943  25.609657 2.4914887   -0.010368288  0.0055512046  174.58244       0.440682     -0.1157435 53.843246  164.9846 -18.172346 1649m182    1 1649m182w1o0039466e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.895597  0.15727672                 5      circular halo                                  
          1.3    20.40205  1028.1389  961.4848   234.2573  0.18851934  0.18112817  25.310415        1.0 0.93866885  0.8741501   253.5657  25.824833 2.4972878   -0.008114219  0.0040149936  234.02724     0.05448387    -0.14857252  52.27584 164.98419 -18.169783 1649m182    1 1649m182w1o0031713e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.575768 0.117768474                 5      circular halo                                  
          1.4   24.707191   1031.221  968.1133   144.0964   0.3043773  0.28980532   25.04875        1.0  0.8430629   0.954531   159.6883  25.544508 2.4922874  -0.0064433217   0.006485733  144.21915    -0.25088656      0.6383366  47.68439 164.97887 -18.167429 1649m182    1 1649m182w1o0039502e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  17.103367  0.19067341                 5      circular halo                                  
          1.5   25.050556  1027.9827 959.00415   125.4516  0.35183915  0.33363247  25.296364        1.0  1.5315068 0.73901856   145.0689   25.81279 2.4899719  -0.0052242875   0.007662121 126.048515     -0.4091973     -0.5031264 53.329113 164.98619   -18.1699 1649m182    1 1649m182w1o0039485e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  17.253809  0.22197221                 5      circular halo                                  
          1.6   26.118067 1012.97784  967.0924    609.557 0.072106674 0.068809316  25.431143        1.0  0.4909765  0.8969611   603.3082   25.93555  2.490504 -0.00069975853  0.0015644789  609.55194   0.0010913429    0.002447432 58.276913 164.97969 -18.181366 1649m182    1 1649m182w1o0013507e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  15.537464 0.045323998                 5      circular halo                                  
          1.7   31.048948  1011.2965  968.0701  184.91556  0.23761356  0.22649549  25.228977  0.9999999 0.39786932 0.44949022   182.9272  25.726135 2.4927225 -0.00014919043  0.0050545586  184.92819    0.034735344     0.01163496 58.998283 164.97891  -18.18265 1649m182    1 1649m182w1o0039402e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.832567  0.14906208                 5      circular halo                                  
          1.8   31.496899 1017.24646    956.02  266.03137  0.16430055  0.15730648  25.196953        1.0  0.5686095  0.9577874  283.76025  25.701721 2.4918373  0.00027304888   0.003520702   266.0361   -0.058846157    0.005553113 61.328842  164.9886 -18.178102 1649m182    1 1649m182w1o0031671e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.437668 0.103143856                 5      circular halo                                  
