|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1   0.5781007 573.56494 737.44977  373.18448  0.11743338  0.11223746  25.170433        1.0  1.2198241  0.9422698  354.85574  25.674532 2.5001554    0.009361446  0.0025171554  373.17426   -0.016304111    0.016506776   63.38854 165.16478  -18.51689 1649m182    1 1649m182w1o0030008e000    9       1           32          0     0       0  55354.69 55358.062 55356.375   16.07019  0.07334178                 5      circular halo                                  
          1.2    7.457155  575.2234  735.1323  131.66847  0.33318844   0.3246331  25.263176  1.0000001 0.62374693  0.6914175  115.86347  25.756552 2.4925709    0.016352892   0.007787043  131.65158     0.05621015    0.004978844   63.71201 165.16664 -18.515621 1649m182    1 1649m182w1o0043320e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  17.201296  0.21093409                 5      circular halo                                  
          1.3   14.367283 568.34076  736.5717   204.3397  0.21296632  0.20497073  25.031982  1.0000001 0.56160885 0.93106604  188.16608  25.535538 2.4992216   0.0066857934   0.004499398  204.33563    0.015853021   -0.010194904   57.12581 165.16548  -18.52088 1649m182    1 1649m182w1o0036766e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.724117  0.13367602                 5      circular halo                                  
          1.4   14.777119 574.62787 731.98535  179.45078  0.24226779  0.23379944  24.967478  1.0000001  0.8706576  0.9214286  160.79083  25.465708 2.4932234    0.013673484    0.00542724  179.44899   -0.010323066  -0.0015314983   62.63153 165.16917 -18.516073 1649m182    1 1649m182w1o0036807e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.865137  0.15204771                 5      circular halo                                  
          1.5   25.986752  582.4659 740.29584  129.78116   0.3415043  0.32170594   25.12217        1.0 0.62426496  0.8380009  118.76833   25.62292  2.497987  -0.0013259053    0.00701809  129.76308    -0.22273925     0.06598772  72.944115 165.16248 -18.510094 1649m182    1 1649m182w1o0043335e000    9       1           32          0     0       0  55354.69 55358.062 55356.375   17.21697  0.21285523                 5      circular halo                                  
          1.6   31.448923 562.18195  735.7618  163.43149   0.2652844  0.25407833   24.92116 0.99999994 0.44723865 0.68725574  166.33078   25.42063 2.4940684    0.008685291   0.005766477  163.43358   0.0065042763   -0.011427689   51.62249 165.16615 -18.525583 1649m182    1 1649m182w1o0043287e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.966661  0.16686195                 5      circular halo                                  
          1.7   33.713238  561.9222  733.2752   458.3087 0.094772436  0.09091387  25.120848  1.0000001 0.88224113   0.907282  465.55847  25.623999 2.4939566  -0.0007943511  0.0020273528   458.3059  -0.0045290324    0.005312571  50.705627 165.16815  -18.52578 1649m182    1 1649m182w1o0008051e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  15.847105  0.05957116                 5      circular halo                                  
          1.8   34.537247 586.06964  736.6973  211.39291  0.20642407  0.19825555  25.110352        1.0  0.8799161   0.923028  199.03949  25.601252 2.4944785   0.0066816807   0.004435017  211.35815    0.054258812   -0.049586408     75.914 165.16537 -18.507338 1649m182    1 1649m182w1o0036885e000    9       1           32          0     0       0  55354.69 55358.062 55356.375  16.687273  0.12958117                 5      circular halo                                  
