|source_label|target_dist|         x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|     float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|       pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|      null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1  0.51377964  1033.6118  707.0473  342.49585  0.14858617  0.14082123  28.894026        1.0  0.5916059 0.93613034  330.81418   29.45977 2.4934933    0.006965995  0.0031440132   342.5192  -0.0126327565  -0.0029006542  118.14094 165.18875 -18.165442 1649m182    1 1649m182w1o0013766e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  16.163363  0.09181431                 5      circular halo                                  
          1.2  10.3146515  1035.3047  710.1877  347.64734  0.14486444  0.13858971    28.8808 0.99999994  0.8569758   0.945498  330.32413  29.449621 2.4945056   0.0056707263  0.0030746316  347.63474    0.011724448    0.006996421  117.63478 165.18623 -18.164152 1649m182    1 1649m182w1o0013782e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  16.147152  0.09040588                 5      circular halo                                  
          1.3   12.914919  1029.2875  704.8119  138.62177  0.36126873  0.34534335  28.768719  1.0000001 0.28002176  0.9300641  128.70271  29.347193  2.494316  -0.0021047592  0.0076506897  138.62157    0.003219645   -0.018474279 124.926926 165.19055 -18.168743 1649m182    1 1649m182w1o0031714e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  17.145422  0.22864835                 5      circular halo                                  
          1.4   29.481167  1042.1741  700.6146   327.2451  0.14424954  0.13889287  27.115656        1.0 0.54941547 0.96280026  329.23206  27.678421 2.4967813  -0.0035961866  0.0030186984   327.3949    -0.09429443    -0.08984843   103.8717 165.19391 -18.158894 1649m182    1 1649m182w1o0013858e000    8       1           32          0     0       0  55354.69 55358.062 55356.375  16.212816  0.09017129                 5      circular halo                                  
          1.5   36.102844   1045.504  701.6056  162.72592  0.28904244  0.27596942   27.01481        1.0  1.0682896   0.874462  170.11734   27.57343 2.4997594   -0.019033313  0.0067941993  162.84158    -0.12980424    -0.66081095   99.40697 165.19312 -18.156351 1649m182    1 1649m182w1o0031758e000    8       1           32          0     0       0  55354.69 55358.062 55356.375  16.971357   0.1819315                 5      circular halo                                  
          1.6   41.521236  1045.7759  715.6836 123.481514  0.39316255  0.37976766   28.08184  0.9999998  1.7509627 0.99855894  130.52394  28.646696 2.4961655   -0.007737279   0.008453569   126.2823    -0.47851852      0.7806535  103.74371  165.1818 -18.156158 1649m182    1 1649m182w1o0031759e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  17.270994  0.25130916                 5      circular halo                                  
          1.7     52.7505 1016.98773 716.67926  103.60992   0.4853108  0.46593282  28.890028        1.0 0.76988393 0.93787545  106.78154  29.470411 2.4946709   -0.010483921   0.010591235  103.72098    -0.89298904     0.37808996  147.57918 165.18103  -18.17815 1649m182    1 1649m182w1o0039432e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  17.461496  0.31097433                 5      circular halo                                  
          1.8   54.911636  1047.3582   692.535  196.55423  0.24223411   0.2307111  27.462688 0.99999994 0.67595917  0.9919322  203.39796   28.01086 2.4996672   -0.006747484   0.005170864  196.48451    0.018010186   -0.017275646   94.82294 165.20041 -18.154924 1649m182    1 1649m182w1o0031764e000    7       1           32          0     0       0  55354.69 55358.062 55356.375  16.766294   0.1526987                 5      circular halo                                  
