|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|                                        flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|                                                    char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                                                        |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|                                                    null|
          1.1    0.479687  741.7319 1909.4661  207.35188   0.18537126   0.17618847  21.878029        1.0 0.65091324 0.33436286  197.84673  22.323349 2.5147557   0.0019308329   0.003833402  207.33173   -0.013204717    0.007177448    -1.4168272 173.21526  -7.786914 1738m076    1 1738m076w1o0010134e000   12       1           33          0     0       0 55358.527 55361.504 55360.016  16.708231   0.11498578               0,5 bright star core and wings,circular halo                                                                          
          1.2   18.843561 739.25146  1916.034  318.05453   0.11983274  0.115062505  21.868372        1.0  0.7760505 0.38942716  320.84097   22.31153 2.5084908    0.009034097  0.0026088469  318.05078    0.008254854     0.00334532     -2.319446 173.21019 -7.7888002 1738m076    1 1738m076w1o0010079e000   12       1           33         66     0       0 55358.527 55361.504 55360.016  16.243746    0.0747696               0,5 bright star core and wings,circular halo             1,6 in large galaxy in HyperLeda,deblending discouraged here 
          1.3     21.6163  738.5285  1902.381  1460.8856   0.02682011  0.025721395  22.778967        1.0  1.9736164 0.77346164  1457.1133  23.231548 2.5156677   0.0028006434 0.00057551655  1460.9562   -0.015859406   0.0089731915    -1.0945253 173.22072 -7.7893696 1738m076    1 1738m076w1o0010078e000   12       1           32          0     0       0 55358.527 55361.504 55360.016  14.588459  0.016930766                 5                            circular halo                                                                          
          1.4     23.8176 740.10547 1901.0785  124.85592   0.30564007   0.29459772  21.882568 0.99999994  1.4662656 0.13184665 116.513985  22.322512 2.5072796    0.018704414   0.007259614  125.03546   -0.013681132     0.16610067   -0.88529515 173.22173 -7.7881665 1738m076    1 1738m076w1o0038156e000   12       1           32          0     0       0 55358.527 55361.504 55360.016  17.258978   0.19227402                 5                            circular halo                                                                          
          1.5   35.335293 754.47437 1909.9004   118.2169    0.3242808   0.31014246  22.032705  1.0000001  0.7806075  0.3066047 108.256386  22.475729 2.5109062  -0.0028185248  0.0069479123 118.221634   0.0043083006  -0.0012145068    -0.9494128 173.21494   -7.77718 1738m076    1 1738m076w1o0035023e000   12       1           32          0     0       0 55358.527 55361.504 55360.016    17.3183    0.2047474                 5                            circular halo                                                                          
          1.6    39.41276  754.8777 1904.1394   339.8704   0.11221792   0.10722145  21.844103 0.99999994 0.86135924  0.5921869  331.15277  22.282684  2.508135   -0.000523746  0.0023804347   339.8687   0.0026604543   0.0015708188    -0.3603595 173.21938 -7.7768793 1738m076    1 1738m076w1o0010314e000   12       1           32          0     0       0 55358.527 55361.504 55360.016  16.171717   0.06987865                 5                            circular halo                                                                          
          1.7    40.15674 732.22064 1920.7773   658.5781  0.059046935  0.056431647  22.391726  1.0000001  0.6256532 0.45994288   669.2289  22.840733  2.510567   -0.000731349  0.0012625279  658.54114    0.012117577    0.006230363    -2.6562767 173.20653 -7.7941647 1738m076    1 1738m076w1o0009975e000   12       1           33          0     0       0 55358.527 55361.504 55360.016  15.453482  0.036929376               0,5 bright star core and wings,circular halo                                                                          
          1.8    46.06706 758.37427 1910.0631   613.5928   0.06199797  0.059954837  22.100134  1.0000001 0.79415894  0.7179425  605.41565  22.544664 2.5100029  -0.0011031628  0.0013421916   613.5598    0.012422638  -0.0074086976    -0.8234073 173.21481 -7.7742014 1738m076    1 1738m076w1o0010365e000   12       1           32          0     0       0 55358.527 55361.504 55360.016  15.530299   0.03912257                 5                            circular halo                                                                          
