|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|              null|           null|            null|
          1.1   1.5195804 1210.9398  647.1926  262.99838  0.13596687  0.13044731  20.580034        1.0 0.78668797  0.9401487  261.23343   20.98726 2.4921978    0.003381133  0.0029138275   262.9945  -0.0018910943    0.009024626  50.968327 173.95506   34.9749 1736p348    1 1736p348w1o0016667e000   13       1           32          0     0       0 55340.676  55344.05 55342.363  16.450117 0.085134625                 5      circular halo                                  
          1.2   12.315961 1212.7495 650.87756   96.96423     0.36638  0.35139146  20.426825        1.0  0.7657466   0.586505  88.107605  20.837677 2.4928815    0.015082657  0.0084069455   96.99797     0.10898374     0.06346376   51.33869 173.95163  34.97629 1736p348    1 1736p348w1o0032378e000   13       1           32          0     0       0 55340.676  55344.05 55342.363   17.53347   0.2322016                 5      circular halo                                  
          1.3   16.198853 1208.8633  652.1104   456.3155 0.079208456  0.07568501  20.762478  1.0000001 0.82475364   0.905276  438.78452  21.179535 2.4914014   0.0056366324  0.0017067088   456.3809   -0.017385306  -0.0024917945  53.534286 173.95047 34.973328 1736p348    1 1736p348w1o0016641e000   13       1           32          0     0       0 55340.676  55344.05 55342.363  15.851837 0.049435433                 5      circular halo                                  
          1.4     23.3283 1213.3577  654.8834  180.73726   0.1983135  0.19044262  20.568756        1.0  0.9888674 0.44958594  164.77415  20.983438 2.4940784    0.008523226  0.0042891675   180.7589    0.048801783  -0.0033100497   52.68632 173.94789  34.97677 1736p348    1 1736p348w1o0041631e000   13       1           32          0     0       0 55340.676  55344.05 55342.363   16.85738 0.124099545                 5      circular halo                                  
          1.5   23.493914 1216.3494 653.47943  264.32928  0.13660963  0.13095568  20.661413        1.0  1.6769052  0.5923828   252.2546  21.068247 2.4997427    0.011246562  0.0029490306  264.47754     0.06860225     0.08974827  50.632866 173.94922  34.97905 1736p348    1 1736p348w1o0038289e000   13       1           32          0     0       0 55340.676  55344.05 55342.363  16.444637 0.085040495                 5      circular halo                                  
          1.6   24.510553 1209.9905  655.5237  162.51062  0.22738066   0.2143585  21.132038        1.0  0.9437708 0.45047864   145.7621   21.55378 2.4965546    0.015423596   0.005208961  162.84639    -0.09738624    0.052354652   54.35974  173.9473 34.974197 1736p348    1 1736p348w1o0042531e000   13       1           32          0     0       0 55340.676  55344.05 55342.363  16.972795  0.14198741                 5      circular halo                                  
          1.7   26.908134  1219.887  651.1249   155.5196  0.22335464  0.21202597  19.780693        1.0  1.1347046 0.46252123   148.5825  20.180552 2.4913895    0.013427138   0.004994593   155.5056      -0.100716     0.07028177   48.05244 173.95142 34.981747 1736p348    1 1736p348w1o0041643e000   14       1           32          0     0       0 55340.676  55344.05 55342.363  17.020536  0.13884781                 5      circular halo                                  
          1.8    29.14689 1213.5795  657.0089   342.5094  0.10537946 0.100737564  20.734766        1.0  1.0553484 0.54659706  325.81805  21.149233 2.4937963   0.0037481785   0.002248166   342.4755     0.08180119     0.07523305  52.919426 173.94592 34.976944 1736p348    1 1736p348w1o0038279e000   13       1           32          0     0       0 55340.676  55344.05 55342.363  16.163319  0.06580857                 5      circular halo                                  
