|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|      sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|         float|    float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                  char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |              |     nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                      |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|          null|     null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                  null|           null|            null|
          1.1  0.39627743 1567.8599  555.2036   283.6951   0.1347966  0.12754844  22.068403 0.99999994  1.6111966   0.5666241   285.3804  22.513474 2.5035563     0.005124867    0.00291335  283.69614   -0.008111679  -0.0066873473  32.86817 176.56319 6.4734745 1762p060    1 1762p060w1o0020276e000   12       1           32          0     0       0 55355.355 55358.332 55356.844   16.36787  0.08462943                 5                                          circular halo                                  
          1.2   15.842783 1573.2748   557.326  191.83574   0.1955438  0.18672322  21.641665        1.0    1.24633   0.3479561  204.15749  22.082668 2.5074842    -0.011648595   0.004349951  191.87738    -0.17902741    -0.30927834 31.050724 176.56157 6.4776115 1762p060    1 1762p060w1o0034529e000   13       1           32          0     0       0 55355.355 55358.332 55356.844  16.792677  0.12300933                 5                                          circular halo                                  
          1.3   18.278006 1569.0768 561.88293  96.278404    0.395127   0.3826021  21.819485 0.99999994   1.262869   0.2506943  95.573364   22.24832 2.5016356    0.0056965947   0.008488178    96.2797   0.0041370275  -0.0012254262 32.021984 176.55806 6.4744077 1762p060    1 1762p060w1o0034519e000   13       1           32          0     0       0 55355.355 55358.332 55356.844  17.541178   0.2504067                 5                                          circular halo                                  
          1.4   18.569595  1561.234  554.0634  139.12836  0.27328882  0.26052928  21.770565        1.0 0.43828306   0.5887583  119.18325  22.219053 2.5024736   0.00018692017   0.005784249  139.13525     0.00448708   -0.010512462 35.144077 176.56407  6.468413 1762p060    1 1762p060w1o0034494e000   13       1           32          0     0       0 55355.355 55358.332 55356.844   17.14146  0.17130154                 5                                          circular halo                                  
          1.5   24.349949 1561.4028  561.4035   98.87162  0.38293454  0.36698008  21.685837        1.0 0.81918263  0.37286302   79.82996  22.132353  2.509974   -0.0011844635   0.007929013   98.87176    -0.03132826   -0.033478823  35.01064 176.55843  6.468546 1762p060    1 1762p060w1o0034495e000   13       1           32          0     0       0 55355.355 55358.332 55356.844  17.512321  0.24207096                 5                                          circular halo                                  
          1.6    35.92773 1555.1713  558.4482 121.134056  0.31353766  0.30078366  21.724201        1.0  0.4721407  0.58405477  102.62542  22.173826 2.5080087   -0.0011344552  0.0065418114  121.13864  -0.0060827467   -0.007201295  35.27118 176.56068  6.463784 1762p060    1 1762p060w1o0034473e000   13       1           32          0     0       0 55355.355 55358.332 55356.844  17.291834  0.19684492                 5                                          circular halo                                  
          1.7   39.672802 1570.6779  569.4978  117.64319  0.32353872   0.3107426  21.780983 0.99999994  0.5865205  0.23601286  112.17576   22.22148  2.509876     0.017024696   0.007384888  117.64869   -0.025412325    0.024834868   30.9116  176.5522 6.4756346 1762p060    1 1762p060w1o0034524e000   13       1           32          0     0       0 55355.355 55358.332 55356.844  17.323584  0.20336328                 5                                          circular halo                                  
          1.8   41.446453 1554.6742   562.643  138.62704  0.27749816  0.26183417  21.870413        1.0  1.0151169  0.53043103  125.21513  22.314526 2.5086129     0.008761048    0.00591291  138.64236   -0.008826312   -0.017736388 35.473545 176.55746 6.4634066 1762p060    1 1762p060w1o0030001e000   13       1           32          0     0       0 55355.355 55358.332 55356.844   17.14538  0.17273323                 5                                          circular halo                                  
