|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1   0.1785134  519.7156 1312.1082  359.04385  0.10097275  0.10116139  21.191126        1.0 0.90809107  0.6366902  355.18332  21.615284 2.4940965     0.00768286  0.0022134206  359.04855   -0.009386512   0.0035816664     7.45636 3.0602558 -24.615746 0033m243    1 0033m243w1o0006649e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  16.112131  0.06415582                 5                            circular halo                                  
          1.2    13.46058 521.53595 1307.5358  210.80716  0.17166926  0.17453624   21.19326        1.0 0.48396212 0.51289904  196.20992  21.619108 2.5020304   0.0012409091  0.0035803001  210.80515   -0.013238163   -0.016057936    7.454781 3.0641003 -24.614363 0033m243    1 0033m243w1o0006662e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  16.690287  0.10952329                 5                            circular halo                                  
          1.3    20.92263 518.31116 1304.6398  139.77426   0.2615627  0.26045027  21.516365  0.9999999 0.53163683 0.44488436 125.540535   21.94483 2.4991305   -0.009380281  0.0058361404  139.61635   -0.021466604     0.09206759    7.389971 3.0665288 -24.616829 0033m243    1 0033m243w1o0033752e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  17.136433   0.1684737                 5                            circular halo                                  
          1.4   34.025852 518.95337 1299.7593      186.7  0.19302596  0.19246313  21.034958        1.0 0.97115517    0.55169   178.6865   21.45615 2.4931042   0.0029007792   0.004153551  186.69868  0.00093847944  -0.0055134096    7.328209 3.0706303 -24.616344 0033m243    1 0033m243w1o0006631e000   12       1           32          0     0       1 55359.957   55363.2  55361.58   16.82214  0.12284839                 5                            circular halo                                  
          1.5   42.663586 509.57944 1300.4158  123.85338  0.29433152  0.29148257  21.052126  0.9999999  0.3416549 0.51018095 124.040504  21.465902 2.5013642   0.0077017546  0.0061801826  123.85212   -0.013104338    0.012400198    7.078755 3.0700657 -24.623505 0033m243    1 0033m243w1o0033718e000   12       1           32          0     0       1 55359.957   55363.2  55361.58   17.26773  0.18635808                 5                            circular halo                                  
          1.6   54.806957  500.7929 1306.0464   99.06828   0.3529945  0.35497618  20.625408        1.0  0.3903969  0.3693553   98.95363  21.040186   2.49217   0.0041941404  0.0077704093    99.0185   -0.012543493   -0.029872548   7.4150014  3.065322 -24.630209 0033m243    1 0033m243w1o0033698e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  17.510164  0.22939724                 5                            circular halo                                  
          2.1   1.3913131  520.0786 1311.6964  695.85895  0.19876835  0.19488645   75.12267        1.0 0.44050455  0.5410173   683.9379  76.972626 2.7511919   0.0020027757   0.004128972   695.8038   -0.021419566   0.0013295917     4.63921 3.0606022 -24.615469 0033m243    2 0033m243w2o0006876e000   12       1           32          0     0       1 55359.957   55363.2  55361.58  15.393697  0.11767114                 5                            circular halo                                  
          2.2   4.6960526 518.43097 1313.1517  315.79135  0.43861276  0.42635584   74.79072        1.0 0.46438843 0.31356046  300.76376   76.63366 2.7516685  -0.0013407469   0.009052917   315.7949    0.015090432   -0.027229987    4.896164  3.059377 -24.616726 0033m243    2 0033m243w2o0044594e000   12       1           32          0     0       1 55359.957   55363.2  55361.58    16.2515  0.26211762                 5                            circular halo                                  
