|source_label|target_dist|        x|        y|      flux|          dx|         dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|      float|     float|     float|     float|      float|     float|     float|    float|         float|        float|     float|         float|         float|      float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|        pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|              |             |          |              |              |       nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|        null|       null|      null|      null|      null|       null|      null|      null|     null|          null|         null|      null|          null|          null|       null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1   0.4893346  974.7276 1911.9323   350.2595   0.08219477  0.07958126  16.868755        1.0   1.778584  0.29785037  364.97757  17.201439 2.4915402   0.0029307008   0.001811184  350.17935    0.006274032    0.010806558   7.9838014 204.33847 36.306458 2051p363    1 2051p363w1o0042683e000   19       1           32          0     0       0 55366.344  55372.76  55369.55  16.139025 0.052330304                 5                                                                                    circular halo                                  
          1.2    24.02041  982.9799 1909.5789  342.10394   0.08249753  0.07857886  16.250004        1.0  1.5550547  0.36070594  316.31564  16.571604 2.4952636    0.007688999  0.0017856219  342.04324   0.0025495237   -0.010002885    9.354473 204.34064 36.312775 2051p363    1 2051p363w1o0015783e000   20       1           32          0     0       0 55366.344  55372.76  55369.55  16.164604  0.05161151                 5                                                                                    circular halo                                  
          1.3   30.264326  964.3393 1915.9829  184.41534   0.15823361  0.15185809  16.809698        1.0 0.75901425   0.2010713  171.09065  17.140608 2.4920764   0.0039883256    0.00339313  184.37823    0.014575677   0.0025877461   6.8081856 204.33472 36.298496 2051p363    1 2051p363w1o0042620e000   19       1           32          0     0       0 55366.344  55372.76  55369.55  16.835506   0.0992417                 5                                                                                    circular halo                                  
          1.4   30.380352  976.4719 1922.7693   146.3557   0.19425388  0.18480098   16.45667        1.0 0.44825602   0.2657671  148.47952   16.78731 2.4959035   -0.003815651  0.0041849446  146.36102    0.018080216  -0.0028945839    4.999639 204.32819 36.307716 2051p363    1 2051p363w1o0015680e000   20       1           32          0     0       0 55366.344  55372.76  55369.55  17.086475  0.12260183                 5                                                                                    circular halo                                  
          1.5   34.920506  986.9816 1909.2692   151.9813   0.17798004  0.16930811  15.532929  0.9999999  2.3037217  0.22757335  113.80148  15.855059 2.4926536     0.02444321   0.004523397   151.9541  -0.0024732354    0.022508029    8.857263  204.3409 36.315834 2051p363    1 2051p363w1o0042722e000   22       1           32          0     0       0 55366.344  55372.76  55369.55  17.045525  0.11135419                 5                                                                                    circular halo                                  
          1.6   38.596523  979.9895 1924.8302   293.6202   0.09609462  0.09139705  16.261581        1.0   0.478591  0.46787068     302.14  16.582108 2.4906454   -0.002386868  0.0020710062  293.60147   0.0022581725  -0.0034383885   4.3747144  204.3262  36.31039 2051p363    1 2051p363w1o0015733e000   20       1           32          0     0       0 55366.344  55372.76  55369.55  16.330536 0.060192913                 5                                                                                    circular halo                                  
          1.7   39.105164 960.35657 1912.6853  274.65158   0.10872563  0.10452643  17.388071        1.0  1.2727641  0.21088083  254.46968   17.73524 2.4968648    0.010020137  0.0024168794  274.64752    0.017179418   -0.008480591   5.7359033 204.33788 36.295475 2051p363    1 2051p363w1o0042600e000   18       1           32          0     0       0 55366.344  55372.76  55369.55  16.403046   0.0688295                 5                                                                                    circular halo                                  
          1.8   41.226994 960.36536 1907.0474  2181.2317 0.0146016665 0.014024628  19.221378 0.99999994   4.000899  0.54829884   2154.356   19.60534  2.492474  0.00033009052 0.00034029316  2181.0425    0.013536483   0.0033269026    5.783373 204.34322  36.29552 2051p363    1 2051p363w1o0015414e000   19       1           33          0     0       0 55366.344  55372.76  55369.55  14.153246 0.009567965               0,5                                                         bright star core and wings,circular halo                                  
