|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                                                                            null|           null|            null|
          1.1   1.0048326  1053.585 740.02185   235.7539   0.2074092  0.19904578  28.391142        1.0  1.2844172  0.5182283  248.52116  28.956402 2.4724994   -0.012883246  0.0047272323  235.74297     0.12063586     0.10546144  -0.13138492 206.86974 -21.179081 2066m213    1 2066m213w1o0038671e000    7       1           32          0     0       1  55218.11  55220.56 55219.336  16.568853  0.13138963                 5                                                                                    circular halo                                  
          1.2    19.26154 1047.0132  737.2139  1159.4291 0.043178864 0.041586004   29.18333  1.0000001 0.40400648  0.7273496  1164.3485  29.742136 2.4711566  -0.0010299087 0.00094068376  1159.4233    -0.00285105    0.003902289    0.1411167 206.87204   -21.1841 2066m213    1 2066m213w1o0015150e000    7       1          163          0     0       1  55218.11  55220.56 55219.336   14.83939 0.027334241           0,1,5,7 bright star core and wings,PSF-based diffraction spike,circular halo,geometric diffraction spike                                  
          1.3   19.651524 1051.9805 747.28937  141.43567   0.3480693  0.33356336  28.443268        1.0  1.0240748  0.5034445  154.00482  29.001932 2.4727519    0.011391401  0.0077946503   141.4373   -0.006876171    0.013498227   0.20781648 206.86377 -21.180315 2066m213    1 2066m213w1o0038654e000    7       1           32          0     0       1  55218.11  55220.56 55219.336  17.123602  0.22136287                 5                                                                                    circular halo                                  
          1.4   19.891356 1053.2833  733.0359  630.72174  0.08068342   0.0758153  29.023426        1.0  2.6657085 0.41880143   625.3188  29.577429 2.4711564    0.007349968  0.0017415938  630.67114   0.0041484907   0.0030822756   -0.5584427 206.87546 -21.179304 2066m213    1 2066m213w1o0038659e000    7       1          163          0     0       1  55218.11  55220.56 55219.336  15.500405 0.049996797           0,1,5,7 bright star core and wings,PSF-based diffraction spike,circular halo,geometric diffraction spike                                  
          1.5   31.010302 1053.6775  728.9983   324.7473  0.15458752  0.14793962  29.015486        1.0  3.0196934 0.17815441  308.64117   29.57474 2.4715617    0.019655943  0.0037523492  324.77908   -0.031254526     0.01982713   -1.0372571 206.87875 -21.178999 2066m213    1 2066m213w1o0038670e000    7       1          163          0     0       1  55218.11  55220.56 55219.336  16.221136 0.097267576           0,1,5,7 bright star core and wings,PSF-based diffraction spike,circular halo,geometric diffraction spike                                  
          1.6   32.401077 1041.5477  740.8444   815.4449 0.060509883 0.058090806  28.746885  1.0000001 0.36453503 0.76875514  828.94653   29.31283 2.4741156    0.000415802   0.001305557   815.4575   -0.013298851  -0.0074229175 -0.030933285 206.86906 -21.188278 2066m213    1 2066m213w1o0015040e000    7       1           32          0     0       1  55218.11  55220.56 55219.336  15.221514  0.03829134                 5                                                                                    circular halo                                  
          1.7    34.46084 1065.7972 741.38904  142.35349   0.3435457   0.3325039  28.351229 0.99999994  0.8239969 0.52431244  129.28842  28.906391 2.4759765    0.011430919   0.007597816  142.34752   -0.003868115     0.01149824  -0.36629945 206.86859 -21.169754 2066m213    1 2066m213w1o0038710e000    7       1           32          0     0       1  55218.11  55220.56 55219.336   17.11658  0.21916507                 5                                                                                    circular halo                                  
          1.8   38.235676 1063.6948  731.0169  148.31403  0.32883027   0.3165462   28.30134        1.0 0.66066515 0.43057984  141.66365  28.861694 2.4713676   0.0006967783   0.007073437  148.31844    0.093948655     0.06745526   -2.6146939 206.87709 -21.171349 2066m213    1 2066m213w1o0038705e000    7       1           32          0     0       1  55218.11  55220.56 55219.336  17.072044  0.20975167                 5                                                                                    circular halo                                  
