|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model| dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                     flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|         float|     float|         float|         float|       float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                   char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |              |          |              |              |        nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                       |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|          null|      null|          null|          null|        null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                   null|           null|            null|
          1.1   0.6574092 1044.4818  575.3854  186.73639   0.24855573   0.23710933  26.705225        1.0  0.7345039 0.29286793  184.03954  27.235535 2.4786403  -0.0026080608   0.0051897326  186.71469    0.031177167  -0.0011569317     2.001666 207.00462 -21.185799 2066m213    1 2066m213w1o0038640e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  16.821928   0.15634319                 5                                           circular halo                                  
          1.2    8.311941   1045.31  572.2726    148.135   0.31094238    0.2984437  26.646759 0.99999994  0.8497016 0.19059846  150.60452   27.16973 2.4751983   0.0021452308    0.006596572  148.12706    0.057378538   -0.012069246    2.0911858 207.00717  -21.18516 2066m213    1 2066m213w1o0038639e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  17.073357   0.19745234                 5                                           circular halo                                  
          1.3   14.916215 1040.9177  571.0063  13629.972 0.0038684998 0.0037329087  33.967636        1.0  28.298939  0.9867694  13627.906  34.544083 2.4688454 -0.00072062016  0.00010305794  13629.737  -0.0041762344  -0.0005782387    2.0299778 207.00821 -21.188513 2066m213    1 2066m213w1o0015039e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  12.163763 0.0027058104                 5                                           circular halo                                  
          1.4     19.4062 1039.0691  579.7718   140.1712   0.32589477   0.31771266  26.745691        1.0   1.024383 0.35100427  141.39081  27.274313 2.4716258      0.0112468   0.0074547213  140.92075      -0.267466    -0.34876585    1.2866982 207.00104  -21.18994 2066m213    1 2066m213w1o0038620e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  17.133352   0.20973694                 5                                           circular halo                                  
          1.5   20.309837 1051.7069  574.0253  138.87746   0.33127722   0.32992437  26.973524        1.0  0.9032645  0.2377404   132.6147  27.494978  2.471233   0.0019854903    0.007214635  138.76709   -0.011910871   -0.025500275    1.8690517 207.00572 -21.180277 2066m213    1 2066m213w1o0038653e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  17.143421   0.21359089                 5                                           circular halo                                  
          1.6   23.740728 1052.9584  576.3558  1141.0825   0.04172825  0.039796505  28.071089 0.99999994   0.845844 0.77716416  1132.2747  28.603197 2.4740822   0.0013574362  0.00092762517   1141.129  -0.0060749394   0.0062654843     1.817177  207.0038 -21.179325 2066m213    1 2066m213w1o0015225e000    7       1           32          0     0       1  55218.11  55220.56 55219.336  14.856708  0.026714895                 5                                           circular halo                                  
          1.7   39.821068 1029.9287 575.02954  1219.8145   0.03793323  0.036454514  27.755167        1.0 0.59256685  0.8810558  1211.5948  28.288769 2.4688387 -0.00027257204   0.0008620197  1219.8094  -0.0041144616  -0.0003280559    0.6964146 207.00493 -21.196915 2066m213    1 2066m213w1o0014899e000    7       1           32          0     0       1  55218.11  55220.56 55219.336 14.7842655  0.024708634                 5                                           circular halo                                  
          1.8    41.13385 1055.7358  565.3882  424.64127   0.10850728  0.104561165  26.770596        1.0  0.8828771  0.5659656  427.61597  27.290245 2.4767504    0.004511118   0.0023213113  424.63672   -0.015133454    0.015257298    1.7602162 207.01279 -21.177183 2066m213    1 2066m213w1o0015262e000    8       1           32          0     0       1  55218.11  55220.56 55219.336  15.929944   0.06853881                 5                                           circular halo                                  
