|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                  char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                      |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                  null|           null|            null|
          1.1    2.061455 50.176098 323.19348  240.27682   0.19000259   0.18317813  26.516312        1.0   0.676402  0.6362473  243.09825   27.02467  2.470314     0.009263158  0.0042498703  240.31232    0.014268096   0.0012633351    5.341239 208.93208 -26.487782 2083m258    1 2083m258w1o0032348e000    8       1           32          0     0       1 55220.625 55223.074 55221.848   16.54822  0.120308995                 5                                          circular halo                                  
          1.2   4.5627456 47.771973  323.3497  153.58731   0.29610905    0.2852263  26.368876 0.99999994 0.26569983 0.46217725  152.04305  26.878744 2.4741752     0.005442381  0.0063590906  153.59563  -0.0050744787    0.009586324    5.387055 208.93196 -26.489618 2083m258    1 2083m258w1o0038874e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  17.034111   0.18827093                 5                                          circular halo                                  
          1.3   14.765607 46.894985  327.9869  197.93263    0.2284789   0.22033653  26.323254  1.0000001 0.66096514  0.6329531  205.35553  26.839241 2.4674299   -0.0024904013  0.0049954555    197.933    -0.05270586    -0.03590533   4.9784985 208.92801 -26.490305 2083m258    1 2083m258w1o0032337e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  16.758707   0.14525355                 5                                          circular halo                                  
          1.4   15.402375 44.126686  321.4426   289.7921   0.16088733   0.15348999  27.076496        1.0 0.42148593 0.23704727  282.40704  27.580486  2.474236     0.002786398  0.0034843278  289.77322   -0.014107333   -0.012832318   5.6772623  208.9336 -26.492395 2083m258    1 2083m258w1o0038864e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  16.344784    0.1017417                 5                                          circular halo                                  
          1.5   16.326231 50.437847 317.40085  133.84465    0.3393804    0.3256504  26.335188        1.0  0.9174773 0.58041286  130.59062  26.842407 2.4772809   -0.0017422438   0.007178991  134.54298    -0.19901714     0.30518913   6.0290184 208.93703  -26.48756 2083m258    1 2083m258w1o0038889e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  17.183498   0.21645147                 5                                          circular halo                                  
          1.6     17.4848 43.075733  322.9623  475.59576  0.096692875   0.09348742   26.97192        1.0   0.276621  0.3254029  475.22797  27.474771  2.467307    0.0019393563   0.002144976  475.55798   0.0025615538    0.008438159   5.6003785 208.93231 -26.493204 2083m258    1 2083m258w1o0038852e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  15.806905  0.061640266                 5                                          circular halo                                  
          1.7   18.554646 42.814163 321.91266  1193.6102  0.038890738  0.037271112  27.220978 0.99999994 0.28028563 0.68303883  1188.5293  27.729622  2.468734     0.000526309  0.0008595364  1193.4996  -0.0069774487  -0.0065451013   5.6499963  208.9332 -26.493399 2083m258    1 2083m258w1o0000626e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  14.807843  0.024765113                 5                                          circular halo                                  
          1.8   20.370403 47.217377 316.18085  132.26775   0.32391283   0.31339407  24.764503  0.9999999 0.41854534  0.5702689  124.55217  25.267654 2.4705832     0.007219434  0.0069962163  132.27547   0.0043033394   -0.011212788   6.0614295 208.93808 -26.490015 2083m258    1 2083m258w1o0032343e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  17.196365   0.20570913                 5                                          circular halo                                  
