|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                  char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                      |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                  null|           null|            null|
          1.1   0.1915573 75.742256  307.1909   268.8004   0.16817987   0.15962556  26.425297        1.0 0.64632297  0.6547212   262.6709  26.935192 2.4713132  0.00020325184   0.003712479  268.81192   -0.013008399  -0.0006495672     7.90819 208.94563 -26.468199 2083m258    1 2083m258w1o0001138e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  16.426426  0.107082665                 5                                          circular halo                                  
          1.2    12.06007   74.5072  302.9757  469.97986   0.09173114   0.08798651  25.024767        1.0  1.0487936    0.79237  457.85455  25.529413 2.4713159   0.0052766204  0.0019970953   469.9754   -0.017045964   -0.002381211    7.851928 208.94923 -26.469126 2083m258    1 2083m258w1o0001122e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  15.819802  0.057866376                 5                                          circular halo                                  
          1.3   15.215457  70.47883 308.65988 114.504776    0.3896853   0.37154508  26.223228        1.0  0.5741853 0.42789763 106.342896    26.7449 2.4764578   0.0047112703   0.008480284  114.42024    0.013171642   -0.031685013   7.9408345  208.9444 -26.472223 2083m258    1 2083m258w1o0032433e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  17.352942    0.2531382                 5                                          circular halo                                  
          1.4   18.693165  71.40161   312.343  119.81494   0.38223404   0.36736003   26.77272        1.0  0.6371015  0.3961801  108.32355  27.284487 2.4761195   -0.006675303    0.00835445 120.509834     0.48861787   -0.019256834   7.3658805 208.94125 -26.471533 2083m258    1 2083m258w1o0047225e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  17.303722   0.24677168                 5                                          circular halo                                  
          1.5   20.710964 82.395424 310.81754  335.04538   0.13589688   0.13087526  26.472267 0.99999994  1.1775416 0.71399903  328.28778  26.985117 2.4727664   0.0042717457  0.0029415349  335.05093   -0.051043574       0.037848   7.3423796 208.94252  -26.46313 2083m258    1 2083m258w1o0001229e000    8       1           32          0     0       1 55220.625 55223.074 55221.848   16.18724   0.08596425                 5                                          circular halo                                  
          1.6   21.198557  73.70899 299.74588  238.09496   0.18038294   0.17329873    24.8774        1.0 0.62978196 0.67464596  226.13486  25.374418  2.473067    0.009079158  0.0039613945      238.1    0.006576724   -0.002463914   7.7963414   208.952 -26.469725 2083m258    1 2083m258w1o0038982e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  16.558125    0.1138589                 5                                          circular halo                                  
          1.7   21.372663 73.822044  314.6804  232.90518   0.19536915   0.18810646   26.43274        1.0 0.38003308 0.54939306  222.97328  26.949446  2.472967   0.0038412213   0.004206799   232.9325   -0.027658481   -0.054653928   6.8226523 208.93925 -26.469692 2083m258    1 2083m258w1o0038983e000    8       1           32          0     0       1 55220.625 55223.074 55221.848  16.582052   0.12375491                 5                                          circular halo                                  
          1.8   26.194702  66.33192  308.1604 109.326614    0.3973002   0.38243535   25.20008 0.99999994  2.1172307   0.446062  105.66067  25.703123  2.471703   0.0031175613   0.008532614 109.760506      0.6475115      0.6814216   7.9876065 208.94484  -26.47539 2083m258    1 2083m258w1o0032412e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  17.403185   0.25484437                 5                                          circular halo                                  
