|source_label|target_dist|         x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|         flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|     float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                       char|           char|            char|
|            |     arcsec|       pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                           |               |                |
|        null|       null|      null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                       null|           null|            null|
          1.1  0.27917635   82.35694 295.21243   357.2028  0.12209369  0.11566229  25.002802        1.0  0.2614176  0.8351085  349.03976  25.491322 2.4729962   0.0008737445   0.002571979  357.21765    0.005367335    0.012358999   7.717083 208.95583 -26.463102 2083m258    1 2083m258w1o0001228e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  16.117712    0.0761218                 5               circular halo                                  
          1.2   7.5062675  80.207664 293.39212  179.43472   0.2383528  0.22968085  24.837776  0.9999998    0.28802 0.68526554   166.7339   25.33107 2.4745908  -0.0006713867  0.0050745625  179.44666    0.012133849   0.0017951832  7.6926727  208.9574 -26.464737 2083m258    1 2083m258w1o0032466e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  16.865234    0.1512612                 5               circular halo                                  
          1.3   10.169438   80.68958 298.54657  115.48787   0.3703586  0.35720292  24.805883        1.0  0.3637107   0.585687  105.28967  25.310762 2.4765759   0.0069004297   0.007948568  115.49174   -0.021677963   -0.014984401   7.726266 208.95299 -26.464388 2083m258    1 2083m258w1o0039011e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  17.343658   0.23689663                 5               circular halo                                  
          1.4    17.47842  88.151085 292.81647  173.97879   0.2464642  0.23759708  25.304184        1.0  0.4007156  0.8374312  170.59807  25.802454 2.4698308   6.735325e-06  0.0054040533  173.97482  -0.0043535223   -0.015217331  7.7849154 208.95786  -26.45867 2083m258    1 2083m258w1o0001349e000    8       1           32          0     0       1 55220.625 55223.074 55221.848   16.89876   0.15904175                 5               circular halo                                  
          1.5   26.624147   73.70899 299.74588  238.09496  0.18038294  0.17329873    24.8774        1.0 0.62978196 0.67464596  226.13486  25.374418  2.473067    0.009079158  0.0039613945      238.1    0.006576724   -0.002463914  7.7963414   208.952 -26.469725 2083m258    1 2083m258w1o0038982e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  16.558125    0.1138589                 5               circular halo                                  
          1.6   27.877838   86.48348 285.98087  215.50262  0.19858412  0.19251116  24.903988        1.0   0.711321  0.9647584  209.38231  25.391035 2.4712915    0.013222218   0.004567983  215.51195    0.017318482  -0.0013172867   7.438583 208.96368 -26.459917 2083m258    1 2083m258w1o0001322e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  16.666368   0.12603329                 5               circular halo                                  
          1.7   28.568935  75.458046  287.3379  391.07828  0.10969764  0.10553836   24.97624        1.0  0.6949154 0.96129936  389.04214  25.473719   2.47636   -0.003405571   0.002350704  391.07666    0.010205685  0.00046652756  7.3733153 208.96257 -26.468342 2083m258    1 2083m258w1o0001137e000    9       1           32          0     0       1 55220.625 55223.074 55221.848   16.01934   0.06943508                 5               circular halo                                  
          1.8   29.637142   92.93019  293.6913  448.67706 0.095458284  0.09310662  25.049665        1.0  0.6518626 0.93595964  441.25146  25.548195 2.4717736  -0.0021107793  0.0020769143   448.6607  -0.0022628107   -0.004740174  7.7042294 208.95708 -26.455023 2083m258    1 2083m258w1o0001418e000    9       1           32          0     0       1 55220.625 55223.074 55221.848  15.870165   0.06067978                 5               circular halo                                  
