|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|       sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|     float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |      nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|      null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1 0.099127635 1666.9772  377.4063  279.46832   0.16310968   0.15443994  26.059826        1.0 0.36617747 0.94894886  260.74313  26.564816 2.4756207   0.0040763617  0.0034170868   279.4811   -0.003359658    0.009906598  17.591625 212.74184  -16.16674 2122m167    1 2122m167w1o0024168e000    9       1           32          0     0       1 55220.754 55223.203  55221.98  16.384169  0.101537555                 5      circular halo                                  
          1.2   10.455948 1665.9615 381.10742  131.69795   0.33756015   0.32392362  25.767391        1.0 0.85664177  0.8774056  114.64913  26.277422 2.4701831   0.0094643235  0.0075353887  131.69562     0.01576594   -0.029040914  18.111353 212.73889 -16.167522 2122m167    1 2122m167w1o0024159e000    9       1           32          0     0       1 55220.754 55223.203  55221.98  17.201052   0.21520467                 5      circular halo                                  
          1.3    17.55428 1664.1804 371.69156   202.2127   0.22358926   0.21816204  26.126406        1.0  0.7102606  0.9513145  194.97073   26.62458 2.4750829    0.002511382  0.0047014626   202.2349   0.0056387563   -0.009878508  17.982313 212.74638 -16.168865 2122m167    1 2122m167w1o0024130e000    9       1           32          0     0       1 55220.754 55223.203  55221.98   16.73548   0.14106841                 5      circular halo                                  
          1.4   23.435266 1668.0344  368.9833  117.04753   0.38065287   0.36516336  26.355614        1.0  0.3493495 0.75941014  111.25261   26.86914   2.46947   -0.001614511   0.008475094  116.94811      0.0897223     0.08100924  16.839977 212.74854 -16.165916 2122m167    1 2122m167w1o0024187e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  17.329094   0.24873759                 5      circular halo                                  
          1.5     24.8044 1657.9712  378.1915  135.88084   0.33389056   0.31667984     26.009        1.0  0.7056886  0.9361541  124.38218  26.516663 2.4715552    0.012421548  0.0074997623  135.87442  -0.0033933534   0.0033306153   19.87846 212.74123  -16.17362 2122m167    1 2122m167w1o0024040e000    9       1           32          0     0       1 55220.754 55223.203  55221.98  17.167105   0.21041651                 5      circular halo                                  
          1.6   25.100306 1675.6494 380.23602  220.34053   0.19923878   0.18891053  25.042215        1.0  1.1791427 0.94323426  217.69472  25.533033 2.4756172    0.010832787  0.0043182727  220.42365   -0.014517373   0.0062234504  15.470645 212.73956 -16.160122 2122m167    1 2122m167w1o0024298e000   10       1           32          0     0       1 55220.754 55223.203  55221.98  16.642263   0.12393194                 5      circular halo                                  
          1.7   27.065744 1661.3677 385.53864    536.235  0.083922476  0.081404604  26.167805 0.99999994 0.55732906 0.98745954   529.9696  26.683071  2.479443       0.004354  0.0017812498   536.2022    0.012213282   -0.013967143  19.805134 212.73538  -16.17104 2122m167    1 2122m167w1o0024080e000    9       1           32          0     0       1 55220.754 55223.203  55221.98  15.676612    0.0530251                 5      circular halo                                  
          1.8    30.22136 1672.6726 368.04797    367.702   0.11744399   0.11172953  24.790552  1.0000001  0.5743463 0.57275087   379.8067  25.287249  2.472487  0.00013279915  0.0024789297  367.60043    0.065427125    0.009182448  15.631277 212.74927 -16.162373 2122m167    1 2122m167w1o0040132e000   10       1           32          0     0       1 55220.754 55223.203  55221.98   16.08626   0.07331181                 5      circular halo                                  
