|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|        sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                                  flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|      float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                                char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |       nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                                    |               |                |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|       null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                                null|           null|            null|
          1.1    1.095959 1406.0977 305.44458  162.39265   0.29488537   0.28634134   28.04442        1.0  1.3618662 0.32360572  160.39253  28.602991 2.4763377   0.0069330335  0.0064376574   162.4452    0.044469606    -0.04846059   21.244566 212.79965 -16.365858 2122m167    1 2122m167w1o0039196e000    7       1           32          0     0       1 55220.754 55223.203  55221.98  16.973583    0.1893994                 5                                                        circular halo                                  
          1.2   19.034279 1399.7385 306.91605  21477.254  0.002713804 0.0025631504  38.908768  0.9999999  131.09277 0.99316084  21465.682   39.57129  2.471915   -0.000981152 7.8951285e-05  21474.453   -0.008421704   -0.004531102   21.934082  212.7985 -16.370718 2122m167    1 2122m167w1o0020474e000    7       1           32          0     0       1 55220.754 55223.203  55221.98 11.6700535 0.0019669223                 5                                                        circular halo                                  
          1.3    21.56294 1406.2244 297.46368  187.31633    0.2544061     0.245005   27.97742 0.99999994 0.49619925 0.56480986  183.39944  28.537138 2.4777555   0.0054676533  0.0055535086  187.33871    0.007481944    0.014965202   21.017643 212.80602 -16.365744 2122m167    1 2122m167w1o0039195e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  16.818562   0.16338696                 5                                                        circular halo                                  
          1.4   31.154314 1395.2322 306.74423  1033.2996  0.046880886  0.044647064   28.13387        1.0   2.203097 0.60895294 1019.63934  28.685516 2.4746013    0.000410676  0.0010082063  1033.3584    0.026233632   0.0056869355   21.559078 212.79865  -16.37416 2122m167    1 2122m167w1o0039155e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  14.964435  0.029568892                 5                                                        circular halo                                  
          1.5   33.162052 1396.0441 311.36407   319.3673    0.1491647   0.14354539  27.646221        1.0 0.93384016 0.44455785  312.24072  28.196383 2.4750605   0.0022522807  0.0031844557  319.37216  -0.0027261793    0.013039094   21.193848 212.79497  -16.37355 2122m167    1 2122m167w1o0039160e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  16.239273  0.094223194                 5                                                        circular halo                                  
          1.6    34.79245 1401.0941  293.8476  158.21289    0.3003173    0.2889614  27.466427        1.0  0.7891544 0.71287644  139.73099  28.005392 2.4711304    0.014989674   0.006933768  158.21323    0.007977332   -0.009605874   21.388573  212.8089 -16.369656 2122m167    1 2122m167w1o0039178e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  17.001896     0.190417                 5                                                        circular halo                                  
          1.7    35.83656  1395.968 297.58463  266.67044    0.1782727   0.17099327  27.523788  1.0000001 0.55527717  0.7609953  252.31252   28.07473 2.4757419   0.0053822994   0.003819621  266.67075   0.0068536177     0.01017979    21.17111 212.80594 -16.373579 2122m167    1 2122m167w1o0020428e000    8       1           32          0     0       1 55220.754 55223.203  55221.98  16.435062  0.112462275                 5                                                        circular halo                                  
          1.8   40.015064 1392.0258 307.07166  104.44943   0.46368903    0.4428126   27.97966        1.0  1.4801581 0.26834548  91.596985    28.5255 2.4697583    0.014763474   0.010901454  104.44145   -0.024427336   0.0067876754   21.334078 212.79839  -16.37661 2122m167    1 2122m167w1o0041861e000    8       1           34          0     0       1 55220.754 55223.203  55221.98  17.452734     0.298117               1,5                            PSF-based diffraction spike,circular halo                                  
