|source_label|target_dist|         x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                    flags_unwise_descr|flags_info_bits|                                        flags_info_descr|
|        char|      float|     float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                  char|           char|                                                    char|
|            |     arcsec|       pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                      |               |                                                        |
|        null|       null|      null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                  null|           null|                                                    null|
          1.1   0.4011915  106.28773 748.10895  256.23334    0.0655856  0.064317845   9.804208        1.0   2.055275 0.45798695  251.92857  10.002328 2.5158896   0.0056016445  0.0014301689  256.23074    0.008888112     0.00836381     6.672362 237.28116   61.3909 2368p620    1 2368p620w1o0002111e000   61       1           33          0     0       0 55358.543 55372.105 55365.324   16.47841  0.041563608               0,5               bright star core and wings,circular halo                                                                          
          1.2   10.829985 105.855995  752.1688  104.42855   0.15930164   0.15700355   9.680643        1.0  1.6431475 0.22974542 100.585014   9.886064 2.5143762  -0.0023474693  0.0034202156  104.42499    -0.09067089    0.053746976     6.331527 237.27467  61.39059 2368p620    1 2368p620w1o0055925e000   59       1           33          0     0       0 55358.543 55372.105 55365.324  17.452951  0.100938745               0,5               bright star core and wings,circular halo                                                                          
          1.3   15.346183  100.93213  746.5584   759.5873  0.022997666  0.023026451  10.653156        1.0  1.3807275 0.71375424  760.91364  10.856089  2.517731   -8.34465e-06  0.0005377309   759.5257  -0.0030064108   -0.014639123    6.3287687 237.28357 61.386803 2368p620    1 2368p620w1o0002007e000   60       1           32          0     0       0 55358.543 55372.105 55365.324  15.298555  0.015228342                 5                                          circular halo                                                                          
          1.4   16.528728  105.06868  742.3565   66.16368   0.24732511   0.24402122   9.473809 0.99999994 0.49365214 0.20087852  56.098038   9.670936 2.5167933    0.009989977  0.0054243165   66.16091  0.00076531636    0.010595107     6.637874 237.29031  61.38994 2368p620    1 2368p620w1o0044106e000   60       1           32          0     0       0 55358.543 55372.105 55365.324   17.94845   0.15653953                 5                                          circular halo                                                                          
          1.5   16.942726  100.15348  749.1392  335.31448  0.050817873   0.05075555  10.076243        1.0  0.9757824 0.46904635  336.75458  10.271799 2.5140626   0.0024347305  0.0011236866  335.27686   0.0036773186    0.010702195     6.151403 237.27945 61.386223 2368p620    1 2368p620w1o0055877e000   59       1           32          0     0       0 55358.543 55372.105 55365.324  16.186369  0.032636303                 5                                          circular halo                                                                          
          1.6   17.273035  102.25364  753.0959    83.0613   0.19945462   0.19773763   9.613069        1.0  1.1963803 0.20304881   82.84292   9.811424 2.5151646   0.0044121146   0.004282852  83.059875    -0.01753128  -0.0071949144     6.060901 237.27316 61.387844 2368p620    1 2368p620w1o0055891e000   60       1           33          0     0       0 55358.543 55372.105 55365.324  17.701504   0.12622285               0,5               bright star core and wings,circular halo                                                                          
          1.7   27.522902  113.35147  755.3055   927.5851  0.019609468  0.019559301  11.171308        1.0  3.1301336  0.5848748   917.5661  11.383162 2.5201025   -0.001550436  0.0004621902   927.7066    0.021795563    0.014159693     5.989392 237.26974  61.39633 2368p620    1 2368p620w1o0056003e000   61       1           33          0     0       0 55358.543 55372.105 55365.324  15.081615  0.013076643               0,5               bright star core and wings,circular halo                                                                          
          1.8   29.751091   96.12055 744.44806  424.40665   0.04008698  0.039388232  10.058119        1.0   1.236495 0.65128684   424.2915  10.259636  2.518257  2.2351742e-05  0.0008872863  424.38934    0.008526002    0.012245959    5.9059596 237.28688 61.383118 2368p620    1 2368p620w1o0001904e000   61       1           32          0     0       0 55358.543 55372.105 55365.324  15.930545  0.025735918                 5                                          circular halo                                                                          
