|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|             char|                                    char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|                 |                                        |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|             null|                                    null|           null|            null|
          1.1  0.56011045  1740.339  668.7881  149.05089  0.20031603  0.19116962  17.285168        1.0  0.5097132 0.40772167  148.83049  17.624058 2.4821866  -0.0034770966  0.0043319296  149.20398     0.09088372     0.04039527     2.0825374 245.53355 30.836075 2452p302    1 2452p302w1o0040237e000   17       1           32          0     0       1  55239.54 55243.707  55241.62  17.066664  0.12647998                 5                            circular halo                                  
          1.2   14.887742 1742.2322  673.7599  137.87755  0.21476647  0.20768057  17.145596        1.0  1.6827009 0.33701566  139.33015  17.486353  2.481482    0.017846048   0.005104572  137.93047    0.083332784   -0.008598082     2.2123947 245.52913 30.837532 2452p302    1 2452p302w1o0051444e000   17       1           32          0     0       1  55239.54 55243.707  55241.62  17.151266  0.13571793                 5                            circular halo                                  
          1.3   21.546944 1744.3456  675.4524  186.82187  0.16036834    0.155678  17.409054 0.99999994  2.6121325 0.38504088  188.15729  17.754572 2.4864123   0.0076779127  0.0034716958  187.10959      0.0411149     0.06598608     2.3219635 245.52763  30.83915 2452p302    1 2452p302w1o0048543e000   17       1           32          0     0       1  55239.54 55243.707  55241.62   16.82143  0.10146907                 5                            circular halo                                  
          1.4   30.596838   1748.21  660.6371   160.1554  0.18447131  0.17781939  17.169725        1.0  0.4352829 0.35614935  147.42363   17.51466  2.483691  0.00020694733  0.0039541367  160.16217    -0.03599886    0.011525635     2.9792233 245.54082  30.84207 2452p302    1 2452p302w1o0048569e000   17       1           32          0     0       1  55239.54 55243.707  55241.62  16.988646  0.11684717                 5                            circular halo                                  
          1.5   33.898884  1748.862  677.6749  1395.9358 0.022614349 0.021722186  18.881723        1.0    2.04674  0.8182056  1395.6927  19.240217  2.482207   -0.000893116  0.0005170662   1395.953  -0.0013754452   -0.006975829     2.5904257 245.52567 30.842604 2452p302    1 2452p302w1o0029294e000   16       1           32          0     0       1  55239.54 55243.707  55241.62  14.637836 0.014686787                 5                            circular halo                                  
          1.6   35.548668 1752.1416 663.06366  175.60556   0.1697065  0.16228624  17.287975  0.9999999  0.5332126 0.32771906   162.1891  17.631317 2.4775739   0.0044564605    0.00374144  175.64983    0.027368156   0.0032220636     3.0423257 245.53867 30.845078 2452p302    1 2452p302w1o0051459e000   17       1           32          0     0       1  55239.54 55243.707  55241.62  16.888655  0.10723567                 5                            circular halo                                  
          1.7   37.930347 1726.7648 667.13666   323.3245  0.08896741  0.08611101  16.776125        1.0  0.2880115 0.71705717  326.27158  17.107117 2.4795277  -0.0003002286  0.0019383014  323.34097   -0.010233034   -0.011899707     1.7083449 245.53499 30.825703 2452p302    1 2452p302w1o0028947e000   18       1           32          0     0       1  55239.54 55243.707  55241.62  16.225903  0.05638551                 5                            circular halo                                  
          1.8   38.856598 1750.8503  659.0422   81.94288  0.36074722   0.3458353  17.086348 0.99999994 0.55574185 0.20039152   69.59542  17.429184 2.4775057   0.0031818151   0.007838466   81.96668    0.025022669    -0.10517004     3.3750346 245.54225 30.844082 2452p302    1 2452p302w1o0051458e000   17       1           32          0     0       1  55239.54 55243.707  55241.62  17.716223   0.2297621                 5                            circular halo                                  
