|source_label|target_dist|        x|        y|      flux|          dx|          dy|    dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                                                                              flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|    float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                                                                            char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|     nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                                                                                |               |                |
|        null|       null|     null|     null|      null|        null|        null|     null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                                                                            null|           null|            null|
          1.1   1.0476642 1869.5667   621.209  158.42061   0.19190995   0.18453763 17.640047  1.0000001 0.46003827 0.45855644   151.5768    17.9917 2.4829319   0.0052550435  0.0041645733  158.42252    -0.01726033    0.009072168     3.7193916 245.57623  30.93467 2452p302    1 2452p302w1o0040696e000   16       1           32          0     0       1  55239.54 55243.707  55241.62  17.000471  0.121399514                 5                                                                                    circular halo                                  
          1.2   15.112479 1864.6218  618.1105   92.00898   0.32924673   0.31739908 17.559416        1.0 0.69978654 0.32557595   87.35571  17.909405 2.4808047   0.0062080026   0.007194363   92.00601      0.2132611    -0.16815859      3.836394 245.57898 30.930883 2452p302    1 2452p302w1o0049183e000   16       1           32          0     0       1  55239.54 55243.707  55241.62  17.590424   0.20977895                 5                                                                                    circular halo                                  
          1.3   29.206234 1859.5504  625.6367  77.124405   0.39686435   0.38097122   17.6729        1.0   0.671137 0.19297111    73.4185  18.031437  2.486135    0.007036507   0.008514475   77.11352      0.1220294    -0.20479788     4.2079144 245.57227 30.927029 2452p302    1 2452p302w1o0052270e000   16       1           32          0     0       1  55239.54 55243.707  55241.62   17.78202   0.25329137                 5                                                                                    circular halo                                  
          1.4   31.779724 1873.6771  610.5197  142.73012   0.21383557   0.20643313 17.866852        1.0 0.34576082  0.5142695  135.42029  18.222988 2.4862976   0.0014833212  0.0046091056   142.7074   -0.012502816    -0.01906983     4.0333214 245.58577 30.937782 2452p302    1 2452p302w1o0040712e000   15       1           32          0     0       1  55239.54 55243.707  55241.62   17.11371   0.13662831                 5                                                                                    circular halo                                  
          1.5   32.162083 1870.9347 632.73486   98.97166   0.30641118   0.29807281  17.82437  0.9999999  0.9688705 0.26725128 100.657486  18.181849 2.4804378     0.01774937   0.007424615  98.969154      0.0178418  -0.0050023296     3.1084237 245.56598 30.935741 2452p302    1 2452p302w1o0049219e000   15       1           32          0     0       1  55239.54 55243.707  55241.62  17.511223    0.1976926                 5                                                                                    circular halo                                  
          1.6    33.27686 1880.6299 625.11163   137.5019    0.2204518   0.21276592 17.600744        1.0 0.45664677 0.48985767  139.47481  17.949863 2.4807434  -0.0025072694  0.0047790273  137.52837    -0.04429945   -0.037380043     2.9936254  245.5728 30.943129 2452p302    1 2452p302w1o0040740e000   16       1           32          0     0       1  55239.54 55243.707  55241.62  17.154228   0.13974477                 5                                                                                    circular halo                                  
          1.7    37.85696 1863.8481 633.86005  7327.3657 0.0049095787 0.0046985745 23.374088        1.0  6.7211003 0.96026576   7324.267  23.777868 2.4785821 -0.00051122904 0.00013407943   7326.713  -0.0037296158  -0.0038495485      3.075037 245.56496 30.930332 2452p302    1 2452p302w1o0030966e000   16       1           32          0     0       1  55239.54 55243.707  55241.62   12.83763 0.0034634697                 5                                                                                    circular halo                                  
          1.8   42.031136 1880.4315  610.8137    1900.48  0.016809132  0.016069135 19.446697  1.0000001  0.9697257 0.94553685  1894.7871  19.817944  2.482463 -4.3451786e-05  0.0003977349  1900.5093    0.012345791   -0.002647401      4.027089 245.58553 30.942942 2452p302    1 2452p302w1o0031189e000   15       1           32          0     0       1  55239.54 55243.707  55241.62  14.302842   0.01111018                 5                                                                                    circular halo                                  
