|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|             flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|                         char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                             |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|                         null|
          1.1   15.147863 1660.8479 1792.5886  739.86945   0.15556782   0.15790437  67.993515  0.9998789 0.86883146  0.88107926   750.9977   69.34935 2.4854577    -0.003704667   0.003359697  739.86664   -0.011693959   -0.013581212     9.535055 290.64148 71.656654 2925p711    1 2925p711w1o0031619e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.327112   0.10006079                 5      circular halo                                               
          1.2   18.759897 1661.2308 1800.1644  11727.862   0.01000989  0.010155525    70.6539  0.9994781   12.51737   0.9975616   11724.68   72.02925 2.4832304   -0.0016515255 0.00022566911  11726.917    0.008355831   0.0042358763     9.862936 290.62308  71.65677 2925p711    1 2925p711w1o0031620e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  12.326953 0.0065410775                 5      circular halo                                               
          1.3   34.766438 1644.5211 1790.7145  369.01764   0.31264207   0.31651685   67.97828 0.99899095  0.4492311   0.9073559  361.13693   69.34173 2.4888618   -0.0004885793  0.0066137468   369.0155   -0.010485621    -0.01953983    7.9720755 290.64725  71.64423 2925p711    1 2925p711w1o0031420e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.082382    0.2023176                 5      circular halo                                               
          1.4   41.607437 1649.4597  1809.097  698.24005   0.16506998   0.16705589   67.99556        1.0   1.743818  0.96301955  665.71545   69.34752 2.4860656   -0.0068924427  0.0035964055   698.2437    0.010604411  0.00011306502     9.485498  290.6023  71.64757 2925p711    1 2925p711w1o0031477e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.389988   0.10606657                 5      circular halo                                               
          1.5   42.859325 1653.4423 1810.8921   362.7434   0.31769398   0.32138863   67.90011  1.0000001  0.7607287  0.82705504  346.74557  69.251396  2.486059    0.0003798604   0.006785001  362.74722    0.019338643   -0.029864293     9.685634 290.59766 71.650566 2925p711    1 2925p711w1o0031535e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.101002   0.20565833                 5      circular halo                                               
          1.6    53.68186 1663.5922 1777.4808  434.29645   0.26581034    0.2694539   68.04666  0.9994445   0.266657     0.84817  445.97833  69.406425 2.4904218    -0.006629467   0.005692317   434.2984   -0.011003304    0.015328709     9.270138 290.67792   71.6591 2925p711    1 2925p711w1o0031648e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.905535   0.17152883                 5      circular halo                                               
          1.7    67.14243 1638.1504 1779.1077  3584.3987  0.032241695   0.03303273   68.67013 0.98945606   5.440846   0.9845095  3616.6682   69.99856 2.4811678    -0.004629731  0.0007057082  3584.3499    0.014602507 -0.00035279203    5.7017746 290.67584  71.63964 2925p711    1 2925p711w1o0031350e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  13.613959  0.020803157                 5      circular halo                                               
          2.1   10.615434 1654.6725 1799.0953  634.57056   0.66011703   0.67926997  234.76427  0.9977622 0.73103344   0.7363267  646.08453  240.48578 2.7253664     -0.01806271   0.015450741  634.91034     -1.3977779      0.3299766     6.765822 290.62616  71.65179 2925p711    2 2925p711w2o0041409e000    1       1           32          0     0       0 55213.656 55221.863 55217.758    15.4938   0.42167184                 5      circular halo                                               
