|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|             flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|                         char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                             |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|                         null|
          1.1   18.241905 1691.9236  1777.953  461.75455   0.24852224     0.251908  67.787186 0.99699306   0.605928  0.7673967   463.4113   69.14281 2.4797425   -0.006516576   0.005520181   461.7503     0.10667961    -0.12890925    11.6965885  290.6747 71.680725 2925p711    1 2925p711w1o0031946e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.838972   0.16054997                 5      circular halo                                               
          1.2   23.145622 1694.1176 1775.5406   529.1694   0.21748464   0.22075793   67.94333  0.9981674 0.34324232 0.78676105  523.79486   69.31467  2.485267  0.00025975704    0.00467089  529.15173    0.039342508    -0.07141392     11.959246  290.6804  71.68245 2925p711    1 2925p711w1o0031967e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.691013   0.14017808                 5      circular halo                                               
          1.3   30.194073 1683.9998 1785.9026  478.84335   0.23973033   0.24294671   67.77222  0.9963085 0.48894852 0.87354165  474.31586   69.11747   2.47975  -0.0018405318  0.0052473126  478.84964   0.0032229393    0.001646288     10.634343 290.65598 71.674484 2925p711    1 2925p711w1o0031859e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.799517    0.1547063                 5      circular halo                                               
          1.4   36.763023 1684.8085 1775.0477  469.77252   0.24452718     0.247744   67.83502  0.9981524 0.55162126 0.75875556   485.1817   69.18914  2.481395   -0.010224879   0.005520344   469.7899   -0.059872553   -0.045648277     11.093041 290.68228 71.675354 2925p711    1 2925p711w1o0031871e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.820281   0.15788354                 5      circular halo                                               
          1.5   42.590267 1692.7394  1799.282  1842.7418  0.062638454   0.06349341   68.29261  0.9991181  1.6266154  0.9697152  1834.1302   69.65575 2.4857283  -0.0029210448  0.0013530495  1842.7305  -0.0079398025    0.013555753     11.677709 290.62283  71.68084 2925p711    1 2925p711w1o0031961e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.336339   0.04025617                 5      circular halo                                               
          1.6   43.190315 1701.8789  1769.908   517.0971   0.22241901   0.22807118   67.86714 0.98772943  0.8926641  0.8048709   526.0467    69.1858 2.4805453    0.012268841  0.0050467695    517.096  -0.0030161517  -0.0017900164     11.566209  290.6935  71.68851 2925p711    1 2925p711w1o0032050e000    1       1           32          0     0       0 55213.656 55221.863 55217.758   15.71607   0.14332573                 5      circular halo                                               
          1.7   45.280285 1706.3546 1795.6675  1478.5896  0.078160584  0.079229064   68.23202 0.99968904  0.6982041 0.96976244  1465.1533  69.593765 2.4882877   0.0039485693  0.0016733786  1478.5951    0.009855694   -0.010083837     10.850427 290.63058  71.69132 2925p711    1 2925p711w1o0032093e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.575381   0.05013877                 5      circular halo                                               
          1.8    48.95795 1681.9993 1771.5554  1879.4264   0.06131598  0.062309902  68.278564 0.99727035   1.426287  0.9377104  1872.8237    69.6344  2.484386   -0.003304541  0.0013347843  1879.4459  -0.0012227837   -0.016428012     11.295584 290.69095 71.673294 2925p711    1 2925p711w1o0031840e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.314937  0.039461587                 5      circular halo                                               
