|source_label|target_dist|        x|        y|      flux|         dx|         dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|          sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|flags_unwise_descr|flags_info_bits|flags_info_descr|
|        char|      float|    float|    float|     float|      float|      float|     float|     float|     float|     float|     float|     float|    float|          float|        float|     float|         float|         float|        float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|              char|           char|            char|
|            |     arcsec|      pix|      pix|      nMgy|        pix|        pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|               |             |          |              |              |         nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                  |               |                |
|        null|       null|     null|     null|      null|       null|       null|      null|      null|      null|      null|      null|      null|     null|           null|         null|      null|          null|          null|         null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|              null|           null|            null|
          1.1   11.856663 1663.5922 1777.4808  434.29645  0.26581034   0.2694539   68.04666  0.9994445   0.266657    0.84817  445.97833  69.406425 2.4904218    -0.006629467   0.005692317   434.2984   -0.011003304    0.015328709      9.270138 290.67792   71.6591 2925p711    1 2925p711w1o0031648e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.905535   0.17152883                 5      circular halo                                  
          1.2    33.28357 1648.9968 1774.4706  328.78708  0.34947038  0.35504612   67.85672   0.999787  0.6152589 0.80606204  324.34998   69.21164 2.4845266   -0.0024968386   0.007544002  328.78818    0.005048339    0.012338185     8.0047865  290.6863  71.64803 2925p711    1 2925p711w1o0031466e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.207714   0.22734506                 5      circular halo                                  
          1.3    35.48563 1660.8479 1792.5886  739.86945  0.15556782  0.15790437  67.993515  0.9998789 0.86883146 0.88107926   750.9977   69.34935 2.4854577    -0.003704667   0.003359697  739.86664   -0.011693959   -0.013581212      9.535055 290.64148 71.656654 2925p711    1 2925p711w1o0031619e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.327112   0.10006079                 5      circular halo                                  
          1.4   52.000412 1644.5211 1790.7145  369.01764  0.31264207  0.31651685   67.97828 0.99899095  0.4492311  0.9073559  361.13693   69.34173 2.4888618   -0.0004885793  0.0066137468   369.0155   -0.010485621    -0.01953983     7.9720755 290.64725  71.64423 2925p711    1 2925p711w1o0031420e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.082382    0.2023176                 5      circular halo                                  
          2.1   11.340407 1663.2833  1777.351  884.40857  0.47411624  0.48840708  235.01155 0.99918866 0.48551565 0.77768326   883.9903  240.75955 2.7271578    0.0015729666   0.009942166  884.30475   0.0032446345    0.013998531     17.595715 290.67825  71.65887 2925p711    2 2925p711w2o0028079e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.133368   0.29560354                 5      circular halo                                  
          2.2   18.460638 1656.0244 1774.2388   731.0779  0.57177776   0.5896434  234.61684  0.9981581 0.39657685  0.7003333   708.9392  240.30984 2.7229784    -0.004306197   0.012314475   731.0935     0.23883449    0.114782274     13.987515 290.68634   71.6534 2925p711    2 2925p711w2o0027988e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.340091   0.36119333                 5      circular halo                                  
          2.3   18.606207 1653.2421   1778.54   868.9167  0.48952118   0.5028185  235.56366 0.97862184  0.4608171  0.7595062  811.16064  241.14236 2.7271826    0.0025007725   0.009833297   868.8667   0.0072800447   -0.008477157     13.345899 290.67612  71.65118 2925p711    2 2925p711w2o0027946e000    1       1           32          0     0       0 55213.656 55221.863 55217.758 15.1525545   0.30189016                 5      circular halo                                  
          2.4   28.271442 1669.6019 1783.1385  370.40546   1.1323196   1.1645025   234.8289  0.9989468  2.1571972 0.62703466  478.16867  240.51588 2.7265475      0.02402711   0.028204551   370.9739     -2.1682663    -0.84396935     17.379301 290.66376  71.66356 2925p711    2 2925p711w2o0056361e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.078306    0.8121737                 5      circular halo                                  
