|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|             flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|                         char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                             |
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|                         null|
          1.1   13.024635 1648.9968 1774.4706  328.78708   0.34947038   0.35504612   67.85672   0.999787  0.6152589  0.80606204  324.34998   69.21164 2.4845266   -0.0024968386   0.007544002  328.78818    0.005048339    0.012338185    8.0047865  290.6863  71.64803 2925p711    1 2925p711w1o0031466e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.207714   0.22734506                 5                            circular halo                                               
          1.2   24.682976  1639.689 1769.3771  2342.7805  0.049370505  0.050074827  68.475296  0.9991514  1.5208527  0.96570146  2340.1838   69.83961 2.4881508      -0.0029248  0.0010600334  2342.7664   -0.012820313    0.015421632    7.9336534  290.6993  71.64104 2925p711    1 2925p711w1o0031373e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.075671  0.031743195                 5                            circular halo                                               
          1.3   38.698353 1638.1504 1779.1077  3584.3987  0.032241695   0.03303273   68.67013 0.98945606   5.440846   0.9845095  3616.6682   69.99856 2.4811678    -0.004629731  0.0007057082  3584.3499    0.014602507 -0.00035279203    5.7017746 290.67584  71.63964 2925p711    1 2925p711w1o0031350e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  13.613959  0.020803157                 5                            circular halo                                               
          1.4    39.09777  1658.472 1759.4573   1803.024   0.06424366   0.06510555   68.41127  0.9985784 0.53202677  0.93145853  1796.1179   69.77992 2.4908497   -0.0010786057  0.0013577089  1803.0377    0.015155721    0.015547076     11.42655 290.72202  71.65561 2925p711    1 2925p711w1o0031593e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.359996   0.04121534                 5                            circular halo                                               
          1.5   45.886375 1636.5856 1758.2234    806.215   0.14313415   0.14489304   68.06784  0.9996327  0.8119063   0.8836214   797.3405  69.432304 2.4874055   -0.0032863617  0.0030620655   806.2075   -0.031267956    0.033635788     9.751353  290.7266  71.63892 2925p711    1 2925p711w1o0031334e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.233872   0.09188621                 5                            circular halo                                               
          1.6    46.24277 1663.5922 1777.4808  434.29645   0.26581034    0.2694539   68.04666  0.9994445   0.266657     0.84817  445.97833  69.406425 2.4904218    -0.006629467   0.005692317   434.2984   -0.011003304    0.015328709     9.270138 290.67792   71.6591 2925p711    1 2925p711w1o0031648e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.905535   0.17152883                 5                            circular halo                                               
          1.7   50.659817 1659.1084  1754.573  297.33087    0.3867758   0.39272532   67.88646  0.9974669  0.3169475   0.6223474  298.89346   69.23581 2.4849827   -0.0071561337   0.008471543  297.33566   -0.019792262    0.010668705    11.672905 290.73383 71.656204 2925p711    1 2925p711w1o0041759e000    1       1           32          0     0       0 55213.656 55221.863 55217.758    16.3169    0.2523424                 5                            circular halo                                               
          1.8   51.833214 1632.2338  1760.493  291.23065   0.39540634    0.4012591  67.931885  0.9995605 0.40524524   0.6965963  296.30093   69.28905 2.4874117   -0.0054535866   0.008518575   291.1962     -0.2264412     0.11898415     8.920596  290.7214  71.63555 2925p711    1 2925p711w1o0056289e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  16.339407    0.2580059                 5                            circular halo                                               
