|source_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|         qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|        dmag|flags_unwise_bits|                      flags_unwise_descr|flags_info_bits|             flags_info_descr|
|        char|      float|    float|    float|     float|       float|       float|     float|      float|     float|      float|     float|     float|    float|          float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|       float|             char|                                    char|           char|                         char|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|           |          |           |      nMgy|      nMgy|      pix|               |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|         mag|                 |                                        |               |                             |
|        null|       null|     null|     null|      null|        null|        null|      null|       null|      null|       null|      null|      null|     null|           null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|        null|             null|                                    null|           null|                         null|
          1.1    34.69111  1658.472 1759.4573   1803.024   0.06424366   0.06510555   68.41127   0.9985784 0.53202677  0.93145853  1796.1179   69.77992 2.4908497   -0.0010786057  0.0013577089  1803.0377    0.015155721    0.015547076     11.42655 290.72202  71.65561 2925p711    1 2925p711w1o0031593e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.359996   0.04121534                 5                            circular halo                                               
          1.2   38.151783 1681.9993 1771.5554  1879.4264   0.06131598  0.062309902  68.278564  0.99727035   1.426287   0.9377104  1872.8237    69.6344  2.484386    -0.003304541  0.0013347843  1879.4459  -0.0012227837   -0.016428012    11.295584 290.69095 71.673294 2925p711    1 2925p711w1o0031840e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  14.314937  0.039461587                 5                            circular halo                                               
          1.3   39.563557 1663.5922 1777.4808  434.29645   0.26581034    0.2694539   68.04666   0.9994445   0.266657     0.84817  445.97833  69.406425 2.4904218    -0.006629467   0.005692317   434.2984   -0.011003304    0.015328709     9.270138 290.67792   71.6591 2925p711    1 2925p711w1o0031648e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.905535   0.17152883                 5                            circular halo                                               
          1.4   40.687572 1659.1084  1754.573  297.33087    0.3867758   0.39272532   67.88646   0.9974669  0.3169475   0.6223474  298.89346   69.23581 2.4849827   -0.0071561337   0.008471543  297.33566   -0.019792262    0.010668705    11.672905 290.73383 71.656204 2925p711    1 2925p711w1o0041759e000    1       1           32          0     0       0 55213.656 55221.863 55217.758    16.3169    0.2523424                 5                            circular halo                                               
          1.5    49.84743 1684.8085 1775.0477  469.77252   0.24452718     0.247744   67.83502   0.9981524 0.55162126  0.75875556   485.1817   69.18914  2.481395    -0.010224879   0.005520344   469.7899   -0.059872553   -0.045648277    11.093041 290.68228 71.675354 2925p711    1 2925p711w1o0031871e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.820281   0.15788354                 5                            circular halo                                               
          1.6   56.378086  1682.846   1748.62  784.74713   0.14676113   0.14892767   68.03949   0.9998669  0.5023282  0.76155686   798.9837  69.393616 2.4851592   -0.0056765676  0.0031953414   784.7556   -0.010530027    -0.02060675   14.6013155 290.74658  71.67446 2925p711    1 2925p711w1o0031849e000    1       1           33          0     0       0 55213.656 55221.863 55217.758  15.263176   0.09437293               0,5 bright star core and wings,circular halo                                               
          1.7    64.98721 1687.7761  1749.027  514.83344   0.22339845    0.2263492  67.866394         1.0  0.7029807   0.6523979    520.429  69.210464 2.4819415     0.008612037  0.0049770577  514.83875   -0.011123223   0.0057530985    14.273377 290.74527 71.678215 2925p711    1 2925p711w1o0031902e000    1       1           33          0     0       0 55213.656 55221.863 55217.758  15.720833   0.14396174               0,5 bright star core and wings,circular halo                                               
          2.1   10.533118 1673.8055 1764.2018  908.60394   0.46076322   0.47467947  234.77539  0.99889636 0.25933278     0.68167  876.22205  240.56781  2.724196    0.0052042603   0.009884378  908.59705    -0.01031831    0.006763039    17.749575  290.7094 71.667206 2925p711    2 2925p711w2o0028204e000    1       1           32          0     0       0 55213.656 55221.863 55217.758  15.104063    0.2870512                 5                            circular halo                                               
